scenario_name,snr_db,mc,target_count,beta,rho,phase,pair_sep,true_az1,true_az2,true_el1,true_el2,coarse_peak_count,coarseAz,coarseEl,selectedCenterAz,selectedCenterColumn,center_error_to_pair_center,center_error_to_strong_target,delta_theta1,delta_theta2,target1_inside_R15,target2_inside_R15,both_inside_R15,target1_inside_R20,target2_inside_R20,both_inside_R20,rangeIdx,dopplerIdx,cfar_detected_flag,cfarCount,cfarBestMetric,two_coarse_peaks_out_of_scope,route_used,confidence_flag,success,false_high,boundary_missed,low_confidence,boundary_unreliable,center_selection_success,runtime_sec,executed_level2_music,executed_refocus,executed_level2_rank1,executed_2dmusic,executed_pair_local,enhance_thetaCenter_deg,enhance_elAssumed_deg,weak_target_truth_flag,anti_phase_truth_flag,large_el_truth_flag
single_target_sanity,8,15,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.000663533690489063,0.00143573247999588,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,12,32726.5241421863,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0492515,1,1,1,0,0,0,0.00143573247999588,0,0,0
single_target_sanity,8,16,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.000732737256473271,-8.89545249574328e-05,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,11,32708.0477963891,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0516858,1,1,1,0,0,0,-8.89545249574328e-05,0,0,0
single_target_sanity,8,17,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.000404162843777721,0.00169709080245644,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,12,32886.225350814,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0508525,1,1,1,0,0,0,0.00169709080245644,0,0,0
single_target_sanity,8,18,1,1,NaN,0,NaN,0,NaN,0,NaN,1,0.000598627743334183,0.00205662589166473,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,12,32587.5713857815,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.043954,1,1,1,0,0,0,0.00205662589166473,0,0,0
single_target_sanity,8,19,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.00193513902642448,-0.00166288110153361,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,10,32631.1940755151,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0764683,1,1,1,0,0,0,-0.00166288110153361,0,0,0
single_target_sanity,8,20,1,1,NaN,0,NaN,0,NaN,0,NaN,1,0.00397262169661812,0.000591029550710564,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,10,32736.8753294192,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0556345,1,1,1,0,0,0,0.000591029550710564,0,0,0
single_target_sanity,8,21,1,1,NaN,0,NaN,0,NaN,0,NaN,1,1.71835706160102e-05,-0.00241501970710693,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,12,32753.4718575945,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0565883,1,1,1,0,0,0,-0.00241501970710693,0,0,0
single_target_sanity,8,22,1,1,NaN,0,NaN,0,NaN,0,NaN,1,0.000600430734786968,-0.00280128888576456,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,12,32782.5905765105,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0600348,1,1,1,0,0,0,-0.00280128888576456,0,0,0
single_target_sanity,8,23,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.00141477279037264,0.00344993351451429,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,12,32622.7497169923,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0521628,1,1,1,0,0,0,0.00344993351451429,0,0,0
single_target_sanity,8,24,1,1,NaN,0,NaN,0,NaN,0,NaN,1,0.000275958270621693,-0.00570567433403237,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,12,32966.2645022504,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0536622,1,1,1,0,0,0,-0.00570567433403237,0,0,0
single_target_sanity,8,25,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.00177832126716562,0.00295114066322066,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,12,32623.5397081494,0,low_confidence,low,1,0,0,1,0,1,0.2963134,1,1,1,1,0,0,0.00295114066322066,0,0,0
single_target_sanity,8,26,1,1,NaN,0,NaN,0,NaN,0,NaN,1,-0.000548676139996349,-0.00017764834472012,0,1,0,0,0,NaN,1,1,1,1,1,1,48,12,1,12,32825.270530097,0,level2_rank1_fallback,medium,1,0,0,0,0,1,0.0579171,1,1,1,0,0,0,-0.00017764834472012,0,0,0
