b_index,l_index,acc_re,acc_im,z_re,z_im,clip_re,clip_im,overflow_re,overflow_im,shift_bits
0,0,-17232191338,-19120958463,-4207078,-4668203,0,0,0,0,12
1,0,22577009052,5748394695,5511965,1403417,0,0,0,0,12
2,0,-22550186280,807988593,-5505417,197263,0,0,0,0,12
3,0,-8947899196,-12692602177,-2184546,-3098780,0,0,0,0,12
4,0,4423590331,4560721455,1079978,1113457,0,0,0,0,12
5,0,-7317932354,-1388193890,-1786605,-338915,0,0,0,0,12
6,0,20760895194,-6914243477,5068578,-1688048,0,0,0,0,12
0,1,18389032228,14889059297,4489510,3635024,0,0,0,0,12
1,1,-20132087084,-11981248021,-4915060,-2925109,0,0,0,0,12
2,1,22928109211,-1399278314,5597683,-341621,0,0,0,0,12
3,1,5654224490,6887337797,1380426,1681479,0,0,0,0,12
4,1,-3788740485,-5648142310,-924985,-1378941,0,0,0,0,12
5,1,7659318187,1541855649,1869951,376430,0,0,0,0,12
6,1,-22872926079,514220482,-5584210,125542,0,0,0,0,12
0,2,-5409964434,20398953868,-1320792,4980213,0,0,0,0,12
1,2,16667354267,-10203388454,4069178,-2491062,0,0,0,0,12
2,2,3430045777,19906324847,837414,4859943,0,0,0,0,12
3,2,5367980246,3518450388,1310542,858997,0,0,0,0,12
4,2,5730920324,-2244197033,1399150,-547900,0,0,0,0,12
5,2,-1115235727,7111736445,-272274,1736264,0,0,0,0,12
6,2,8946173998,-18456794389,2184125,-4506053,0,0,0,0,12
0,3,-4748076993,20518208470,-1159198,5009328,0,0,0,0,12
1,3,16390890882,-10478456319,4001682,-2558217,0,0,0,0,12
2,3,3844239927,19656042421,938535,4798838,0,0,0,0,12
3,3,5651253102,3379075258,1379700,824970,0,0,0,0,12
4,3,5566847780,-2349187299,1359094,-573532,0,0,0,0,12
5,3,-998550470,7032210676,-243787,1716848,0,0,0,0,12
6,3,8555857296,-18565241801,2088832,-4532530,0,0,0,0,12
