n_index,l_index,y_re,y_im
0,0,28550,-10415
1,0,-12885,-26605
2,0,-24745,17638
3,0,24790,18462
4,0,7938,-30263
5,0,-29470,7060
6,0,22748,21541
7,0,227,-30645
8,0,-21385,23542
9,0,30574,-6518
10,0,-30758,-7849
11,0,26247,17512
12,0,-22341,-22303
13,0,20868,23474
14,0,-23028,-22094
15,0,27176,16068
16,0,-29989,-3891
17,0,27532,-11007
18,0,-13552,25129
19,0,-9903,-26876
20,0,26158,4980
21,0,-15655,22656
22,0,-16361,-20398
23,0,20060,-15598
24,0,15522,16777
25,0,-12360,20240
26,0,-20801,-1843
27,0,-10611,-16188
28,0,3348,-18837
29,0,12006,-12098
30,0,15528,-6332
31,0,14179,-2133
32,0,12153,-2967
33,0,10352,-4376
34,0,6767,-7337
35,0,2071,-8008
36,0,-2926,-6328
37,0,-6882,-390
38,0,-1654,6200
39,0,6022,2659
40,0,2904,-5771
41,0,-7662,-3257
42,0,-1611,8323
43,0,10101,-2920
44,0,-7913,-9280
45,0,-2819,12454
46,0,12488,-8261
47,0,-15587,-1372
48,0,15182,8446
49,0,-12052,-13925
50,0,10843,17328
51,0,-10423,-19324
52,0,13113,18671
53,0,-17701,-16506
54,0,21907,9636
55,0,-24795,2701
56,0,19209,-15910
57,0,-3275,27227
58,0,-19061,-20500
59,0,28548,-4309
60,0,-7730,26857
61,0,-22735,-19205
62,0,23611,-16122
63,0,12619,27013
0,1,-30141,9190
1,1,11239,29259
2,1,27530,-17348
3,1,-23556,-21572
4,1,-11069,29352
5,1,31138,-4261
6,1,-20886,-23822
7,1,-2744,31224
8,1,22095,-21038
9,1,-29668,4819
10,1,27676,9947
11,1,-24116,-17379
12,1,19040,22371
13,1,-16604,-23163
14,1,17861,20834
15,1,-21764,-14933
16,1,25179,6014
17,1,-23694,7808
18,1,13396,-21348
19,1,5982,21868
20,1,-20790,-6300
21,1,13127,-17323
22,1,12746,15207
23,1,-13295,10786
24,1,-11425,-11889
25,1,7291,-14039
26,1,13856,-721
27,1,7737,10595
28,1,-1426,11101
29,1,-5693,8062
30,1,-5282,6036
31,1,-4882,4714
32,1,-4507,4720
33,1,-1999,5817
34,1,1890,7063
35,1,6383,3560
36,1,8275,-902
37,1,5049,-8256
38,1,-5657,-9533
39,1,-12751,2710
40,1,232,13652
41,1,15599,756
42,1,-2135,-17379
43,1,-16808,7503
44,1,14950,13592
45,1,2898,-20733
46,1,-17483,12276
47,1,23043,409
48,1,-21183,-12742
49,1,16747,19977
50,1,-12998,-23062
51,1,11615,25093
52,1,-14102,-23902
53,1,20114,20729
54,1,-25878,-12357
55,1,30212,-335
56,1,-23489,18056
57,1,6169,-30198
58,1,19675,25012
59,1,-30869,2770
60,1,11963,-29396
61,1,22205,22524
62,1,-27251,16163
63,1,-11815,-29617
0,2,-4208,-27546
1,2,-26377,7425
2,2,11610,24248
3,2,18610,-17502
4,2,-23054,-11374
5,2,746,25706
6,2,19451,-14926
7,2,-22798,-4078
8,2,15216,17437
9,2,-2593,-22223
10,2,-7370,20308
11,2,13183,-14839
12,2,-15826,12418
13,2,14062,-10348
14,2,-12134,11573
15,2,8150,-13509
16,2,-3014,14498
17,2,-4587,-12704
18,2,10569,4746
19,2,-10389,6200
20,2,-614,-9957
21,2,7491,2067
22,2,-2147,6552
23,2,-6328,-565
24,2,-2129,-5979
25,2,4964,-4224
26,2,7554,1314
27,2,5026,5635
28,2,190,9613
29,2,-4937,9972
30,2,-8878,7927
31,2,-11504,8082
32,2,-13066,7364
33,2,-14007,11019
34,2,-10519,14949
35,2,-1269,20247
36,2,9921,17754
37,2,20858,5329
38,2,18582,-15881
39,2,-8672,-23780
40,2,-25406,2226
41,2,992,26719
42,2,27509,-3035
43,2,-10239,-26211
44,2,-19707,20684
45,2,29917,5602
46,2,-16467,-25757
47,2,-2638,30124
48,2,18015,-25800
49,2,-26094,18166
50,2,30068,-12229
51,2,-29812,10152
52,2,29992,-12379
53,2,-25396,18663
54,2,16746,-26079
55,2,-3348,29702
56,2,-15916,-27082
57,2,28785,8041
58,2,-24700,15601
59,2,281,-29798
60,2,25280,14381
61,2,-22099,19334
62,2,-11879,-25271
63,2,27042,-6496
0,3,-5705,-26960
1,3,-25692,8551
2,3,11778,24573
3,3,18533,-17634
4,3,-22948,-10712
5,3,2425,24728
6,3,18953,-15655
7,3,-22927,-2703
8,3,15063,16886
9,3,-2071,-22196
10,3,-6581,18850
11,3,13314,-15459
12,3,-15197,11856
13,3,14620,-10744
14,3,-12079,11294
15,3,8456,-12343
16,3,-1691,13990
17,3,-6091,-11266
18,3,11356,4169
19,3,-8970,5153
20,3,-446,-9570
21,3,7863,1920
22,3,-2168,7584
23,3,-7112,-444
24,3,-1615,-5962
25,3,4473,-3928
26,3,7504,1452
27,3,5960,6774
28,3,541,9236
29,3,-3845,9306
30,3,-8869,10022
31,3,-11738,8314
32,3,-12636,8218
33,3,-13476,9919
34,3,-9727,15184
35,3,-2001,20223
36,3,11074,18601
37,3,22162,4858
38,3,17866,-17058
39,3,-9518,-22910
40,3,-25712,2943
41,3,2521,27407
42,3,26547,-3674
43,3,-9962,-25784
44,3,-19960,22014
45,3,28803,4098
46,3,-16689,-25814
47,3,-2485,30543
48,3,17437,-26033
49,3,-24770,17731
50,3,28538,-13533
51,3,-30004,10518
52,3,28534,-12333
53,3,-24998,19479
54,3,15692,-27156
55,3,-1646,30343
56,3,-15790,-26537
57,3,29460,8762
58,3,-25105,16598
