chunk_id,"47"
total_chunks,"120"
run_tag,"formal_tps30"
planned_obs,"10"
completed_obs_before,"0"
completed_obs_after,"10"
new_obs_this_run,"10"
mode_set,"formal_core"
modes_observed,"W_int18_G24_Z16,combined_int14,combined_int16,combined_int18,combined_int24,double_baseline,float32_all,mixed_Z16_G24_Rz24"
run_start_time,"2026-06-11 20:55:38"
run_end_time,"2026-06-11 20:56:55"
elapsed_sec,"76.6186987"
status,"partial_chunk_written"
