trial_index,scenario_name,SNR_dB,old_callable,old_route_name,new_route_name,old_status,new_status,old_confidence,new_confidence,old_az_est,new_az_est,old_el_est,new_el_est,route_agree,status_agree,confidence_agree,az_diff_mean,el_diff_mean,old_success,new_success,old_false_high,new_false_high,old_boundary_missed,new_boundary_missed
37,weak_target_boundary,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
38,weak_target_boundary,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
39,weak_target_boundary,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
40,weak_target_boundary,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
41,near_antiphase_boundary,8,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
42,near_antiphase_boundary,8,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
43,near_antiphase_boundary,8,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
44,near_antiphase_boundary,8,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
45,near_antiphase_boundary,8,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
46,near_antiphase_boundary,8,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
47,near_antiphase_boundary,8,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
48,near_antiphase_boundary,8,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
49,near_antiphase_boundary,8,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
50,near_antiphase_boundary,8,0,step87_reference_not_functionalized,boundary_unreliable,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
51,large_el_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
52,large_el_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
53,large_el_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
54,large_el_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
55,large_el_pair,8,0,step87_reference_not_functionalized,local_2d_pair_refinement,not_callable,success,not_callable,medium,[],[2.875 3.325],[],[0 10.5],0,0,0,NaN,NaN,0,0,0,1,0,0
56,large_el_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
57,large_el_pair,8,0,step87_reference_not_functionalized,local_2d_pair_refinement,not_callable,success,not_callable,medium,[],[2.875 3.325],[],[0 10.5],0,0,0,NaN,NaN,0,0,0,1,0,0
58,large_el_pair,8,0,step87_reference_not_functionalized,local_2d_pair_refinement,not_callable,success,not_callable,medium,[],[2.875 3.325],[],[0 10.5],0,0,0,NaN,NaN,0,0,0,1,0,0
59,large_el_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
60,large_el_pair,8,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
61,two_separated_coarse_peaks,8,0,step87_reference_not_functionalized,frontend_reject,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,1,0,0,0,0
62,two_separated_coarse_peaks,8,0,step87_reference_not_functionalized,frontend_reject,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,1,0,0,0,0
63,two_separated_coarse_peaks,8,0,step87_reference_not_functionalized,frontend_reject,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,1,0,0,0,0
64,two_separated_coarse_peaks,8,0,step87_reference_not_functionalized,frontend_reject,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,1,0,0,0,0
65,two_separated_coarse_peaks,8,0,step87_reference_not_functionalized,frontend_reject,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,1,0,0,0,0
66,two_separated_coarse_peaks,8,0,step87_reference_not_functionalized,frontend_reject,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,1,0,0,0,0
67,two_separated_coarse_peaks,8,0,step87_reference_not_functionalized,frontend_reject,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,1,0,0,0,0
68,two_separated_coarse_peaks,8,0,step87_reference_not_functionalized,frontend_reject,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,1,0,0,0,0
69,two_separated_coarse_peaks,8,0,step87_reference_not_functionalized,frontend_reject,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,1,0,0,0,0
70,two_separated_coarse_peaks,8,0,step87_reference_not_functionalized,frontend_reject,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,1,0,0,0,0
71,single_target_sanity,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
72,single_target_sanity,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
73,single_target_sanity,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
74,single_target_sanity,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
75,single_target_sanity,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
76,single_target_sanity,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
77,single_target_sanity,16,0,step87_reference_not_functionalized,low_confidence,not_callable,rejected,not_callable,low,[],[],[],[],0,0,0,NaN,NaN,0,0,0,0,0,0
