sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db
4,0.700000,12.650000,13.350000,8,200,200,1.000000,1.000000,0.024804,200,2.000000,4.000000
4,0.700000,12.650000,13.350000,10,200,200,1.000000,1.000000,0.020958,200,2.000000,4.000000
4,0.700000,12.650000,13.350000,12,200,200,1.000000,1.000000,0.016000,200,2.000000,4.000000
4,0.700000,12.650000,13.350000,14,200,200,1.000000,1.000000,0.013238,200,2.000000,4.000000
4,0.700000,12.650000,13.350000,16,200,200,1.000000,1.000000,0.010050,200,2.000000,4.000000
4,0.700000,12.650000,13.350000,18,200,200,1.000000,1.000000,0.008485,200,2.000000,4.000000
4,0.700000,12.650000,13.350000,20,200,200,1.000000,1.000000,0.007000,200,2.000000,4.000000
4,0.700000,12.650000,13.350000,22,200,200,1.000000,1.000000,0.005408,200,2.000000,4.000000
4,0.700000,12.650000,13.350000,24,200,200,1.000000,1.000000,0.004899,200,2.000000,4.000000
4,0.700000,12.650000,13.350000,26,200,200,1.000000,1.000000,0.003041,200,2.000000,4.000000
4,0.700000,12.650000,13.350000,28,200,200,1.000000,1.000000,0.002121,200,2.000000,4.000000
4,0.700000,12.650000,13.350000,30,200,200,1.000000,1.000000,0.000500,200,2.000000,4.000000
5,0.560000,12.720000,13.280000,-4,0,0,0.000000,0.000000,NaN,0,1.000000,8.000000
5,0.560000,12.720000,13.280000,-2,0,0,0.000000,0.000000,NaN,0,1.000000,8.000000
5,0.560000,12.720000,13.280000,0,1,1,0.005000,0.005000,0.047434,1,1.005000,8.000000
5,0.560000,12.720000,13.280000,2,13,6,0.065000,0.030000,0.097626,13,1.065000,8.000000
5,0.560000,12.720000,13.280000,4,90,35,0.450000,0.175000,0.098796,90,1.450000,8.000000
5,0.560000,12.720000,13.280000,6,178,135,0.890000,0.675000,0.070258,178,1.890000,8.000000
5,0.560000,12.720000,13.280000,8,198,189,0.990000,0.945000,0.052211,198,1.990000,8.000000
5,0.560000,12.720000,13.280000,10,200,199,1.000000,0.995000,0.036107,200,2.000000,8.000000
5,0.560000,12.720000,13.280000,12,200,200,1.000000,1.000000,0.024890,200,2.000000,8.000000
5,0.560000,12.720000,13.280000,14,200,200,1.000000,1.000000,0.019641,200,2.000000,8.000000
5,0.560000,12.720000,13.280000,16,200,200,1.000000,1.000000,0.017450,200,2.000000,8.000000
5,0.560000,12.720000,13.280000,18,200,200,1.000000,1.000000,0.012580,200,2.000000,8.000000
5,0.560000,12.720000,13.280000,20,200,200,1.000000,1.000000,0.009327,200,2.000000,8.000000
5,0.560000,12.720000,13.280000,22,200,200,1.000000,1.000000,0.008093,200,2.000000,8.000000
5,0.560000,12.720000,13.280000,24,200,200,1.000000,1.000000,0.006690,200,2.000000,8.000000
5,0.560000,12.720000,13.280000,26,200,200,1.000000,1.000000,0.005385,200,2.000000,8.000000
5,0.560000,12.720000,13.280000,28,200,200,1.000000,1.000000,0.004213,200,2.000000,8.000000
5,0.560000,12.720000,13.280000,30,200,200,1.000000,1.000000,0.002915,200,2.000000,8.000000
6,0.466667,12.766667,13.233333,-4,0,0,0.000000,0.000000,NaN,0,1.000000,12.000000
6,0.466667,12.766667,13.233333,-2,0,0,0.000000,0.000000,NaN,0,1.000000,12.000000
6,0.466667,12.766667,13.233333,0,0,0,0.000000,0.000000,NaN,0,1.000000,12.000000
6,0.466667,12.766667,13.233333,2,0,0,0.000000,0.000000,NaN,0,1.000000,12.000000
6,0.466667,12.766667,13.233333,4,0,0,0.000000,0.000000,NaN,0,1.000000,12.000000
6,0.466667,12.766667,13.233333,6,10,7,0.050000,0.035000,0.079805,10,1.050000,12.000000
6,0.466667,12.766667,13.233333,8,65,50,0.325000,0.250000,0.077240,65,1.325000,12.000000
6,0.466667,12.766667,13.233333,10,162,139,0.810000,0.695000,0.063774,162,1.810000,12.000000
6,0.466667,12.766667,13.233333,12,198,194,0.990000,0.970000,0.043701,198,1.990000,12.000000
6,0.466667,12.766667,13.233333,14,200,200,1.000000,1.000000,0.034238,200,2.000000,12.000000
6,0.466667,12.766667,13.233333,16,200,200,1.000000,1.000000,0.023738,200,2.000000,12.000000
6,0.466667,12.766667,13.233333,18,200,200,1.000000,1.000000,0.016645,200,2.000000,12.000000
6,0.466667,12.766667,13.233333,20,200,200,1.000000,1.000000,0.014516,200,2.000000,12.000000
6,0.466667,12.766667,13.233333,22,200,200,1.000000,1.000000,0.011988,200,2.000000,12.000000
6,0.466667,12.766667,13.233333,24,200,200,1.000000,1.000000,0.008375,200,2.000000,12.000000
6,0.466667,12.766667,13.233333,26,200,200,1.000000,1.000000,0.007608,200,2.000000,12.000000
6,0.466667,12.766667,13.233333,28,200,200,1.000000,1.000000,0.006176,200,2.000000,12.000000
6,0.466667,12.766667,13.233333,30,200,200,1.000000,1.000000,0.005088,200,2.000000,12.000000
7,0.400000,12.800000,13.200000,-4,0,0,0.000000,0.000000,NaN,0,1.000000,16.000000
7,0.400000,12.800000,13.200000,-2,0,0,0.000000,0.000000,NaN,0,1.000000,16.000000
7,0.400000,12.800000,13.200000,0,0,0,0.000000,0.000000,NaN,0,1.000000,16.000000
7,0.400000,12.800000,13.200000,2,0,0,0.000000,0.000000,NaN,0,1.000000,16.000000
7,0.400000,12.800000,13.200000,4,0,0,0.000000,0.000000,NaN,0,1.000000,16.000000
7,0.400000,12.800000,13.200000,6,0,0,0.000000,0.000000,NaN,0,1.000000,16.000000
7,0.400000,12.800000,13.200000,8,1,1,0.005000,0.005000,0.080623,1,1.005000,16.000000
7,0.400000,12.800000,13.200000,10,18,16,0.090000,0.080000,0.074647,18,1.090000,16.000000
7,0.400000,12.800000,13.200000,12,91,82,0.455000,0.410000,0.065545,91,1.455000,16.000000
7,0.400000,12.800000,13.200000,14,169,160,0.845000,0.800000,0.055911,169,1.845000,16.000000
7,0.400000,12.800000,13.200000,16,198,198,0.990000,0.990000,0.038553,198,1.990000,16.000000
7,0.400000,12.800000,13.200000,18,200,200,1.000000,1.000000,0.028909,200,2.000000,16.000000
7,0.400000,12.800000,13.200000,20,200,200,1.000000,1.000000,0.019761,200,2.000000,16.000000
7,0.400000,12.800000,13.200000,22,200,200,1.000000,1.000000,0.015240,200,2.000000,16.000000
7,0.400000,12.800000,13.200000,24,200,200,1.000000,1.000000,0.013266,200,2.000000,16.000000
7,0.400000,12.800000,13.200000,26,200,200,1.000000,1.000000,0.009925,200,2.000000,16.000000
7,0.400000,12.800000,13.200000,28,200,200,1.000000,1.000000,0.008426,200,2.000000,16.000000
7,0.400000,12.800000,13.200000,30,200,200,1.000000,1.000000,0.006856,200,2.000000,16.000000
8,0.350000,12.825000,13.175000,-4,0,0,0.000000,0.000000,NaN,0,1.000000,18.000000
8,0.350000,12.825000,13.175000,-2,0,0,0.000000,0.000000,NaN,0,1.000000,18.000000
8,0.350000,12.825000,13.175000,0,0,0,0.000000,0.000000,NaN,0,1.000000,18.000000
8,0.350000,12.825000,13.175000,2,0,0,0.000000,0.000000,NaN,0,1.000000,18.000000
8,0.350000,12.825000,13.175000,4,0,0,0.000000,0.000000,NaN,0,1.000000,18.000000
8,0.350000,12.825000,13.175000,6,0,0,0.000000,0.000000,NaN,0,1.000000,18.000000
8,0.350000,12.825000,13.175000,8,0,0,0.000000,0.000000,NaN,0,1.000000,18.000000
8,0.350000,12.825000,13.175000,10,0,0,0.000000,0.000000,NaN,0,1.000000,18.000000
8,0.350000,12.825000,13.175000,12,3,3,0.015000,0.015000,0.060759,3,1.015000,18.000000
8,0.350000,12.825000,13.175000,14,30,25,0.150000,0.125000,0.065891,30,1.150000,18.000000
8,0.350000,12.825000,13.175000,16,113,108,0.565000,0.540000,0.056633,113,1.565000,18.000000
