stage_name,total_elapsed_sec,mean_elapsed_sec,p95_elapsed_sec,max_elapsed_sec,num_calls
score_recompute,15.3840641,0.320501335416667,0.3689245,0.4338084,48
ranking_compare,7.7488935,0.16143528125,0.1713951,0.2224733,48
build_candidate_score_pack,5.0447276,0.840787933333333,0.9920181,0.9920181,6
build_step11_input,0.1116153,0.01860255,0.0403728,0.0403728,6
run_step11_backend,0,0,0,0,6
