route_name,K_phi,P_phi,subarray_span_deg,sep_factor,theta_sep_deg,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,rmse_valid_count,mean_num_peaks,degraded_rate,single_subarray_two_peak_rate,single_subarray_best_tol_rate,aggregation_peak_loss_rate
avg_den_forward,32,34,58.125000000,7,0.376822064,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.161176471,0.340000000,0.760000000
avg_den_forward,32,34,58.125000000,10,0.263775445,24,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.001176471,0.020000000,0.020000000
avg_den_forward,32,34,58.125000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000
avg_den_forward,32,34,58.125000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000
avg_spectrum_forward,24,42,43.125000000,7,0.376822064,24,0.060000000,0.000000000,0.000000000,0.162303094,3,1.060000000,0.940000000,0.232380952,0.920000000,0.880000000
avg_spectrum_forward,24,42,43.125000000,7,0.376822064,28,0.020000000,0.000000000,0.000000000,0.162495348,1,1.020000000,0.980000000,0.272857143,1.000000000,0.980000000
avg_spectrum_forward,24,42,43.125000000,7,0.376822064,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.284761905,1.000000000,1.000000000
avg_spectrum_forward,24,42,43.125000000,10,0.263775445,24,0.020000000,0.000000000,0.000000000,0.124340989,1,1.020000000,0.980000000,0.010476190,0.060000000,0.060000000
avg_spectrum_forward,24,42,43.125000000,10,0.263775445,28,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.017142857,0.160000000,0.160000000
avg_spectrum_forward,24,42,43.125000000,10,0.263775445,30,0.000000000,0.000000000,0.000000000,NaN,0,1.000000000,1.000000000,0.031904762,0.280000000,0.280000000
