stage,case_name,el_b_deg,el_mismatch_deg,snr_db,route_name,raw_success_rate,az_tol_success_rate_abs01,el_tol_success_rate_abs05,joint_tol_success_rate,az_rmse_deg,el_rmse_deg,pair_2d_rmse,peak_count_mean,degraded_rate,route_failure_reason,mean_objective_true_pair,mean_objective_best,objective_margin,objective_true_rank_median,el_hat_mean,el_hat_error_mean,el_hat_error_abs_mean,focused_power_peak_sharpness,lambda1_peak_sharpness,rank1_objective_valley_width_el,rank1_objective_selected_el_rank,el_selection_method,el_common_est_mean,el_common_est_error,same_raw_observation_flag,nonoracle_oracle_gap
B,el0_0,0,0,16,common_el_refocus_2dmusic_peak,1,1,1,1,0.0261204199119965,0,0.0261204199119965,2,0,ok,5.27192338138516e-08,3.89744479903067e-09,4.88217890148209e-08,NaN,0,0,0,NaN,NaN,NaN,NaN,2dmusic_peak,0,0,1,0
B,el0_0,0,0,16,common_el_refocus_rank1_objective,1,1,0,0,0.0278183843173283,1.985,1.98526679490005,2,1,el_error,9.78094301512691e-08,0,9.78094301512691e-08,NaN,-1.985,-1.985,1.985,NaN,NaN,7.305,1,rank1_objective,-1.985,-1.985,1,1
B,el0_0,0,0,16,oracle_el_rank1_covfit,1,1,1,1,0.0373047646289124,0.24,0.260449776082825,2,0,ok,2.67088515349058e-06,2.44745931800023e-06,2.2342583549035e-07,7.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0
B,el0_2,0,2,16,level2_rank1_wrong_el_assumed,1,1,0,0,0.0244,2,2.0002306059185,2,1,el_error,6.90953429578951e-08,4.62158141056242e-09,6.44737615473327e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_2,0,2,16,level2_el_bank_old,1,1,0.02,0.02,0.0265959288106635,2.64,2.64036517180202,2,0.98,el_error,1.53152034773958e-07,0,1.53152034773958e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0.98
B,el0_2,0,2,16,level3_2d_music,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_2,0,2,16,common_el_covfit_old,1,0.54,1,0.54,0.122271437709331,0,0.122271437709331,2,0.46,az_error,2.707137507514e-06,2.38750599162006e-06,3.19631515893938e-07,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,NaN,1,0.46
B,el0_2,0,2,16,common_el_refocus_power,1,1,1,1,0.0261204199119965,0,0.0261204199119965,2,0,ok,5.27192338138516e-08,3.89744479903067e-09,4.88217890148209e-08,NaN,0,0,0,0.0203481026900204,0.0203606023383792,NaN,NaN,focused_power,0,0,1,0
B,el0_2,0,2,16,common_el_refocus_2dmusic_peak,1,1,1,1,0.0261204199119965,0,0.0261204199119965,2,0,ok,5.27192338138516e-08,3.89744479903067e-09,4.88217890148209e-08,NaN,0,0,0,NaN,NaN,NaN,NaN,2dmusic_peak,0,0,1,0
B,el0_2,0,2,16,common_el_refocus_rank1_objective,1,1,0,0,0.0278183843173283,1.985,1.98526679490005,2,1,el_error,9.78094301512691e-08,0,9.78094301512691e-08,NaN,-1.985,-1.985,1.985,NaN,NaN,7.305,1,rank1_objective,-1.985,-1.985,1,1
B,el0_2,0,2,16,oracle_el_rank1_covfit,1,1,1,1,0.0373047646289124,0.24,0.260449776082825,2,0,ok,2.67088515349058e-06,2.44745931800023e-06,2.2342583549035e-07,7.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0
B,el0_5,0,5,16,level2_rank1_wrong_el_assumed,1,1,0,0,0.0569367046693423,5,5.00040366940841,2,1,el_error,8.42671022470089e-07,3.87336425173181e-07,4.55334597296908e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_5,0,5,16,level2_el_bank_old,1,1,0.02,0.02,0.0265959288106635,2.64,2.64036517180202,2,0.98,el_error,1.53152034773958e-07,0,1.53152034773958e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0.98
B,el0_5,0,5,16,level3_2d_music,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_5,0,5,16,common_el_covfit_old,1,0.54,1,0.54,0.122271437709331,0,0.122271437709331,2,0.46,az_error,2.707137507514e-06,2.38750599162006e-06,3.19631515893938e-07,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,NaN,1,0.46
B,el0_5,0,5,16,common_el_refocus_power,1,1,1,1,0.0261204199119965,0,0.0261204199119965,2,0,ok,5.27192338138516e-08,3.89744479903067e-09,4.88217890148209e-08,NaN,0,0,0,0.0203481026900204,0.0203606023383792,NaN,NaN,focused_power,0,0,1,0
B,el0_5,0,5,16,common_el_refocus_2dmusic_peak,1,1,1,1,0.0261204199119965,0,0.0261204199119965,2,0,ok,5.27192338138516e-08,3.89744479903067e-09,4.88217890148209e-08,NaN,0,0,0,NaN,NaN,NaN,NaN,2dmusic_peak,0,0,1,0
B,el0_5,0,5,16,common_el_refocus_rank1_objective,1,1,0,0,0.0278183843173283,1.985,1.98526679490005,2,1,el_error,9.78094301512691e-08,0,9.78094301512691e-08,NaN,-1.985,-1.985,1.985,NaN,NaN,7.305,1,rank1_objective,-1.985,-1.985,1,1
B,el0_5,0,5,16,oracle_el_rank1_covfit,1,1,1,1,0.0373047646289124,0.24,0.260449776082825,2,0,ok,2.67088515349058e-06,2.44745931800023e-06,2.2342583549035e-07,7.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0
B,el0_10,0,10,16,level2_rank1_wrong_el_assumed,1,0.72,0,0,0.0934369659504417,10,10.0004392220944,2,1,az_error,0.000129492516002483,0.000122554772753765,6.93774324871782e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_10,0,10,16,level2_el_bank_old,1,1,0.02,0.02,0.0265959288106635,2.64,2.64036517180202,2,0.98,el_error,1.53152034773958e-07,0,1.53152034773958e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,0.98
B,el0_10,0,10,16,level3_2d_music,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,1,1
B,el0_10,0,10,16,common_el_covfit_old,1,0.54,1,0.54,0.122271437709331,0,0.122271437709331,2,0.46,az_error,2.707137507514e-06,2.38750599162006e-06,3.19631515893938e-07,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,NaN,1,0.46
