case_type,trial_index,scenario_name,quant_mode,metric_name,metric_value,topK_miss_count,argmax_changed_flag,score_gap_norm_baseline,score_gap_rel_error,max_clip_rate,note
max_topK_miss_count,175,near_tie_close_sep,combined_int16,topK_miss_count,1,1,1,0.000555680696914979,0.0108656846921027,0,see trial CSV for full fields
argmax_changed_largest_baseline_gap,895,low_margin_score_gap,combined_int14,score_gap_norm_baseline,0.00175427803079766,0,1,0.00175427803079766,0.0108580120158084,0,see trial CSV for full fields
max_score_gap_rel_error,1135,large_el_pair,combined_int14,score_gap_rel_error,1,0,1,2.6747034592234e-05,1,0,see trial CSV for full fields
policy_changed_sample,NaN,,,same_policy_flag,NaN,NaN,0,NaN,NaN,NaN,no matching sample
max_clip_or_overflow_sample,55,strong_coherent,double_baseline,max_clip_rate,0,0,0,0.00116972576815283,0,0,see trial CSV for full fields
