route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,lambda2_proto6_array,lambda2_proto6_beam,lambda2_proto8_array,lambda2_proto8_beam,root_dist_proto6_array,root_dist_proto6_beam,root_dist_proto8_array,root_dist_proto8_beam,cond_number_complex,cond_number_real,max_imag_part_rel
baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,22,199,199,197,0.995000,0.995000,0.985000,0.031963,199,1.995000,22.000000,22.000000,5.775174,6.058731,5.775174,2167.731900,0.002603,0.002494,0.002603,0.034309,1.137175e+04,1.137175e+04,4.691789e-17
baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,24,200,200,200,1.000000,1.000000,1.000000,0.022712,200,2.000000,22.000000,22.000000,8.643144,9.055492,8.643144,2687.508018,0.001984,0.001895,0.001984,0.034307,1.793819e+04,1.793819e+04,4.725197e-17
baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,26,200,200,200,1.000000,1.000000,1.000000,0.017116,200,2.000000,22.000000,22.000000,13.250688,13.881364,13.250688,3158.977916,0.001551,0.001486,0.001551,0.034307,2.849456e+04,2.849456e+04,4.722933e-17
baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,28,200,200,200,1.000000,1.000000,1.000000,0.013659,200,2.000000,22.000000,22.000000,20.456190,21.441431,20.456190,3559.844507,0.001218,0.001168,0.001218,0.034307,4.512452e+04,4.512452e+04,4.716157e-17
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,14,1,0,0,0.005000,0.000000,0.000000,0.096177,1,1.005000,24.000000,24.000000,1.366693,1.430942,1.366693,600.243501,0.012645,0.011873,0.012645,0.000000,1.796097e+03,1.796097e+03,4.675205e-17
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,16,0,0,0,0.000000,0.000000,0.000000,0.000000,0,1.000000,24.000000,24.000000,1.662516,1.743231,1.662516,906.837724,0.008577,0.008101,0.008577,0.000000,2.843748e+03,2.843748e+03,4.682613e-17
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,18,9,8,7,0.045000,0.040000,0.035000,0.055578,9,1.045000,24.000000,24.000000,2.129322,2.230410,2.129322,1336.107419,0.005999,0.005674,0.005999,0.000000,4.499214e+03,4.499214e+03,4.661761e-17
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,20,62,62,48,0.310000,0.310000,0.240000,0.046507,62,1.310000,24.000000,24.000000,2.876867,3.013601,2.876867,1902.094324,0.004497,0.004292,0.004497,0.000000,7.148380e+03,7.148380e+03,4.690655e-17
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,22,148,148,137,0.740000,0.740000,0.685000,0.037816,148,1.740000,24.000000,24.000000,4.076664,4.272505,4.076664,2597.512864,0.003231,0.003078,0.003231,0.000000,1.135371e+04,1.135371e+04,4.688662e-17
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,24,192,192,190,0.960000,0.960000,0.950000,0.031610,192,1.960000,24.000000,24.000000,5.951788,6.237119,5.951788,3381.559451,0.002539,0.002427,0.002539,0.000000,1.799591e+04,1.799591e+04,4.683009e-17
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,26,200,200,200,1.000000,1.000000,1.000000,0.022743,200,2.000000,24.000000,24.000000,8.903019,9.337361,8.903019,4172.671194,0.001960,0.001875,0.001960,0.000000,2.842574e+04,2.842574e+04,4.676873e-17
