method_name,method_type,B,beam_count,scenario_name,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,raw_success_rate,az_tol_success_rate,el_pair_tol_success_rate,joint_success_rate,az_rmse_deg,el_rmse_deg,mean_abs_el_sep_error_deg,false_el_split_rate,boundary_hit_rate,projection_loss,mean_corr,max_corr,cond_WHW,cond_best_GHG,mean_num_pairs,mean_truth_manifold_corr,n_trials,overall_joint_success_rate,overall_az_rmse_deg,overall_el_rmse_deg,worst_case_success
greedy_combined,greedy_combined,5,5,easy_noncoherent,0,0,1,1.27,0.67,30,1,1,1,1,0.0403112887414925,0.118004237212061,0.190000000000003,0,0,0.628122614859027,0.229145888235483,0.236915646943025,4.52634973524694,1.26390476591602,65379,0.080125511290954,3,0.6,0.0707312439911395,0.091542931286135,0
greedy_combined,greedy_combined,5,5,hard_phase,0.99,150,1,0.83,0.37,30,1,1,1,1,0.0680073525436777,0.0743303437365916,0.109999999999999,0,0,0.628122614859027,0.229145888235483,0.236915646943025,4.52634973524694,1.85493142945791,65379,0.407534472920107,3,0.6,0.0707312439911395,0.091542931286135,0
greedy_combined,greedy_combined,5,5,low_snr_hard,1,150,0.3,0.83,0.37,20,1,0,1,0,0.11236102527122,0.0955248658727151,0.130000000000001,0,0,0.628122614859027,0.229145888235483,0.236915646943025,4.52634973524694,3.94115607041785,65379,0.407534472920107,3,0.6,0.0707312439911395,0.091542931286135,0
greedy_combined,greedy_combined,5,5,strong_coherent,0.99,5,1,1.27,0.37,30,1,1,1,1,0.0206155281280884,0.0743303437365916,0.109999999999999,0,0,0.628122614859027,0.229145888235483,0.236915646943025,4.52634973524694,1.53021140952528,65379,0.0729441343207773,3,0.6,0.0707312439911395,0.091542931286135,0
greedy_combined,greedy_combined,5,5,weak_secondary,0.99,150,0.3,0.83,0.37,30,1,0,1,0,0.11236102527122,0.0955248658727151,0.130000000000001,0,0,0.628122614859027,0.229145888235483,0.236915646943025,4.52634973524694,3.94115607041785,65379,0.407534472920107,3,0.6,0.0707312439911395,0.091542931286135,0
greedy_combined,greedy_combined,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,1,1,1,1,0.0206155281280884,0.118004237212061,0.190000000000003,0,0,0.55678569477829,0.23631945265696,0.253388567370866,8.32058176539474,1.26743151358734,65379,0.106970433403977,3,1,0.0380587353101073,0.091542931286135,1
greedy_combined,greedy_combined,7,7,hard_phase,0.99,150,1,0.83,0.37,30,1,1,1,1,0.0320156211871644,0.0743303437365916,0.109999999999999,0,0,0.55678569477829,0.23631945265696,0.253388567370866,8.32058176539474,1.80865542184705,65379,0.348352256811632,3,1,0.0380587353101073,0.091542931286135,1
greedy_combined,greedy_combined,7,7,low_snr_hard,1,150,0.3,0.83,0.37,20,1,1,1,1,0.0585234995535977,0.0955248658727151,0.130000000000001,0,0,0.55678569477829,0.23631945265696,0.253388567370866,8.32058176539474,2.77083697576869,65379,0.348352256811632,3,1,0.0380587353101073,0.091542931286135,1
greedy_combined,greedy_combined,7,7,strong_coherent,0.99,5,1,1.27,0.37,30,1,1,1,1,0.0206155281280884,0.0743303437365916,0.109999999999999,0,0,0.55678569477829,0.23631945265696,0.253388567370866,8.32058176539474,1.28750892641291,65379,0.113023151106789,3,1,0.0380587353101073,0.091542931286135,1
greedy_combined,greedy_combined,7,7,weak_secondary,0.99,150,0.3,0.83,0.37,30,1,1,1,1,0.0585234995535977,0.0955248658727151,0.130000000000001,0,0,0.55678569477829,0.23631945265696,0.253388567370866,8.32058176539474,2.77083697576869,65379,0.348352256811632,3,1,0.0380587353101073,0.091542931286135,1
greedy_combined,greedy_combined,9,9,easy_noncoherent,0,0,1,1.27,0.67,30,1,1,1,1,0.0206155281280884,0.118004237212061,0.190000000000003,0,0,0.526167737478049,0.243033547406603,0.251544614610716,9.19378568099996,1.29408323351808,65379,0.114581304303198,3,1,0.0380587353101073,0.091542931286135,1
greedy_combined,greedy_combined,9,9,hard_phase,0.99,150,1,0.83,0.37,30,1,1,1,1,0.0320156211871644,0.0743303437365916,0.109999999999999,0,0,0.526167737478049,0.243033547406603,0.251544614610716,9.19378568099996,1.81307914655648,65379,0.345890956996228,3,1,0.0380587353101073,0.091542931286135,1
greedy_combined,greedy_combined,9,9,low_snr_hard,1,150,0.3,0.83,0.37,20,1,1,1,1,0.0585234995535977,0.0955248658727151,0.130000000000001,0,0,0.526167737478049,0.243033547406603,0.251544614610716,9.19378568099996,2.75680002838396,65379,0.345890956996228,3,1,0.0380587353101073,0.091542931286135,1
greedy_combined,greedy_combined,9,9,strong_coherent,0.99,5,1,1.27,0.37,30,1,1,1,1,0.0206155281280884,0.0743303437365916,0.109999999999999,0,0,0.526167737478049,0.243033547406603,0.251544614610716,9.19378568099996,1.31036372333519,65379,0.121474611504677,3,1,0.0380587353101073,0.091542931286135,1
greedy_combined,greedy_combined,9,9,weak_secondary,0.99,150,0.3,0.83,0.37,30,1,1,1,1,0.0585234995535977,0.0955248658727151,0.130000000000001,0,0,0.526167737478049,0.243033547406603,0.251544614610716,9.19378568099996,2.75680002838396,65379,0.345890956996228,3,1,0.0380587353101073,0.091542931286135,1
greedy_combined,greedy_combined,11,11,easy_noncoherent,0,0,1,1.27,0.67,30,1,1,1,1,0.0206155281280884,0.10735455276792,0.190000000000001,0,0,0.501973743551175,0.243859309550282,0.254889909769914,20.0431918562385,1.28558900183969,65379,0.103897090038236,3,1,0.0380587353101073,0.0909481451168448,1
greedy_combined,greedy_combined,11,11,hard_phase,0.99,150,1,0.83,0.37,30,1,1,1,1,0.0320156211871644,0.0743303437365916,0.109999999999999,0,0,0.501973743551175,0.243859309550282,0.254889909769914,20.0431918562385,1.80578090466434,65379,0.344933233037428,3,1,0.0380587353101073,0.0909481451168448,1
