route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_raw_search_ratio_4e,mean_piecewise_search_ratio_4e,mean_piecewise_span_ratio_4e,mean_theta_search_4e_deg,mean_routeB_beam_span_4e_deg,lambda2_over_noise_array,lambda2_over_noise_beam,root_dist_array_mean,root_dist_beam_mean
baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,20,169,169,163,0.845000,0.845000,0.815000,0.042910,169,1.845000,22.000000,22.000000,0.012715,0.165862,1.953348,0.142058,1.883585,1.306717,1.263160,1.626137,2.357898,3.963295,4.153928,0.003353,0.003195
baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,22,199,199,198,0.995000,0.995000,0.990000,0.031636,199,1.995000,22.000000,22.000000,0.010658,0.131234,1.938649,0.107261,1.869411,1.303882,1.260420,1.622609,2.352783,5.770739,6.054231,0.002590,0.002481
baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,24,200,200,200,1.000000,1.000000,1.000000,0.022629,200,2.000000,22.000000,22.000000,0.002844,0.115995,1.941592,0.079817,1.872249,1.304450,1.260968,1.623315,2.353807,8.646798,9.059502,0.001989,0.001902
baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,26,200,200,200,1.000000,1.000000,1.000000,0.016942,200,2.000000,22.000000,22.000000,0.004869,0.087809,1.938401,0.069202,1.869173,1.303835,1.260373,1.622550,2.352697,13.254290,13.884338,0.001544,0.001479
baseline_routeB_centerT_grid_music,9,0.311111,12.844444,13.155556,28,200,200,200,1.000000,1.000000,1.000000,0.013590,200,2.000000,22.000000,22.000000,-0.004301,0.067660,1.932590,0.053172,1.863569,1.302714,1.259290,1.621155,2.350675,20.455220,21.438998,0.001220,0.001171
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,14,1,0,0,0.005000,0.000000,0.000000,0.096177,1,1.005000,24.000000,24.000000,-2.052788,21.149045,2.188920,0.820991,2.345271,1.364735,1.319244,1.528503,2.216330,1.365721,1.430115,0.012653,0.011876
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,16,0,0,0,0.000000,0.000000,0.000000,0.000000,0,1.000000,24.000000,24.000000,-0.131979,12.692348,2.140986,0.772347,2.293914,1.361167,1.315795,1.524507,2.210536,1.661980,1.742432,0.008572,0.008095
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,18,8,7,6,0.040000,0.035000,0.030000,0.056954,8,1.040000,24.000000,24.000000,0.000857,0.361645,1.985167,0.193668,2.126965,1.354514,1.309364,1.517056,2.199731,2.126914,2.227937,0.005994,0.005668
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,20,61,61,47,0.305000,0.305000,0.235000,0.046633,61,1.305000,24.000000,24.000000,0.008479,0.174431,1.955576,0.126822,2.095260,1.349010,1.304043,1.510891,2.190792,2.876734,3.013726,0.004502,0.004297
baseline_routeB_centerT_grid_music,10,0.280000,12.860000,13.140000,22,149,149,137,0.745000,0.745000,0.685000,0.038035,149,1.745000,24.000000,24.000000,-0.000020,0.153473,1.935417,0.104804,2.073661,1.344732,1.299908,1.506100,2.183845,4.079601,4.275817,0.003232,0.003078
