route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db
dual_center_beamspace,8,0.350000,12.825000,13.175000,18,186,185,0.930000,0.925000,0.044580,186,1.930000,18.000000
dual_center_beamspace,8,0.350000,12.825000,13.175000,20,200,200,1.000000,1.000000,0.031710,200,2.000000,18.000000
dual_center_beamspace,8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.022880,200,2.000000,18.000000
dual_center_beamspace,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.016956,200,2.000000,18.000000
dual_center_beamspace,8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.013038,200,2.000000,18.000000
dual_center_beamspace,8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.010559,200,2.000000,18.000000
dual_center_beamspace,9,0.311111,12.844444,13.155556,14,0,0,0.000000,0.000000,NaN,0,1.000000,22.000000
dual_center_beamspace,9,0.311111,12.844444,13.155556,16,29,28,0.145000,0.140000,0.059952,29,1.145000,22.000000
dual_center_beamspace,9,0.311111,12.844444,13.155556,18,78,76,0.390000,0.380000,0.050454,78,1.390000,22.000000
dual_center_beamspace,9,0.311111,12.844444,13.155556,20,165,165,0.825000,0.825000,0.040930,165,1.825000,22.000000
dual_center_beamspace,9,0.311111,12.844444,13.155556,22,194,194,0.970000,0.970000,0.033668,194,1.970000,22.000000
dual_center_beamspace,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.022285,200,2.000000,22.000000
dual_center_beamspace,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.017709,200,2.000000,22.000000
dual_center_beamspace,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.013396,200,2.000000,22.000000
dual_center_beamspace,10,0.280000,12.860000,13.140000,14,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000
dual_center_beamspace,10,0.280000,12.860000,13.140000,16,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000
dual_center_beamspace,10,0.280000,12.860000,13.140000,18,5,5,0.025000,0.025000,0.047539,5,1.025000,24.000000
dual_center_beamspace,10,0.280000,12.860000,13.140000,20,56,56,0.280000,0.280000,0.049452,56,1.280000,24.000000
dual_center_beamspace,10,0.280000,12.860000,13.140000,22,141,141,0.705000,0.705000,0.040555,141,1.705000,24.000000
dual_center_beamspace,10,0.280000,12.860000,13.140000,24,192,192,0.960000,0.960000,0.031693,192,1.960000,24.000000
dual_center_beamspace,10,0.280000,12.860000,13.140000,26,200,200,1.000000,1.000000,0.023000,200,2.000000,24.000000
dual_center_beamspace,10,0.280000,12.860000,13.140000,28,200,200,1.000000,1.000000,0.018289,200,2.000000,24.000000
