Step 08 Route B adaptive window mapping scan prototype 4d
Scan scope: compare three small-range FWHM-to-window mappings for prototype4d.
snr_list=[16 18 20 22 24], Metkl=200, T_snap=260, tol_deg=0.100
sep_factor_list=[7 8 9 10]
Common Route B settings: K_fbss=56, M_full=48, center_beam_count=37, search_scale_B=4.00, Nfft_spatial=4096
Config config_A_current4b | gamma_search=1.20 gamma_span=1.50 search_upper_ratio=1.60 span_upper_ratio=1.60
Config config_B_moderate_shrink | gamma_search=1.10 gamma_span=1.40 search_upper_ratio=1.50 span_upper_ratio=1.50
Config config_C_strong_shrink | gamma_search=1.05 gamma_span=1.35 search_upper_ratio=1.40 span_upper_ratio=1.40

config_A_current4b | SNR=16 dB raw=15 tol=15 raw_rate=0.075 tol_rate=0.075 RMSE=0.0553 mean_fwhm=2.1140 mean_search_adapt=1.9901 mean_span_adapt=2.9851 mean_num_peaks=1.03
config_B_moderate_shrink | SNR=16 dB raw=15 tol=15 raw_rate=0.075 tol_rate=0.075 RMSE=0.0559 mean_fwhm=2.1140 mean_search_adapt=1.8645 mean_span_adapt=2.7777 mean_num_peaks=1.03
config_C_strong_shrink | SNR=16 dB raw=14 tol=14 raw_rate=0.070 tol_rate=0.070 RMSE=0.0537 mean_fwhm=2.1140 mean_search_adapt=1.7413 mean_span_adapt=2.5852 mean_num_peaks=1.02
config_A_current4b | SNR=18 dB raw=79 tol=77 raw_rate=0.395 tol_rate=0.385 RMSE=0.0520 mean_fwhm=2.0433 mean_search_adapt=1.9907 mean_span_adapt=2.9861 mean_num_peaks=1.40
config_B_moderate_shrink | SNR=18 dB raw=77 tol=74 raw_rate=0.385 tol_rate=0.370 RMSE=0.0511 mean_fwhm=2.0433 mean_search_adapt=1.8658 mean_span_adapt=2.7853 mean_num_peaks=1.38
config_C_strong_shrink | SNR=18 dB raw=75 tol=73 raw_rate=0.375 tol_rate=0.365 RMSE=0.0509 mean_fwhm=2.0433 mean_search_adapt=1.7419 mean_span_adapt=2.5928 mean_num_peaks=1.38
config_A_current4b | SNR=20 dB raw=158 tol=158 raw_rate=0.790 tol_rate=0.790 RMSE=0.0433 mean_fwhm=1.9748 mean_search_adapt=1.9906 mean_span_adapt=2.9859 mean_num_peaks=1.79
config_B_moderate_shrink | SNR=20 dB raw=157 tol=157 raw_rate=0.785 tol_rate=0.785 RMSE=0.0428 mean_fwhm=1.9748 mean_search_adapt=1.8654 mean_span_adapt=2.7864 mean_num_peaks=1.78
config_C_strong_shrink | SNR=20 dB raw=158 tol=157 raw_rate=0.790 tol_rate=0.785 RMSE=0.0429 mean_fwhm=1.9748 mean_search_adapt=1.7418 mean_span_adapt=2.5953 mean_num_peaks=1.79
config_A_current4b | SNR=22 dB raw=196 tol=196 raw_rate=0.980 tol_rate=0.980 RMSE=0.0312 mean_fwhm=1.9663 mean_search_adapt=1.9909 mean_span_adapt=2.9864 mean_num_peaks=1.98
