config_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fwhm_fft_deg,mean_theta_search_adapt_deg,mean_routeB_beam_span_adapt_deg
config_C_strong_shrink,8,0.350000,12.825000,13.175000,20,200,200,1.000000,1.000000,0.030377,200,2.000000,18.000000,1.964491,1.939104,2.748242
config_C_strong_shrink,8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.023082,200,2.000000,18.000000,1.953902,1.949967,2.757246
config_C_strong_shrink,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.015727,200,2.000000,18.000000,1.951401,1.952835,2.759766
config_C_strong_shrink,9,0.311111,12.844444,13.155556,16,14,14,0.070000,0.070000,0.053737,14,1.025000,22.000000,2.114021,1.741334,2.585185
config_C_strong_shrink,9,0.311111,12.844444,13.155556,18,75,73,0.375000,0.365000,0.050891,75,1.375000,22.000000,2.043289,1.741875,2.592817
config_C_strong_shrink,9,0.311111,12.844444,13.155556,20,158,157,0.790000,0.785000,0.042914,158,1.790000,22.000000,1.974840,1.741791,2.595331
config_C_strong_shrink,9,0.311111,12.844444,13.155556,22,197,197,0.985000,0.985000,0.031542,197,1.985000,22.000000,1.966302,1.742058,2.600648
config_C_strong_shrink,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.023576,200,2.000000,22.000000,1.950127,1.742222,2.609689
config_C_strong_shrink,10,0.280000,12.860000,13.140000,16,1,1,0.005000,0.005000,0.056507,1,0.955000,24.000000,2.090221,1.568000,2.346591
config_C_strong_shrink,10,0.280000,12.860000,13.140000,18,8,8,0.040000,0.040000,0.048527,8,1.040000,24.000000,2.009022,1.568000,2.349815
config_C_strong_shrink,10,0.280000,12.860000,13.140000,20,58,57,0.290000,0.285000,0.048839,58,1.290000,24.000000,1.950162,1.568000,2.352000
config_C_strong_shrink,10,0.280000,12.860000,13.140000,22,139,139,0.695000,0.695000,0.039868,139,1.695000,24.000000,1.941426,1.568000,2.352000
config_C_strong_shrink,10,0.280000,12.860000,13.140000,24,189,189,0.945000,0.945000,0.030584,189,1.945000,24.000000,1.947747,1.568000,2.352000
