stage,case_name,el_b_deg,el_mismatch_deg,snr_db,route_name,raw_success_rate,az_tol_success_rate_abs01,el_tol_success_rate_abs05,joint_tol_success_rate,az_rmse_deg,el_rmse_deg,pair_2d_rmse,peak_count_mean,degraded_rate,route_failure_reason,mean_objective_true_pair,mean_objective_best,objective_margin,objective_true_rank_median,el_common_est_mean,el_common_est_error
B,el0_2,0,2,0,level2_rank1_fallback_baseline,1,1,0,0,0.0593775444933353,2,2.00112955412537,2,1,el_error,2.98044427161068e-06,2.57943896858836e-06,4.01005303022319e-07,NaN,NaN,NaN
B,el0_2,0,2,0,level2_el_bank_baseline,1,1,0.7,0.7,0.0256224555066647,0.3,0.315855912345309,2,0.3,el_error,4.09384995094822e-07,1.45543605330337e-07,2.63841389764485e-07,NaN,NaN,NaN
B,el0_2,0,2,0,level3_2d_fbss_music_grid,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
B,el0_2,0,2,0,level3_common_el_rank1_covfit,1,0,1,0,0.268112277533324,0,0.268112277533324,2,1,az_error,0.000146147549937816,0.000143716411936316,2.43113800149958e-06,11,0,NaN
B,el0_2,0,2,0,level3_pair_el_local_rank1_covfit,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
B,el0_2,0,2,0,level3_oracle_el_rank1_covfit_upper_bound,1,1,1,1,0.0316227766016838,0.5,0.500999001995014,2,0,ok,0.000146098388490674,0.000143621969308254,2.47641918241952e-06,27,NaN,NaN
B,el0_2,0,2,8,level2_rank1_fallback_baseline,1,1,0,0,0.041,2,2.00058042488672,2,1,el_error,4.190834235687e-07,2.6800002714716e-07,1.5108339642154e-07,NaN,NaN,NaN
B,el0_2,0,2,8,level2_el_bank_baseline,1,1,0.1,0.1,0.0176224555066647,1.1,1.10220718572919,2,0.9,el_error,1.40240735123401e-07,0,1.40240735123401e-07,NaN,NaN,NaN
B,el0_2,0,2,8,level3_2d_fbss_music_grid,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
B,el0_2,0,2,8,level3_common_el_rank1_covfit,1,1,1,1,0.0918877224666765,0,0.0918877224666765,2,0,ok,1.79889946969071e-05,1.78967163797651e-05,9.2278317141972e-08,3,0,NaN
B,el0_2,0,2,8,level3_pair_el_local_rank1_covfit,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
B,el0_2,0,2,8,level3_oracle_el_rank1_covfit_upper_bound,1,1,1,1,0.0316227766016838,0,0.0316227766016838,2,0,ok,1.80111086623663e-05,1.78058766915276e-05,2.05231970838689e-07,7,NaN,NaN
B,el0_2,0,2,16,level2_rank1_fallback_baseline,1,1,0,0,0.0272449110133294,2,2.00023642785522,2,1,el_error,1.16888429124592e-07,0,1.16888429124592e-07,NaN,NaN,NaN
B,el0_2,0,2,16,level2_el_bank_baseline,1,1,0,0,0.0305663167400029,2.35,2.3503453559119,2,1,el_error,1.4220161124922e-07,0,1.4220161124922e-07,NaN,NaN,NaN
B,el0_2,0,2,16,level3_2d_fbss_music_grid,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
B,el0_2,0,2,16,level3_common_el_rank1_covfit,1,0,1,0,0.148112277533324,0,0.148112277533324,2,1,az_error,2.99642795603678e-06,2.96278726598439e-06,3.36406900523856e-08,7,0,NaN
B,el0_2,0,2,16,level3_pair_el_local_rank1_covfit,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
B,el0_2,0,2,16,level3_oracle_el_rank1_covfit_upper_bound,1,1,1,1,0.04,0,0.04,2,0,ok,2.99330749864616e-06,2.98212582354401e-06,1.11816751021502e-08,3,NaN,NaN
B,el0_5,0,5,0,level2_rank1_fallback_baseline,1,0.95,0,0,0.0637921019787357,5,5.00046584247346,2,1,el_error,5.05033193277259e-05,4.42931331519797e-05,6.2101861757462e-06,NaN,NaN,NaN
B,el0_5,0,5,0,level2_el_bank_baseline,1,1,0.35,0.35,0.0363775444933353,0.65,0.665411162359857,2,0.65,el_error,3.8457712701745e-07,9.04110135373214e-08,2.94166113480129e-07,NaN,NaN,NaN
B,el0_5,0,5,0,level3_2d_fbss_music_grid,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
B,el0_5,0,5,0,level3_common_el_rank1_covfit,1,1,1,1,0.0918877224666765,0,0.0918877224666765,2,0,ok,0.000117562502603514,0.000117499278006158,6.32245973559612e-08,3,0,NaN
B,el0_5,0,5,0,level3_pair_el_local_rank1_covfit,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN
