obs_id,chunk_id,total_chunks,run_tag,scenario_name,center_az,trial_id,quant_mode,stage_name,elapsed_sec,num_candidates,num_topK,score_lanes_assumed,comment
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,double_baseline,ranking_compare,0.1507664,7353,10,NaN,ranking and topK comparison
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,float32_all,score_recompute,0.3380476,7353,10,NaN,Step12 quantized score recompute
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,float32_all,ranking_compare,0.1732623,7353,10,NaN,ranking and topK comparison
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,combined_int16,score_recompute,0.3141417,7353,10,NaN,Step12 quantized score recompute
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,combined_int16,ranking_compare,0.1587413,7353,10,NaN,ranking and topK comparison
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,combined_int18,score_recompute,0.3311929,7353,10,NaN,Step12 quantized score recompute
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,combined_int18,ranking_compare,0.1621617,7353,10,NaN,ranking and topK comparison
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,combined_int24,score_recompute,0.3146012,7353,10,NaN,Step12 quantized score recompute
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,combined_int24,ranking_compare,0.1530386,7353,10,NaN,ranking and topK comparison
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,mixed_Z16_G24_Rz24,score_recompute,0.2936864,7353,10,NaN,Step12 quantized score recompute
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,mixed_Z16_G24_Rz24,ranking_compare,0.1489916,7353,10,NaN,ranking and topK comparison
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,combined_int14,score_recompute,0.2957316,7353,10,NaN,Step12 quantized score recompute
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,combined_int14,ranking_compare,0.1580258,7353,10,NaN,ranking and topK comparison
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,W_int18_G24_Z16,score_recompute,0.2985282,7353,10,NaN,Step12 quantized score recompute
cp00p00_strong_coherent_t0008,38,120,formal_tps30,strong_coherent,0,8,W_int18_G24_Z16,ranking_compare,0.1799484,7353,10,NaN,ranking and topK comparison
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,double_baseline,score_recompute,0.3545173,7353,10,NaN,Step12 quantized score recompute
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,double_baseline,ranking_compare,0.1603129,7353,10,NaN,ranking and topK comparison
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,float32_all,score_recompute,0.3199056,7353,10,NaN,Step12 quantized score recompute
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,float32_all,ranking_compare,0.1634023,7353,10,NaN,ranking and topK comparison
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,combined_int16,score_recompute,0.3148589,7353,10,NaN,Step12 quantized score recompute
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,combined_int16,ranking_compare,0.1632347,7353,10,NaN,ranking and topK comparison
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,combined_int18,score_recompute,0.297601,7353,10,NaN,Step12 quantized score recompute
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,combined_int18,ranking_compare,0.1512897,7353,10,NaN,ranking and topK comparison
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,combined_int24,score_recompute,0.301942,7353,10,NaN,Step12 quantized score recompute
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,combined_int24,ranking_compare,0.151204,7353,10,NaN,ranking and topK comparison
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,mixed_Z16_G24_Rz24,score_recompute,0.3028905,7353,10,NaN,Step12 quantized score recompute
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,mixed_Z16_G24_Rz24,ranking_compare,0.1509018,7353,10,NaN,ranking and topK comparison
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,combined_int14,score_recompute,0.3465741,7353,10,NaN,Step12 quantized score recompute
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,combined_int14,ranking_compare,0.1695689,7353,10,NaN,ranking and topK comparison
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,W_int18_G24_Z16,score_recompute,0.3199066,7353,10,NaN,Step12 quantized score recompute
cp00p00_near_tie_close_sep_t0008,38,120,formal_tps30,near_tie_close_sep,0,8,W_int18_G24_Z16,ranking_compare,0.1629052,7353,10,NaN,ranking and topK comparison
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,double_baseline,score_recompute,0.3236,7353,10,NaN,Step12 quantized score recompute
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,double_baseline,ranking_compare,0.1584086,7353,10,NaN,ranking and topK comparison
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,float32_all,score_recompute,0.3130807,7353,10,NaN,Step12 quantized score recompute
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,float32_all,ranking_compare,0.1505784,7353,10,NaN,ranking and topK comparison
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,combined_int16,score_recompute,0.2987243,7353,10,NaN,Step12 quantized score recompute
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,combined_int16,ranking_compare,0.1507084,7353,10,NaN,ranking and topK comparison
cp00p00_low_margin_score_gap_t0008,38,120,formal_tps30,low_margin_score_gap,0,8,combined_int18,score_recompute,0.2988244,7353,10,NaN,Step12 quantized score recompute
