summary_level,group,case_name,SNR,num_trials,full_success_rate,lazy_success_rate,lazy_vs_full_success_gap,route_agreement_full_vs_lazy,lazy_false_high_confidence_rate,lazy_false_medium_high_confidence_rate,lazy_boundary_missed_rate,lazy_low_confidence_rate,lazy_boundary_unreliable_rate,mean_full_runtime_sec,median_full_runtime_sec,p90_full_runtime_sec,p95_full_runtime_sec,mean_lazy_runtime_sec,median_lazy_runtime_sec,p90_lazy_runtime_sec,p95_lazy_runtime_sec,mean_runtime_speedup,median_runtime_speedup,p90_runtime_speedup,mean_runtime_reduction,mean_executed_stage_count,execution_rate_level2_music,execution_rate_refocus,execution_rate_level2_rank1,execution_rate_2dmusic,execution_rate_pair_local,early_stop_rate,heavy_route_trigger_rate,pair_local_trigger_rate,early_stop_stage1_rate,early_stop_stage2_rate,early_stop_stage3_rate,early_stop_stage4_rate,early_stop_stage5_rate,early_stop_stage6_rate,main_lazy_route,main_failure_reason
scenario_snr,phase_scan,phase_0,0,3,1,1,0,0,0,0,0,0,0,0.6062751,0.604751,0.61134996,0.61217483,0.0897474333333333,0.0897587,0.08980702,0.08981306,6.7553901247926,6.7375195942009,6.8167783808625,0.851958290058364,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,level2_rank1_fallback,music_single_rank1_fallback
scenario_snr,phase_scan,phase_0,8,3,0.666666666666667,0.666666666666667,0,0.333333333333333,0,0,0,0.333333333333333,0,0.607259733333333,0.6126865,0.61397778,0.61413919,0.2609021,0.091394,0.49942912,0.55043351,4.78217582962264,6.50799943103486,6.75531306815867,0.573530890592258,3.33333333333333,1,1,1,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0,0,0.666666666666667,0,0,0.333333333333333,level2_rank1_fallback,music_single_rank1_fallback
scenario_snr,phase_scan,phase_0,16,3,0.666666666666667,0.666666666666667,0,0.333333333333333,0,0,0,0.333333333333333,0,0.598448433333333,0.5979239,0.60397878,0.60473564,0.264833933333333,0.0982803,0.50506998,0.55591869,4.5662954578836,6.08386319537079,6.51047208940679,0.560800715862793,3.33333333333333,1,1,1,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0,0,0.666666666666667,0,0,0.333333333333333,level2_rank1_fallback,music_single_rank1_fallback
scenario_snr,phase_scan,phase_120,0,3,1,1,0,1,0,0,0,0,0,0.633495533333333,0.6373305,0.66075522,0.66368331,0.0859413666666667,0.0847662,0.08782604,0.08820852,7.36858293852541,7.51868669351699,7.52341337803019,0.864168983730333,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,common_el_refocus_power_rank1,ok
scenario_snr,phase_scan,phase_120,8,3,1,1,0,1,0,0,0,0,0,0.6369384,0.6382619,0.6443883,0.6451541,0.0868198,0.0868831,0.0885839,0.0887965,7.34142259900696,7.34621462631973,7.57960155130336,0.8636356404356,2,1,1,0,0,0,1,0,0,0.333333333333333,0.666666666666667,0,0,0,0,common_el_refocus_power_rank1,ok
scenario_snr,phase_scan,phase_120,16,3,1,1,0,1,0,0,0,0,0,0.643995366666667,0.6460041,0.64822282,0.64850016,0.0874408666666667,0.0876323,0.0886307,0.0887555,7.36720979570348,7.3717579020521,7.52285408594591,0.864199423043553,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,level2_music_or_center_real,ok
scenario_snr,phase_scan,phase_150,0,3,0.333333333333333,0.333333333333333,0,1,0,0,0,1,1,0.660595933333333,0.6638762,0.67461996,0.67596293,0.635239633333333,0.642335,0.65794332,0.65989436,1.04199406845852,1.05444339791542,1.09379303233856,0.0374587633073045,4,1,1,1,1,0,0,1,0,0,0,0,0,0,1,boundary_unreliable,boundary_unreliable
scenario_snr,phase_scan,phase_150,8,3,0.666666666666667,0.666666666666667,0,1,0,0,0,0.666666666666667,0.666666666666667,0.632606466666667,0.6344472,0.63650992,0.63676776,0.428908366666667,0.5967489,0.60094666,0.60147138,3.08018220786363,1.0631728018267,5.9079824856348,0.324647588735769,3.33333333333333,1,1,0.666666666666667,0.666666666666667,0,0.333333333333333,0.666666666666667,0,0.333333333333333,0,0,0,0,0.666666666666667,boundary_unreliable,boundary_unreliable
scenario_snr,phase_scan,phase_150,16,3,1,1,0,1,0,0,0,0,0,0.666059233333333,0.6566358,0.6905218,0.69475755,0.0881122333333333,0.089231,0.08950396,0.08953808,7.55885643970285,7.51224490988911,7.76926925744263,0.867605592098539,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,level2_music_or_center_real,ok
scenario_snr,phase_scan,phase_180,0,3,0,0,0,1,0,0,0,1,1,0.618103166666667,0.6084596,0.63597504,0.63941447,0.640108133333333,0.654187,0.66405572,0.66528931,0.967372153884876,0.982676054400347,1.00833625972062,-0.0361481969849969,4,1,1,1,1,0,0,1,0,0,0,0,0,0,1,boundary_unreliable,boundary_unreliable
scenario_snr,phase_scan,phase_180,8,3,0,0,0,1,0,0,0,1,1,0.617491033333333,0.6105301,0.62918794,0.63152017,0.607149133333333,0.6030221,0.6133649,0.61465775,1.01724535831269,1.0133705199571,1.04357515886155,0.0163026531637742,4,1,1,1,1,0,0,1,0,0,0,0,0,0,1,boundary_unreliable,boundary_unreliable
scenario_snr,phase_scan,phase_180,16,3,0,0,0,1,0,0,0,1,1,0.6026,0.6012033,0.60736434,0.60813447,0.598692033333333,0.5962462,0.60443236,0.60545563,1.00655282297353,1.00399964450536,1.01138698445504,0.00648794083751529,4,1,1,1,1,0,0,1,0,0,0,0,0,0,1,boundary_unreliable,boundary_unreliable
scenario_snr,large_el,A_el2_beta1_phase0_rho1,0,3,1,1,0,1,0,0,0,0,0,0.652628566666667,0.634587,0.6804998,0.6862389,0.646430633333333,0.6372795,0.66659646,0.67026108,1.00923692023733,1.00514897067555,1.02245921877346,0.00898921521799867,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,A_el2_beta1_phase0_rho1,8,3,1,1,0,1,0,0,0,0,0,0.637063166666667,0.6373689,0.64092866,0.64137363,0.6411055,0.6403448,0.6426584,0.6429476,0.993689400140362,0.996301593050496,0.997496489177455,-0.00637412856438798,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,A_el2_beta1_phase0_rho1,16,3,1,1,0,1,0,0,0,0,0,0.6568858,0.6460157,0.67233514,0.67562507,0.641960766666667,0.6343195,0.65313518,0.65548714,1.02313916038823,1.01894043097962,1.02941854811283,0.0225789984721426,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,B_el5_beta1_phase0_rho1,0,3,1,1,0,1,0,0,0,0,0,0.638686433333333,0.6381348,0.64431352,0.64508586,0.637082266666667,0.6317841,0.64548498,0.64719759,1.00258316379569,1.0024007517217,1.00852175822906,0.00254049299137863,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,B_el5_beta1_phase0_rho1,8,3,1,1,0,1,0,0,0,0,0,0.6465529,0.6327779,0.66780926,0.67218818,0.6514379,0.650264,0.66816728,0.67040519,0.99244173741421,1.00217181765284,1.00510132584684,-0.00789480106934792,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,B_el5_beta1_phase0_rho1,16,3,1,1,0,1,0,0,0,0,0,0.6658179,0.6729476,0.67958872,0.68041886,0.668522933333333,0.6645812,0.68497528,0.68752454,0.996166409660293,0.988236998508866,1.01771152429633,-0.00429533838906078,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,C_el5_beta05_phase0_rho1,0,3,1,1,0,1,0,0,0,0,0,0.645652966666667,0.6427966,0.65965852,0.66176626,0.636796466666667,0.6346771,0.64043894,0.64115917,1.01383099382601,1.01414205542186,1.03024116182852,0.013370789444885,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,C_el5_beta05_phase0_rho1,8,3,1,1,0,1,0,0,0,0,0,0.6347283,0.6354003,0.63579398,0.63584319,0.6421871,0.6478689,0.65040762,0.65072496,0.988663013785346,0.976883131757058,1.00588222493253,-0.0117732238666634,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,C_el5_beta05_phase0_rho1,16,3,1,1,0,1,0,0,0,0,0,0.647732833333333,0.6371777,0.67097834,0.67520342,0.648639666666667,0.6456037,0.65882874,0.66048187,0.998366426478365,0.998428970621625,1.02058002264268,-0.00215381099417389,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,D_el5_beta1_phase180_rho1,0,3,1,1,0,1,0,0,0,0,0,0.638639533333333,0.6370485,0.64485186,0.64582728,0.639944133333333,0.6381299,0.6433963,0.6440546,0.997991865409047,0.992272715284519,1.0093273136323,-0.00213661467043121,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,D_el5_beta1_phase180_rho1,8,3,1,1,0,1,0,0,0,0,0,0.658406233333333,0.6490968,0.68338416,0.68767008,0.6460324,0.6340146,0.66329916,0.66695973,1.01890466861859,1.0237884111817,1.03020958102318,0.0183930190950967,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,D_el5_beta1_phase180_rho1,16,3,1,1,0,1,0,0,0,0,0,0.636506933333333,0.6393859,0.64075726,0.64092868,0.643293666666667,0.6402999,0.6481787,0.64916355,0.989486745478106,0.983446087077966,0.998775316546901,-0.0107134212874529,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,E_el5_beta1_phase0_rho07,0,3,1,1,0,1,0,0,0,0,0,0.661651166666667,0.6699667,0.67274958,0.67309744,0.673623133333333,0.6795934,0.70676188,0.71015794,0.98396126355846,0.990953267056449,1.01580290851785,-0.0175490478781376,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,E_el5_beta1_phase0_rho07,8,3,1,1,0,1,0,0,0,0,0,0.669391433333333,0.6739822,0.69245924,0.69476887,0.662083666666667,0.6491257,0.68514426,0.68964658,1.01219525197499,0.981494955445455,1.06361356126616,0.00961232951992589,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,E_el5_beta1_phase0_rho07,16,3,1,1,0,1,0,0,0,0,0,0.650873433333333,0.6482604,0.6603972,0.6619143,0.6359231,0.634527,0.63850444,0.63900162,1.0235649715302,1.02290658602416,1.04102345441885,0.0227307752907096,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,F_el10_beta05_phase180_rho07,0,3,1,1,0,1,0,0,0,0,0,0.635409966666667,0.6376928,0.6391772,0.63936275,0.6487164,0.6503738,0.65909524,0.66018542,0.979804327119349,0.96711890915655,0.999789110866875,-0.0210288686939993,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,F_el10_beta05_phase180_rho07,8,3,1,1,0,1,0,0,0,0,0,0.660809666666667,0.6518173,0.6770505,0.68020465,0.648200733333333,0.6368382,0.66481468,0.66831174,1.01949278910639,1.01776493061146,1.02236982217264,0.0191123916107591,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
scenario_snr,large_el,F_el10_beta05_phase180_rho07,16,3,1,1,0,1,0,0,0,0,0,0.6382661,0.6406967,0.6421791,0.6423644,0.642568766666667,0.6334108,0.65771552,0.66075361,0.993765952564652,1.0016623214642,1.01187492615172,-0.00672142195952863,5,1,1,1,1,1,1,1,1,0,0,0,0,1,0,pair_el_local_covfit,ok
