group,case_name,SNR,mc,full_route,lazy_route,full_success,lazy_success,route_agreement_full_vs_lazy,lazy_false_high_confidence,lazy_false_medium_high_confidence,lazy_boundary_missed,lazy_low_confidence,lazy_boundary_unreliable,full_runtime_sec,lazy_runtime_sec,runtime_speedup,runtime_reduction,full_t_level2_music,full_t_level2_rank1,full_t_refocus,full_t_2dmusic,full_t_pair_local,full_t_dispatch,lazy_t_level2_music,lazy_t_refocus,lazy_t_level2_rank1,lazy_t_2dmusic,lazy_t_pair_local,executed_level2_music,executed_refocus,executed_level2_rank1,executed_2dmusic,executed_pair_local,executed_stage_count,early_stop_stage,early_stop_flag,confidence_flag,failure_reason
rho_scan,rho_0.7,8,3,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.5998367,0.0972971,6.16500080680719,0.837794019605669,0.0065051,0.0043016,0.0804227,0.5083095,0,0.000203,0.0063595,0.0869686,0.0037378,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_0.7,16,1,level2_music_or_center_real,level2_music_or_center_real,1,1,1,0,0,0,0,0,0.6733572,0.0957663,7.03125420946617,0.857777862923275,0.009185,0.003339,0.0916118,0.5078098,0.057846,0.0031023,0.0067965,0.0878411,0,0,0,1,1,0,0,0,2,1,1,medium,ok
rho_scan,rho_0.7,16,2,level2_music_or_center_real,level2_music_or_center_real,1,1,1,0,0,0,0,0,0.6320374,0.0882047,7.16557507706505,0.860443859809562,0.0060991,0.0038312,0.0851036,0.5010512,0.0340836,0.0017723,0.0060549,0.0816294,0,0,0,1,1,0,0,0,2,1,1,medium,ok
rho_scan,rho_0.7,16,3,low_confidence,low_confidence,1,1,1,0,0,0,1,0,0.6216231,0.5943134,1.04595168138561,0.0439328911682979,0.008197,0.00383,0.0998014,0.5092222,0,0.0004752,0.0068879,0.0791179,0.0034711,0.5040152,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
rho_scan,rho_0.5,0,1,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6370572,0.090967,7.00316818186815,0.857207484665427,0.0073226,0.0042517,0.0960715,0.5291097,0,0.0001984,0.006412,0.0809012,0.0033963,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_0.5,0,2,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.629351,0.0907304,6.93649537530971,0.85583497920874,0.006321,0.0035106,0.0850607,0.534189,0,0.0001788,0.0058134,0.0806352,0.0040674,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_0.5,0,3,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6022984,0.0953777,6.31487653822644,0.841643776573207,0.0062953,0.0034675,0.0807287,0.5115188,0,0.000188,0.0068149,0.0844413,0.0039059,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_0.5,8,1,common_el_refocus_power_rank1,common_el_refocus_power_rank1,1,1,1,0,0,0,0,0,0.599587,0.0893217,6.7126689259161,0.851027957577466,0.0068754,0.0036756,0.082364,0.5055776,0,0.0009811,0.0059208,0.0824324,0,0,0,1,1,0,0,0,2,2,1,medium,ok
rho_scan,rho_0.5,8,2,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6151733,0.0889443,6.91638812155473,0.855415864115039,0.0066123,0.0039529,0.0810065,0.5233033,0,0.0001976,0.0059042,0.0790559,0.0037202,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
rho_scan,rho_0.5,8,3,level2_music_or_center_real,level2_music_or_center_real,1,1,1,0,0,0,0,0,0.5973051,0.0865395,6.90210944135337,0.855116756913678,0.0065749,0.0037389,0.0804888,0.5050287,0,0.0013725,0.0056633,0.0804682,0,0,0,1,1,0,0,0,2,1,1,medium,ok
rho_scan,rho_0.5,16,1,level2_music_or_center_real,level2_music_or_center_real,1,1,1,0,0,0,0,0,0.6841619,0.0934466,7.32142100408147,0.863414492973081,0.0061466,0.0035508,0.081903,0.5558352,0.0343072,0.0023143,0.0063811,0.086639,0,0,0,1,1,0,0,0,2,1,1,medium,ok
rho_scan,rho_0.5,16,2,level2_music_or_center_real,level2_music_or_center_real,1,1,1,0,0,0,0,0,0.6793296,0.099017,6.86073704515386,0.854243065516356,0.0064925,0.0043241,0.0874578,0.5435874,0.0366712,0.0006762,0.007069,0.0910724,0,0,0,1,1,0,0,0,2,1,1,medium,ok
rho_scan,rho_0.5,16,3,common_el_refocus_power_rank1,common_el_refocus_power_rank1,1,1,1,0,0,0,0,0,0.669856,0.0916845,7.30609863172074,0.86312804543066,0.0067453,0.0044467,0.0930011,0.5267997,0.038101,0.000212,0.0060578,0.0853205,0,0,0,1,1,0,0,0,2,2,1,medium,ok
beta_scan,beta_1,0,1,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6311972,0.0928309,6.79942993119748,0.852928846959397,0.0067595,0.0040055,0.0897375,0.5304109,0,0.0001871,0.0070013,0.0824162,0.0031988,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_1,0,2,low_confidence,low_confidence,0,0,1,0,0,0,1,0,0.6259053,0.6077645,1.02984840345232,0.0289832982721188,0.0070692,0.0035741,0.0829988,0.5315099,0,0.0006433,0.0063421,0.0809937,0.0034257,0.5158918,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
beta_scan,beta_1,0,3,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6043591,0.090912,6.64773737240408,0.849572878111705,0.0064725,0.0032157,0.0798396,0.5145498,0,0.0001838,0.0070633,0.0805297,0.0030818,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_1,8,1,low_confidence,low_confidence,0,0,1,0,0,0,1,0,0.5986405,0.5973581,1.00214678598984,0.00214218717243486,0.0061366,0.0039151,0.080773,0.5074671,0,0.0002544,0.0061426,0.0813254,0.003838,0.505343,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
beta_scan,beta_1,8,2,low_confidence,low_confidence,0,0,1,0,0,0,1,0,0.596485,0.6028303,0.989474152178482,-0.0106378198948842,0.0057205,0.0039098,0.0795013,0.5070231,0,0.0002315,0.0062246,0.0787457,0.0036998,0.5137076,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
beta_scan,beta_1,8,3,low_confidence,low_confidence,0,0,1,0,0,0,1,0,0.6053219,0.6223731,0.972602929014766,-0.0281688139814535,0.0064117,0.003291,0.0837429,0.5115442,0,0.0002268,0.0092701,0.0914639,0.0037124,0.5174693,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
beta_scan,beta_1,16,1,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.632908,0.0969718,6.52672220171225,0.846783734760818,0.007031,0.0034339,0.0950791,0.5270747,0,0.0001913,0.0059734,0.0869889,0.0037849,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_1,16,2,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.629313,0.0923374,6.81536408865747,0.853272695780955,0.0066977,0.0032441,0.0897138,0.5293548,0,0.0002054,0.0063206,0.0815998,0.0041244,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_1,16,3,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6120724,0.0917333,6.67230329662184,0.850126717035436,0.0070686,0.0035779,0.0810617,0.5200672,0,0.0001953,0.0068516,0.0814084,0.0031722,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.5,0,1,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6064372,0.0928347,6.532440994585,0.846917867175694,0.0062943,0.0037668,0.0838927,0.512197,0,0.000185,0.0075407,0.0815749,0.0034777,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.5,0,2,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6043321,0.0903839,6.68628041055985,0.850440014687289,0.0064425,0.0035663,0.0837411,0.5103099,0,0.0001774,0.0062852,0.0802877,0.0035624,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.5,0,3,common_el_refocus_power_rank1,level2_rank1_fallback,0,0,0,0,1,0,0,0,0.6267026,0.0901632,6.95075818072118,0.856130802712483,0.0062868,0.0035757,0.0997241,0.5168224,0,0.0001947,0.0069343,0.0799149,0.0030919,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.5,8,1,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6117398,0.0917871,6.66476879648665,0.849957285761038,0.0060338,0.0036886,0.0834135,0.5183249,0,0.0001842,0.0060522,0.0821506,0.003347,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.5,8,2,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.5992668,0.0909314,6.59031753607665,0.848262243127769,0.0060264,0.0037679,0.0828849,0.5062942,0,0.0001886,0.0067607,0.0803667,0.0035734,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.5,8,3,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.5984394,0.0914387,6.54470590679876,0.847204746211563,0.0067755,0.0037032,0.0826391,0.5050213,0,0.0001942,0.0062499,0.0815798,0.0033678,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.5,16,1,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6456114,0.0891014,7.24580534088129,0.861989116053403,0.0067746,0.0040829,0.0937415,0.5407268,0,0.0001844,0.0059642,0.079456,0.003432,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.5,16,2,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6371885,0.097172,6.55732618449759,0.847498817069046,0.0065043,0.0037019,0.0884194,0.5382625,0,0.0001978,0.0060736,0.0868311,0.0039941,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.5,16,3,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6181238,0.0922023,6.70399545347567,0.85083522103501,0.006575,0.0039184,0.0865432,0.5208052,0,0.0001868,0.0062939,0.082263,0.0033735,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.3,0,1,low_confidence,low_confidence,0,0,1,0,0,0,1,0,0.6019363,0.5968375,1.0085430288814,0.00847066375628114,0.006346,0.0040581,0.0876682,0.5035234,0,0.0002362,0.0062217,0.0808807,0.003705,0.5056029,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
beta_scan,beta_0.3,0,2,low_confidence,low_confidence,0,0,1,0,0,0,1,0,0.598836,0.6095498,0.982423421351299,-0.0178910419547256,0.0058134,0.0033397,0.0810101,0.508308,0,0.0002453,0.0061585,0.0791756,0.0031178,0.5206381,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
beta_scan,beta_0.3,0,3,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6057873,0.094901,6.3833605546833,0.843342704609357,0.0061459,0.0041874,0.0865092,0.5086616,0,0.0001867,0.0072263,0.0836771,0.0037365,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.3,8,1,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6574659,0.0934089,7.0385787649785,0.857925863531477,0.0066037,0.0034189,0.0929929,0.55412,0,0.0002315,0.007902,0.0814622,0.0037933,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.3,8,2,common_el_refocus_power_rank1,level2_rank1_fallback,0,0,0,0,1,0,0,0,0.6367827,0.0898004,7.09108979470025,0.858977952761593,0.0066588,0.0035622,0.0898318,0.5364299,0,0.0002017,0.0063785,0.0796777,0.0034903,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.3,8,3,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.5962459,0.0901417,6.61454021834512,0.848817912207027,0.0059719,0.0038664,0.0804984,0.505606,0,0.0002019,0.0066896,0.0799105,0.0032764,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.3,16,1,low_confidence,low_confidence,0,0,1,0,0,0,1,0,0.607429,0.6046763,1.00455235305237,0.00453172304911342,0.0060976,0.0036786,0.081465,0.515849,0,0.0002409,0.006135,0.0836198,0.0038327,0.5106773,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
beta_scan,beta_0.3,16,2,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.5964308,0.0900942,6.62007987195624,0.848944420710668,0.0058375,0.0036171,0.0803913,0.5062923,0,0.0001911,0.0063206,0.0804181,0.0031204,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.3,16,3,boundary_unreliable,level2_rank1_fallback,0,0,0,0,1,0,0,0,0.5931979,0.0889469,6.66912393798997,0.850055268233417,0.0060084,0.0036986,0.0828468,0.4999367,0,0.0006133,0.0061223,0.0791051,0.0034841,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.1,0,1,boundary_unreliable,level2_rank1_fallback,0,0,0,0,1,0,0,0,0.6191673,0.0883883,7.00508212059741,0.857246498644228,0.0062187,0.0040446,0.0884976,0.5199786,0,0.0003312,0.0063554,0.078038,0.0037421,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.1,0,2,low_confidence,low_confidence,0,0,1,0,0,0,1,0,0.6121046,0.6027149,1.01557900758717,0.015340025217912,0.0065443,0.0037007,0.0839712,0.5175592,0,0.0002211,0.0063351,0.0812222,0.0036186,0.5110957,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
beta_scan,beta_0.1,0,3,common_el_refocus_power_rank1,level2_rank1_fallback,0,0,0,0,1,0,0,0,0.6010903,0.0915175,6.56803671428962,0.847747501498527,0.0060592,0.0036701,0.0822563,0.5088193,0,0.0001841,0.0064019,0.0812843,0.0035501,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.1,8,1,common_el_refocus_power_rank1,level2_rank1_fallback,0,0,0,0,1,0,0,0,0.6466329,0.0886694,7.29262744531935,0.86287521095818,0.0068131,0.0035442,0.0960983,0.5399027,0,0.0001784,0.0061177,0.0783773,0.0039244,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
beta_scan,beta_0.1,8,2,low_confidence,low_confidence,0,0,1,0,0,0,1,0,0.6350473,0.6222509,1.02056469504504,0.020150310063518,0.0063997,0.0031159,0.0863444,0.5388145,0,0.0002627,0.0064817,0.0879803,0.0037252,0.523651,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
beta_scan,beta_0.1,8,3,low_confidence,low_confidence,0,0,1,0,0,0,1,0,0.6539678,0.63146,1.03564406296519,0.0344172908819057,0.0057371,0.0044773,0.0899053,0.5535179,0,0.0002294,0.0065584,0.0837377,0.0031839,0.5375623,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
beta_scan,beta_0.1,16,1,low_confidence,low_confidence,0,0,1,0,0,0,1,0,0.6529041,0.6436231,1.01441992992483,0.0142149513228665,0.0062009,0.0037303,0.0929976,0.54964,0,0.0002344,0.005994,0.0802923,0.0030437,0.5538653,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
beta_scan,beta_0.1,16,2,low_confidence,low_confidence,0,0,1,0,0,0,1,0,0.5950114,0.5996426,0.992276732840529,-0.00778338028481484,0.0059177,0.0029798,0.0805328,0.5052707,0,0.0002184,0.0060975,0.0804922,0.0037242,0.5088855,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
beta_scan,beta_0.1,16,3,common_el_refocus_power_rank1,level2_rank1_fallback,0,0,0,0,1,0,0,0,0.6071857,0.089057,6.8179446871105,0.853328232203097,0.00864,0.0052226,0.0886232,0.5043557,0,0.0002009,0.0062772,0.0791257,0.0034221,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
phase_scan,phase_0,0,1,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.604751,0.0897587,6.7375195942009,0.851577426081148,0.0063518,0.003796,0.0815428,0.5127684,0,0.0001866,0.0061454,0.0794902,0.0038743,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
phase_scan,phase_0,0,2,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6129997,0.0896645,6.8365930775279,0.853728313407005,0.0062477,0.003364,0.0793967,0.5237076,0,0.0001865,0.0059276,0.0801083,0.0033829,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
phase_scan,phase_0,0,3,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6010746,0.0898191,6.69205770264899,0.85056913068694,0.0059915,0.0038097,0.0819704,0.5090065,0,0.0001931,0.0058321,0.0809393,0.0028277,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
phase_scan,phase_0,8,1,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.5947921,0.091394,6.50799943103486,0.846342949074139,0.0058799,0.0035823,0.0825194,0.5024958,0,0.0001952,0.0063166,0.081595,0.0032311,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
phase_scan,phase_0,8,2,low_confidence,low_confidence,0,0,1,0,0,0,1,0,0.6143006,0.6014379,1.02138658039342,0.0209387716697655,0.0068894,0.0045446,0.0827532,0.5197425,0,0.0002674,0.0058668,0.0810221,0.0033008,0.5107892,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
phase_scan,phase_0,8,3,common_el_refocus_power_rank1,level2_rank1_fallback,1,1,0,0,0,0,0,0,0.6126865,0.0898744,6.81714147743963,0.853310951032869,0.0064381,0.0031818,0.0843912,0.5183659,0,0.0002011,0.0061915,0.0804029,0.0030197,0,0,1,1,1,0,0,3,3,1,medium,music_single_rank1_fallback
phase_scan,phase_0,16,1,low_confidence,low_confidence,0,0,1,0,0,0,1,0,0.6054925,0.6067674,0.997898865364224,-0.00210555869808449,0.0058497,0.003774,0.0841159,0.5114105,0,0.0002259,0.006136,0.0812613,0.0037728,0.5151736,0,1,1,1,1,0,4,6,0,low,no_reliable_observable_route
