route_name,N_arc,K_fbss,bw_eq_deg,edge_offset_deg,steering_mismatch_pct,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,lambda2_over_noise,degraded_sample_count,measured_snr_gain_db
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,-4,0.945000,0.000000,0.000000,17.067505,12.000000,2.000000,-0.756644,8.377185,1.090449,151,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,-2,0.990000,0.000000,0.055000,9.883794,12.000000,2.000000,-1.206802,3.068994,1.147930,52,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,0,1.000000,0.000000,0.450000,0.421816,12.000000,2.000000,-0.063003,0.332485,1.273861,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,2,1.000000,0.005000,0.950000,0.234361,12.000000,2.000000,-0.003029,0.146149,1.475428,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,4,1.000000,0.090000,1.000000,0.152391,12.000000,2.000000,-0.011674,0.096199,1.821570,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,6,1.000000,0.375000,1.000000,0.101598,12.000000,2.000000,-0.010884,0.064749,2.358787,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,8,1.000000,0.620000,1.000000,0.075036,12.000000,2.000000,-0.016223,0.057509,3.232692,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,10,1.000000,0.895000,1.000000,0.052939,12.000000,2.000000,-0.014333,0.049083,4.595423,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,12,1.000000,0.985000,1.000000,0.045148,12.000000,2.000000,-0.016740,0.046217,6.802734,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,14,1.000000,1.000000,1.000000,0.038444,12.000000,2.000000,-0.015901,0.043344,10.229503,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,16,1.000000,1.000000,1.000000,0.033775,12.000000,2.000000,-0.013158,0.039252,15.662417,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,18,1.000000,1.000000,1.000000,0.031617,12.000000,2.000000,-0.014141,0.039306,24.350190,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,20,1.000000,1.000000,1.000000,0.029776,12.000000,2.000000,-0.013955,0.038573,38.153700,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,22,1.000000,1.000000,1.000000,0.029023,12.000000,2.000000,-0.013929,0.038139,59.733380,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,24,1.000000,1.000000,1.000000,0.028337,12.000000,2.000000,-0.013507,0.037615,94.190849,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,26,1.000000,1.000000,1.000000,0.028171,12.000000,2.000000,-0.014009,0.037914,148.568773,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,28,1.000000,1.000000,1.000000,0.027730,12.000000,2.000000,-0.013601,0.037501,234.653117,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,1.816667,-0.908333,0.908333,30,1.000000,1.000000,1.000000,0.027598,12.000000,2.000000,-0.013707,0.037501,369.657412,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,-4,0.880000,0.000000,0.000000,25.044289,22.000000,14.000000,0.101226,14.558016,1.071995,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,-2,0.865000,0.000000,0.000000,26.633601,22.000000,14.000000,0.649374,16.012088,1.072371,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,0,0.885000,0.000000,0.000000,26.709298,22.000000,14.000000,0.268573,15.295994,1.071981,199,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,2,0.870000,0.000000,0.000000,25.626582,22.000000,14.000000,-0.196996,14.130229,1.075041,194,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,4,0.925000,0.000000,0.000000,23.263125,22.000000,14.000000,0.647726,12.416431,1.078890,187,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,6,0.925000,0.000000,0.000000,15.610784,22.000000,14.000000,-1.074186,6.823635,1.106039,133,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,8,1.000000,0.000000,0.000000,3.906761,22.000000,14.000000,-0.005482,0.259291,1.200124,14,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,10,1.000000,0.000000,0.050000,0.369069,22.000000,14.000000,-0.012786,0.258130,1.349879,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,12,1.000000,0.010000,0.355000,0.267191,22.000000,14.000000,-0.017035,0.195618,1.608790,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,14,1.000000,0.075000,0.900000,0.155741,22.000000,14.000000,-0.018804,0.123524,2.040300,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,16,1.000000,0.300000,1.000000,0.101772,22.000000,14.000000,-0.014861,0.084052,2.710935,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,18,1.000000,0.685000,1.000000,0.071214,22.000000,14.000000,-0.020606,0.068947,3.777464,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,20,1.000000,0.890000,1.000000,0.055659,22.000000,14.000000,-0.018077,0.055838,5.473054,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,22,1.000000,0.980000,1.000000,0.042903,22.000000,14.000000,-0.013512,0.044479,8.138744,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,24,1.000000,1.000000,1.000000,0.036267,22.000000,14.000000,-0.013808,0.041501,12.439041,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,26,1.000000,1.000000,1.000000,0.033255,22.000000,14.000000,-0.016235,0.041380,19.126781,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,28,1.000000,1.000000,1.000000,0.031341,22.000000,14.000000,-0.016922,0.040549,29.847767,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,1.090000,-0.545000,0.545000,30,1.000000,1.000000,1.000000,0.028196,22.000000,14.000000,-0.013566,0.036694,46.651162,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,-4,0.875000,0.000000,0.000000,28.171015,28.000000,24.000000,1.897714,18.453072,1.071114,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,-2,0.870000,0.000000,0.000000,27.234797,28.000000,24.000000,3.418696,19.334563,1.072531,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,0,0.890000,0.000000,0.000000,28.367721,28.000000,24.000000,-1.105232,17.991643,1.071840,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,2,0.910000,0.000000,0.000000,27.477864,28.000000,24.000000,1.440517,17.841196,1.072312,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,4,0.865000,0.000000,0.000000,25.967905,28.000000,24.000000,-2.225626,17.524193,1.070107,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,6,0.900000,0.000000,0.000000,27.673030,28.000000,24.000000,-1.090224,17.440739,1.070581,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,8,0.845000,0.000000,0.000000,24.186333,28.000000,24.000000,-0.488409,13.952764,1.073136,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,10,0.930000,0.000000,0.000000,21.713839,28.000000,24.000000,0.491934,11.695567,1.081074,191,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,12,0.960000,0.000000,0.000000,13.845440,28.000000,24.000000,-0.450906,5.740538,1.112362,139,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,7,0.778571,-0.389286,0.389286,14,0.995000,0.000000,0.000000,1.964569,28.000000,24.000000,-0.137894,0.329172,1.195407,23,15.051500
