route_name,N_arc,K_fbss,bw_eq_deg,edge_offset_deg,steering_mismatch_pct,sep_factor,snr_db,tol_success_rate_abs01,rmse_deg,snr90_db,mean_bias_deg,max_bias_deg,degraded_sample_count,measured_snr_gain_db
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,3,12,0.585000,0.077598,16.000000,-0.017873,0.086870,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,3,12,0.000000,0.211700,NaN,-0.025442,0.226313,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,14,1.000000,0.038444,12.000000,-0.015901,0.043344,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,3,14,0.810000,0.067958,16.000000,-0.016143,0.078284,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,3,14,0.000000,0.186058,NaN,-0.020532,0.200943,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,16,1.000000,0.033775,12.000000,-0.013158,0.039252,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,3,16,0.955000,0.063052,16.000000,-0.015161,0.074604,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,3,16,0.000000,0.172056,NaN,-0.027489,0.195215,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,18,1.000000,0.031617,12.000000,-0.014141,0.039306,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,3,18,0.990000,0.060778,16.000000,-0.017315,0.074404,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,3,18,0.000000,0.162439,NaN,-0.024745,0.184109,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,24,1.000000,0.028337,12.000000,-0.013507,0.037615,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,3,24,1.000000,0.057224,16.000000,-0.016886,0.071280,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,3,24,0.000000,0.153803,NaN,-0.024868,0.176425,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,3,30,1.000000,0.027598,12.000000,-0.013707,0.037501,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,3,30,1.000000,0.056672,16.000000,-0.016996,0.070994,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,3,30,0.000000,0.151808,NaN,-0.024754,0.174483,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,-4,0.000000,25.044289,22.000000,0.101226,14.558016,200,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,5,-4,0.000000,25.076916,NaN,-1.573714,15.793726,200,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,5,-4,0.000000,23.328809,NaN,0.788786,13.608078,200,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,14,0.075000,0.155741,22.000000,-0.018804,0.123524,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,5,14,0.000000,0.259242,NaN,-0.022391,0.220978,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,5,14,0.000000,5.919420,NaN,-0.673622,2.011519,66,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,18,0.685000,0.071214,22.000000,-0.020606,0.068947,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,5,18,0.000000,0.171068,NaN,-0.015455,0.165215,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,5,18,0.000000,0.212199,NaN,-0.029972,0.209599,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,22,0.980000,0.042903,22.000000,-0.013512,0.044479,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,5,22,0.145000,0.103335,NaN,-0.019039,0.115696,0,15.051500
multilayer_coherent_proto14b_N64_main,64,60,2.680000,59.062500,16.792839,5,22,0.000000,0.226904,NaN,-0.025981,0.245863,0,15.051500
multilayer_coherent_proto14_N32_baseline,32,28,5.450000,29.062500,4.233317,5,24,1.000000,0.036267,22.000000,-0.013808,0.041501,0,15.051500
multilayer_coherent_proto14b_N48_main,48,44,3.590000,44.062500,9.569525,5,24,0.310000,0.091934,NaN,-0.019900,0.106718,0,15.051500
