metric,value
comparison_status,pass
golden_rows,28
sim_rows,28
matched_rows,28
missing_count,0
mismatch_count,0
accumulator_match_flag,true
formal_result_claimed,false
note,RTL accumulator output matches MATLAB golden exactly
