config_name,split_name,run_phase,scenario_name,adaptive_policy_name,adaptive_confidence,adaptive_boundary_flag,failure_reason,row_id,config_id,trial_id,seed,bias_case_id,az_center_bias_deg,el_center_bias_deg,truth_az1,truth_az2,truth_el1,truth_el2,true_orientation,full_success,fixed_success,adaptive_success,full_rmse,fixed_rmse,adaptive_rmse,full_num_pairs,fixed_num_pairs,adaptive_num_pairs,adaptive_num_pairs_coarse,adaptive_num_pairs_refine,adaptive_vs_fixed_pair_count_ratio,fixed_full_grid_match,adaptive_full_grid_match,fixed_topK_miss,adaptive_topK_miss,fixed_boundary_hit,adaptive_boundary_hit,H_norm,gap_13,gap_17,boundary_risk,cond_risk,U_search,U_confidence,adaptive_topK,az_window_scale,el_window_scale
C02_easy_conservative,validation,config_scan,easy_noncoherent,NORMAL,medium,,,14,2,2,20611611,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,17154,17154,7353,9801,1,1,1,0,0,0,0,0.993977169078684,0.00290608601746029,0.00946757940624219,0,0.0166354136958332,0.0453480295502699,0.35987702781314,3,1,1
C03_easy_moderate,validation,config_scan,easy_noncoherent,EASY,high,,,15,3,2,20611611,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,17154,12743,7353,5390,0.74285880844118,1,0,0,0,0,0,0.993977169078684,0.00290608601746029,0.00946757940624219,0,0.0166354136958332,0.0453480295502699,0.35987702781314,2,0.65,0.65
C04_easy_aggressive,validation,config_scan,easy_noncoherent,EASY,high,,,16,4,2,20611611,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,17154,11126,7353,3773,0.648595079864755,1,0,0,0,0,0,0.993977169078684,0.00290608601746029,0.00946757940624219,0,0.0166354136958332,0.0453480295502699,0.35987702781314,1,0.65,0.65
C05_easy_very_aggressive,validation,config_scan,easy_noncoherent,EASY,high,,,17,5,2,20611611,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0282488937836506,131461,17154,9729,7353,2376,0.567156348373557,1,1,0,0,0,0,0.993977169078684,0.00290608601746029,0.00946757940624219,0,0.0166354136958332,0.0453480295502699,0.35987702781314,1,0.6,0.6
C06_no_window_expand,validation,config_scan,easy_noncoherent,EASY,high,,,18,6,2,20611611,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,17154,12743,7353,5390,0.74285880844118,1,0,0,0,0,0,0.993977169078684,0.00290608601746029,0.00946757940624219,0,0.0166354136958332,0.0453480295502699,0.35987702781314,2,0.65,0.65
C07_topK_only,validation,config_scan,easy_noncoherent,EASY,high,,,19,7,2,20611611,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,17154,12204,7353,4851,0.711437565582371,1,1,0,0,0,0,0.993977169078684,0.00290608601746029,0.00946757940624219,0,0.0166354136958332,0.0453480295502699,0.35987702781314,2,0.75,0.75
C08_safe_default,validation,config_scan,easy_noncoherent,NORMAL,medium,,,20,8,2,20611611,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,17154,17154,7353,9801,1,1,1,0,0,0,0,0.993977169078684,0.00290608601746029,0.00946757940624219,0,0.0166354136958332,0.202761022162702,0.420420486510229,3,1,1
C09_gap_low,validation,config_scan,easy_noncoherent,EASY,high,,,21,9,2,20611611,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,17154,12743,7353,5390,0.74285880844118,1,0,0,0,0,0,0.993977169078684,0.00290608601746029,0.00946757940624219,0,0.0166354136958332,0.025,0.352050862601498,2,0.65,0.65
C10_easy_top1_window075,validation,config_scan,easy_noncoherent,NORMAL,medium,,,22,10,2,20611611,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,17154,17154,7353,9801,1,1,1,0,0,0,0,0.993977169078684,0.00290608601746029,0.00946757940624219,0,0.0166354136958332,0.0453480295502699,0.35987702781314,3,1,1
C11_default_plus_low_conf,validation,config_scan,easy_noncoherent,NORMAL,medium,,,23,11,2,20611611,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,17154,17154,7353,9801,1,1,1,0,0,0,0,0.993977169078684,0.00290608601746029,0.00946757940624219,0,0.0166354136958332,0.0453480295502699,0.35987702781314,3,1,1
C12_balanced_candidate,validation,config_scan,easy_noncoherent,EASY,high,,,24,12,2,20611611,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0676904720030824,131461,17154,12743,7353,5390,0.74285880844118,1,0,0,0,0,0,0.993977169078684,0.00290608601746029,0.00946757940624219,0,0.0166354136958332,0.0453480295502699,0.35987702781314,2,0.7,0.7
C01_normal_only_control,calibration,config_scan,easy_noncoherent,NORMAL,medium,,,25,1,3,20611612,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,18612,18612,7353,11259,1,1,1,0,0,0,0,0.997929165167205,0.00274423548551064,0.00660389087575898,0,0.014161674087216,0.675,0.602815626330326,3,1,1
C02_easy_conservative,calibration,config_scan,easy_noncoherent,NORMAL,medium,,,26,2,3,20611612,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,18612,18612,7353,11259,1,1,1,0,0,0,0,0.997929165167205,0.00274423548551064,0.00660389087575898,0,0.014161674087216,0.0804156448060287,0.374129335871106,3,1,1
C03_easy_moderate,calibration,config_scan,easy_noncoherent,EASY,high,,,27,3,3,20611612,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,18612,12743,7353,5390,0.684665807006233,1,0,0,0,0,0,0.997929165167205,0.00274423548551064,0.00660389087575898,0,0.014161674087216,0.0804156448060287,0.374129335871106,2,0.65,0.65
C04_easy_aggressive,calibration,config_scan,easy_noncoherent,EASY,high,,,28,4,3,20611612,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,18612,11126,7353,3773,0.597786374382119,1,0,0,0,0,0,0.997929165167205,0.00274423548551064,0.00660389087575898,0,0.014161674087216,0.0804156448060287,0.374129335871106,1,0.65,0.65
C05_easy_very_aggressive,calibration,config_scan,easy_noncoherent,EASY,high,,,29,5,3,20611612,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0282488937836506,131461,18612,9729,7353,2376,0.522727272727273,1,1,0,0,0,0,0.997929165167205,0.00274423548551064,0.00660389087575898,0,0.014161674087216,0.0804156448060287,0.374129335871106,1,0.6,0.6
C06_no_window_expand,calibration,config_scan,easy_noncoherent,EASY,high,,,30,6,3,20611612,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,18612,12743,7353,5390,0.684665807006233,1,0,0,0,0,0,0.997929165167205,0.00274423548551064,0.00660389087575898,0,0.014161674087216,0.0804156448060287,0.374129335871106,2,0.65,0.65
C07_topK_only,calibration,config_scan,easy_noncoherent,EASY,high,,,31,7,3,20611612,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,18612,12204,7353,4851,0.655705996131528,1,1,0,0,0,0,0.997929165167205,0.00274423548551064,0.00660389087575898,0,0.014161674087216,0.0804156448060287,0.374129335871106,2,0.75,0.75
C08_safe_default,calibration,config_scan,easy_noncoherent,NORMAL,medium,,,32,8,3,20611612,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,18612,18612,7353,11259,1,1,1,0,0,0,0,0.997929165167205,0.00274423548551064,0.00660389087575898,0,0.014161674087216,0.229061733604522,0.431300908485911,3,1,1
C09_gap_low,calibration,config_scan,easy_noncoherent,EASY,high,,,33,9,3,20611612,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,18612,12743,7353,5390,0.684665807006233,1,0,0,0,0,0,0.997929165167205,0.00274423548551064,0.00660389087575898,0,0.014161674087216,0.025,0.352815626330326,2,0.65,0.65
C10_easy_top1_window075,calibration,config_scan,easy_noncoherent,NORMAL,medium,,,34,10,3,20611612,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,18612,18612,7353,11259,1,1,1,0,0,0,0,0.997929165167205,0.00274423548551064,0.00660389087575898,0,0.014161674087216,0.0804156448060287,0.374129335871106,3,1,1
C11_default_plus_low_conf,calibration,config_scan,easy_noncoherent,NORMAL,medium,,,35,11,3,20611612,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,18612,18612,7353,11259,1,1,1,0,0,0,0,0.997929165167205,0.00274423548551064,0.00660389087575898,0,0.014161674087216,0.0804156448060287,0.374129335871106,3,1,1
C12_balanced_candidate,calibration,config_scan,easy_noncoherent,NORMAL,medium,,,36,12,3,20611612,1,0,0,7.365,8.635,9.975,10.645,1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,18612,18612,7353,11259,1,1,1,0,0,0,0,0.997929165167205,0.00274423548551064,0.00660389087575898,0,0.014161674087216,0.0804156448060287,0.374129335871106,3,1,1
C01_normal_only_control,validation,config_scan,easy_noncoherent,NORMAL,medium,,,37,1,4,20611613,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,17154,17154,7353,9801,1,1,1,0,0,0,0,0.994786261761568,0.00287423903445837,0.0087694307083399,0,0.0166354136958332,0.675,0.602334045040507,3,1,1
C02_easy_conservative,validation,config_scan,easy_noncoherent,NORMAL,medium,,,38,2,4,20611613,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0595818764390646,131461,17154,17154,7353,9801,1,1,1,0,0,0,0,0.994786261761568,0.00287423903445837,0.0087694307083399,0,0.0166354136958332,0.0522482092006876,0.36281412550231,3,1,1
C03_easy_moderate,validation,config_scan,easy_noncoherent,EASY,high,,,39,3,4,20611613,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,17154,12743,7353,5390,0.74285880844118,1,0,0,0,0,0,0.994786261761568,0.00287423903445837,0.0087694307083399,0,0.0166354136958332,0.0522482092006876,0.36281412550231,2,0.65,0.65
C04_easy_aggressive,validation,config_scan,easy_noncoherent,EASY,high,,,40,4,4,20611613,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,17154,11126,7353,3773,0.648595079864755,1,0,0,0,0,0,0.994786261761568,0.00287423903445837,0.0087694307083399,0,0.0166354136958332,0.0522482092006876,0.36281412550231,1,0.65,0.65
C05_easy_very_aggressive,validation,config_scan,easy_noncoherent,EASY,high,,,41,5,4,20611613,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0282488937836506,131461,17154,9729,7353,2376,0.567156348373557,1,1,0,0,0,0,0.994786261761568,0.00287423903445837,0.0087694307083399,0,0.0166354136958332,0.0522482092006876,0.36281412550231,1,0.6,0.6
C06_no_window_expand,validation,config_scan,easy_noncoherent,EASY,high,,,42,6,4,20611613,1,0,0,7.365,8.635,10.645,9.975,-1,1,1,1,0.0595818764390635,0.0595818764390646,0.0501796771611788,131461,17154,12743,7353,5390,0.74285880844118,1,0,0,0,0,0,0.994786261761568,0.00287423903445837,0.0087694307083399,0,0.0166354136958332,0.0522482092006876,0.36281412550231,2,0.65,0.65
