quant_mode,is_fixed_candidate,recommendation_candidate_flag,num_trials,reliable_trial_count,overall_top1_preservation_rate,overall_topK_set_preservation_rate,overall_topK_miss_rate,reliable_top1_preservation_rate,reliable_topK_set_preservation_rate,reliable_topK_miss_rate,argmax_changed_rate_on_reliable_margin,reliable_score_gap_sign_flip_rate,mean_score_rank_spearman,min_score_rank_spearman,max_candidate_score_rel_l2_error,max_score_gap_rel_error,same_policy_rate,same_estimate_rate,same_confidence_rate,same_fallback_rate,boundary_state_same_rate,max_clip_rate,max_overflow_rate,ranking_pass_flag,topK_pass_flag,fixed_point_pass_flag,mode_storage_cost_bits
double_baseline,0,0,10,6,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,16
float32_all,0,0,10,6,1,1,0,1,1,0,0,0,0.999999999667968,0.999999999517044,7.39554021636379e-07,0.000207599241498593,1,1,1,1,1,0,0,1,1,0,16
combined_int16,1,1,10,6,0.8,1,0,1,1,0,0,0,0.999999975145879,0.999999969030449,4.06186000459732e-05,0.0237220197463814,1,0.8,1,1,1,0,0,1,1,0,16
combined_int18,1,1,10,6,1,1,0,1,1,0,0,0,0.999999994319231,0.999999993238617,8.84998841729558e-06,0.0131894562136973,1,1,1,1,1,0,0,1,1,0,18
combined_int24,1,1,10,6,1,1,0,1,1,0,0,0,0.999999999906427,0.999999999849077,1.45989956951538e-07,0.000191216528017272,1,1,1,1,1,0,0,1,1,0,24
mixed_Z16_G24_Rz24,1,1,10,6,1,1,0,1,1,0,0,0,0.999999999305751,0.999999999034088,3.9403180783046e-06,0.000343067712187426,1,1,1,1,1,0,0,1,1,0,24
combined_int14,1,1,10,6,0.7,0.9,0.01,0.833333333333333,1,0,0.166666666666667,0,0.999999837424947,0.99999980292378,0.000161129632508763,0.123572569316154,1,0.7,1,1,1,0,0,0,0,0,16
W_int18_G24_Z16,1,1,10,6,1,1,0,1,1,0,0,0,0.999999999254437,0.99999999885298,3.61146034472204e-06,0.000343123438625949,1,1,1,1,1,0,0,1,1,0,24
