old_route_name,new_route_name,count
step87_reference_not_functionalized,low_confidence,87
step87_reference_not_functionalized,boundary_unreliable,20
step87_reference_not_functionalized,local_2d_pair_refinement,3
step87_reference_not_functionalized,frontend_reject,10
