route_name,phase_offset_deg,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,lambda2_over_noise,degraded_sample_count,num_peaks_found
verify_coh_phase00_completely_inphase_baseline,0,2,2.725000,-1.362500,1.362500,22,1.000000,1.000000,1.000000,0.031989,4.000000,-4.000000,-0.010615,0.040635,325.949436,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,2,2.725000,-1.362500,1.362500,24,1.000000,1.000000,1.000000,0.032141,4.000000,-4.000000,-0.011188,0.041220,512.976135,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,2,2.725000,-1.362500,1.362500,26,1.000000,1.000000,1.000000,0.032124,4.000000,-4.000000,-0.011276,0.041285,801.526604,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,2,2.725000,-1.362500,1.362500,28,1.000000,1.000000,1.000000,0.032024,4.000000,-4.000000,-0.011201,0.041160,1245.821263,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,2,2.725000,-1.362500,1.362500,30,1.000000,1.000000,1.000000,0.031989,4.000000,-4.000000,-0.011104,0.041079,1908.946758,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,3,1.816667,-0.908333,0.908333,-4,0.945000,0.000000,0.000000,17.067505,12.000000,2.000000,-0.756644,8.377185,1.090449,151,1.890000
verify_coh_phase00_completely_inphase_baseline,0,3,1.816667,-0.908333,0.908333,-2,0.990000,0.000000,0.055000,9.883794,12.000000,2.000000,-1.206802,3.068994,1.147930,52,1.980000
verify_coh_phase00_completely_inphase_baseline,0,3,1.816667,-0.908333,0.908333,0,1.000000,0.000000,0.450000,0.421816,12.000000,2.000000,-0.063003,0.332485,1.273861,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,3,1.816667,-0.908333,0.908333,2,1.000000,0.005000,0.950000,0.234361,12.000000,2.000000,-0.003029,0.146149,1.475428,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,3,1.816667,-0.908333,0.908333,4,1.000000,0.090000,1.000000,0.152391,12.000000,2.000000,-0.011674,0.096199,1.821570,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,3,1.816667,-0.908333,0.908333,6,1.000000,0.375000,1.000000,0.101598,12.000000,2.000000,-0.010884,0.064749,2.358787,0,2.000000
verify_coh_phase00_completely_inphase_baseline,0,3,1.816667,-0.908333,0.908333,8,1.000000,0.620000,1.000000,0.075036,12.000000,2.000000,-0.016223,0.057509,3.232692,0,2.000000
