metric,value
vivado_version,2024.2
fpga_part,xc7z020clg400-1
fpga_part_source,reference_default
reference_device_only,true
clock_MHz,200
clock_period_ns,5.000
engineering_Z_shift_bits,20
single_lane_synthesis_status,pass
single_lane_LUT,487
single_lane_FF,193
single_lane_DSP,4
single_lane_BRAM18,0
single_lane_BRAM36,0
single_lane_URAM,0
single_lane_WNS_ns,1.675
single_lane_timing_met_flag,true
b7_synthesis_status,pass
b7_LUT,3376
b7_FF,1345
b7_DSP,28
b7_BRAM18,0
b7_BRAM36,0
b7_URAM,0
b7_WNS_ns,1.675
b7_timing_met_flag,true
dsp_per_complex_lane_actual,4
rough_DSP_estimate_previous,21
rough_vs_actual_note,actual_counts_are_from_vivado_ooc_synthesis_not_rough_estimates
ooc_synthesis_pass_flag,true
timing_200MHz_met_flag,true
timing_blocker_or_followup,
formal_result_claimed,false
implementation_closure_claimed,false
board_validation_flag,false
blocker_if_any,
