scenario_name,az_sep_deg,SNR_dB,trials,success_rate,low_confidence_rate,boundary_unreliable_rate,false_high_rate,rank1_truth_top1_rate,rank1_truth_top3_rate,rank1_truth_top5_rate,refocus_truth_top1_rate,refocus_truth_top3_rate,refocus_truth_top5_rate,rank1_correct_but_rejected_rate,refocus_correct_but_rejected_rate,common_el_proxy_pass_rate,rank1_route_reliable_rate,median_rank1_truth_error,median_refocus_truth_error,dominant_failure_reason
close_coherent_pair,0.15,8,60,0,1,0.15,0,0.8,1,1,0.8,0.95,0.983333333333333,1,0.95,0,0.916666666666667,0.0250000000000057,0.0250000000000057,no_reliable_observable_route
close_coherent_pair,0.15,16,60,0,1,0,0,0.9,1,1,0.9,1,1,1,1,0,0.766666666666667,0.0250000000000057,0.0250000000000057,no_reliable_observable_route
close_coherent_pair,0.25,8,60,0,1,0.183333333333333,0,0.9,0.983333333333333,1,0.9,0.983333333333333,0.983333333333333,0.983333333333333,0.983333333333333,0,0.983333333333333,0.0250000000000057,0.0250000000000057,no_reliable_observable_route
close_coherent_pair,0.25,16,60,0,1,0,0,0.95,1,1,0.95,1,1,1,1,0,0.666666666666667,0.0250000000000057,0.0250000000000057,no_reliable_observable_route
close_coherent_pair,0.4,8,60,0,1,0.0833333333333333,0,0.966666666666667,1,1,0.966666666666667,1,1,1,1,0,0.983333333333333,0.0200000000000102,0.0200000000000102,no_reliable_observable_route
close_coherent_pair,0.4,16,60,0,1,0,0,1,1,1,1,1,1,1,1,0,0.883333333333333,0.0200000000000102,0.0200000000000102,no_reliable_observable_route
close_coherent_pair,0.6,8,60,0,1,0.2,0,1,1,1,1,1,1,1,1,0,1,0.0200000000000102,0.0200000000000102,no_reliable_observable_route
close_coherent_pair,0.6,16,60,0,1,0.1,0,1,1,1,1,1,1,1,1,0,0.95,0.0200000000000102,0.0200000000000102,no_reliable_observable_route
close_coherent_pair,0.8,8,60,0,1,0.333333333333333,0,0.866666666666667,1,1,0.866666666666667,0.916666666666667,0.966666666666667,1,0.916666666666667,0,0.966666666666667,0.0200000000000102,0.0200000000000102,no_reliable_observable_route
close_coherent_pair,0.8,16,60,0,1,0.0166666666666667,0,0.95,1,1,0.95,1,1,1,1,0,0.983333333333333,0.0300000000000011,0.0300000000000011,no_reliable_observable_route
medium_beta_pair,0.25,8,90,0,1,0.222222222222222,0,0.255555555555556,0.444444444444444,0.577777777777778,0.255555555555556,0.433333333333333,0.522222222222222,0.444444444444444,0.433333333333333,0,0.911111111111111,0.0749999999999886,0.0749999999999886,no_reliable_observable_route
medium_beta_pair,0.25,16,90,0,1,0.0777777777777778,0,0.244444444444444,0.522222222222222,0.633333333333333,0.244444444444444,0.444444444444444,0.5,0.522222222222222,0.444444444444444,0,0.877777777777778,0.0749999999999886,0.0749999999999886,no_reliable_observable_route
medium_beta_pair,0.4,8,90,0,1,0.244444444444444,0,0.255555555555556,0.322222222222222,0.333333333333333,0.255555555555556,0.333333333333333,0.333333333333333,0.322222222222222,0.333333333333333,0,0.911111111111111,0.0999999999999943,0.0999999999999943,no_reliable_observable_route
medium_beta_pair,0.4,16,90,0,1,0,0,0.2,0.333333333333333,0.333333333333333,0.2,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.844444444444444,0.0999999999999943,0.0999999999999943,no_reliable_observable_route
medium_beta_pair,0.6,8,90,0,1,0.255555555555556,0,0.188888888888889,0.322222222222222,0.333333333333333,0.188888888888889,0.277777777777778,0.311111111111111,0.322222222222222,0.277777777777778,0,0.988888888888889,0.120000000000005,0.120000000000005,no_reliable_observable_route
medium_beta_pair,0.6,16,90,0,1,0.2,0,0.211111111111111,0.322222222222222,0.333333333333333,0.211111111111111,0.311111111111111,0.333333333333333,0.322222222222222,0.311111111111111,0,0.988888888888889,0.120000000000005,0.120000000000005,no_reliable_observable_route
