trial_index,rng_seed,scenario_name,SNR_dB,az_sep_deg,beta,rho,phase_deg,az_truth,el_truth,route_name,status,confidence,az_est,el_est,success,false_high,boundary_missed,reject_reason,light_route_name,light_status,light_confidence,music_peak_count,music_peak_sep_deg,music_peak2_ratio,music_reliable_flag,common_el_proxy_flag,common_el_proxy_failure_reason,refocus_score,refocus_score_gap,refocus_best_az_pair,refocus_truth_az_error,refocus_candidate_correct_but_rejected,truth_pair_in_refocus_top1,truth_pair_in_refocus_top3,truth_pair_in_refocus_top5,rank1_score,rank1_score_gap,rank1_residual,rank1_best_az_pair,rank1_truth_az_error,rank1_route_reliable,rank1_candidate_correct_but_rejected,truth_pair_in_rank1_top1,truth_pair_in_rank1_top3,truth_pair_in_rank1_top5,low_cost_boundary_flag,boundary_unreliable_flag,final_step87_route,final_confidence_flag,final_failure_reason,rank1_failure_reason,runtime_sec
11,909712,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,1.93941782591482e-07,1.3215469636731,[-0.1 0.1],0.0250000000000057,1,1,1,1,1.93941782591482e-07,1.3215469636731,1.93941782591482e-07,[-0.1 0.1],0.0250000000000057,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1914459
12,909713,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,1.1977173989524e-07,0.765990793867018,[-0.08 0.08],0.00499999999999545,1,1,1,1,1.1977173989524e-07,0.765990793867018,1.1977173989524e-07,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1885046
13,909714,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,0,0,[-0.1 0.1],0.0250000000000057,1,1,1,1,0,0,0,[-0.1 0.1],0.0250000000000057,0,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,rank1_score_gap_too_small,0.189676
14,909715,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,6.0654550572363e-08,2.58332991917826,[-0.12 0.12],0.0449999999999875,1,1,1,1,6.0654550572363e-08,2.58332991917826,6.0654550572363e-08,[-0.12 0.12],0.0449999999999875,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.186343
15,909716,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],boundary_unreliable,rejected,low,[],[],0,0,0,boundary_unreliable,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,0,785925663.034914,[-0.1 0.1],0.0250000000000057,1,1,1,1,0,785925663.034914,0,[-0.1 0.1],0.0250000000000057,1,1,1,1,1,1,1,boundary_unreliable,low,boundary_unreliable,ok,0.1917442
16,909717,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,3.9021356140517e-07,0.225701446495529,[-0.14 0.14],0.0649999999999977,1,0,1,1,3.9021356140517e-07,0.225701446495529,3.9021356140517e-07,[-0.14 0.14],0.0649999999999977,1,1,0,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1962445
17,909718,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,1.73625220162771e-07,0.287817664665936,[-0.1 0.1],0.0250000000000057,1,1,1,1,1.73625220162771e-07,0.287817664665936,1.73625220162771e-07,[-0.1 0.1],0.0250000000000057,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1907442
18,909719,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,4.66599121936354e-07,0.233762573466192,[-0.14 0.14],0.0649999999999977,1,0,1,1,4.66599121936354e-07,0.233762573466192,4.66599121936354e-07,[-0.14 0.14],0.0649999999999977,1,1,0,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1862808
19,909720,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,7.85831799638985e-08,3.1517864539443,[-0.08 0.08],0.00499999999999545,1,1,1,1,7.85831799638985e-08,3.1517864539443,7.85831799638985e-08,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1900606
20,909721,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,3.70395500695995e-07,0.207808329840598,[-0.08 0.08],0.00499999999999545,1,1,1,1,3.70395500695995e-07,0.207808329840598,3.70395500695995e-07,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1864374
21,909722,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],boundary_unreliable,rejected,low,[],[],0,0,0,boundary_unreliable,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,4.47150700372502e-07,0.336122005585648,[-0.08 0.08],0.00499999999999545,1,1,1,1,4.47150700372502e-07,0.336122005585648,4.47150700372502e-07,[-0.08 0.08],0.00499999999999545,1,1,1,1,1,1,1,boundary_unreliable,low,boundary_unreliable,ok,0.1914365
22,909723,close_coherent_pair,8,0.15,1,1,0,[-0.075 0.075],[0 0],low_confidence,rejected,low,[],[],0,0,0,no_reliable_observable_route,low_confidence,rejected,low,1,NaN,0,0,0,refocus_sharpness_below_proxy_gate,3.9163542782593e-07,0.502662951878532,[-0.12 0.12],0.0449999999999875,1,1,1,1,3.9163542782593e-07,0.502662951878532,3.9163542782593e-07,[-0.12 0.12],0.0449999999999875,1,1,1,1,1,0,0,low_confidence,low,no_reliable_observable_route,ok,0.1907278
