stage,group,case_name,el_b_deg,el_diff_deg,el_mismatch_deg,beta,phi_deg,rho,weak_target_truth_flag,anti_phase_truth_flag,large_el_truth_flag,common_el_truth_flag,snr_db,route_name,raw_success_rate,az_tol_success_rate_abs01,el_tol_success_rate_abs05,joint_tol_success_rate,az_rmse_deg,el_rmse_deg,pair_2d_rmse,peak_count_mean,degraded_rate,route_failure_reason,mean_objective_true_pair,mean_objective_best,objective_margin,objective_true_rank_median,el_hat_mean,el_hat_error_mean,el_hat_error_abs_mean,focused_power_peak_sharpness,lambda1_peak_sharpness,rank1_objective_valley_width_el,rank1_objective_selected_el_rank,el_selection_method,el_common_est_mean,el_common_est_error,recommended_route,confidence_flag,recommended_route_success_rate,weak_target_boundary_rate,anti_phase_boundary_rate,low_confidence_rate
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,0,level2_music_or_center_real,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,0,level2_rank1_fallback,1,1,1,1,0.030075508898667,0,0.030075508898667,2,0,ok,4.32364513867741e-07,2.23608357412148e-07,2.08756156455593e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,1,0,0,0
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,0,common_el_refocus_power_rank1,1,1,1,1,0.030075508898667,0,0.030075508898667,2,0,ok,4.32364513867741e-07,2.23608357412148e-07,2.08756156455593e-07,NaN,0,0,0,0.0768393321667418,0.0790460734247745,NaN,NaN,focused_power,0,0,,,1,0,0,0
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,0,level3_2d_music,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,0,pair_el_local_covfit,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,0,dispatch_recommended_route,1,1,1,1,0.030075508898667,0,0.030075508898667,2,0,ok,4.32364513867741e-07,2.23608357412148e-07,2.08756156455593e-07,NaN,0,0,0,0.0768393321667418,0.0790460734247745,NaN,NaN,focused_power,0,0,common_el_refocus_rank1,high,1,0,0,0
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,8,level2_music_or_center_real,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,8,level2_rank1_fallback,1,1,1,1,0.0286489822026659,0,0.0286489822026659,2,0,ok,1.1420682511957e-07,2.66686676952477e-08,8.75381574243224e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,1,0,0,0
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,8,common_el_refocus_power_rank1,1,1,1,1,0.0286489822026659,0,0.0286489822026659,2,0,ok,1.1420682511957e-07,2.66686676952477e-08,8.75381574243224e-08,NaN,0,0,0,0.0790776870067457,0.0794492926529739,NaN,NaN,focused_power,0,0,,,1,0,0,0
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,8,level3_2d_music,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,8,pair_el_local_covfit,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,8,dispatch_recommended_route,1,1,1,1,0.0286489822026659,0,0.0286489822026659,2,0,ok,1.1420682511957e-07,2.66686676952477e-08,8.75381574243224e-08,NaN,0,0,0,0.0790776870067457,0.0794492926529739,NaN,NaN,focused_power,0,0,common_el_refocus_rank1,high,1,0,0,0
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,16,level2_music_or_center_real,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,16,level2_rank1_fallback,1,1,1,1,0.0248449110133294,0,0.0248449110133294,2,0,ok,4.34763774739503e-08,3.89744479903067e-09,3.95789326749196e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,1,0,0,0
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,16,common_el_refocus_power_rank1,1,1,1,1,0.0248449110133294,0,0.0248449110133294,2,0,ok,4.34763774739503e-08,3.89744479903067e-09,3.95789326749196e-08,NaN,0,0,0,0.0794957336404822,0.0795536603196804,NaN,NaN,focused_power,0,0,,,1,0,0,0
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,16,level3_2d_music,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,16,pair_el_local_covfit,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_1,0,0,0,1,0,1,0,0,0,1,16,dispatch_recommended_route,1,1,1,1,0.0248449110133294,0,0.0248449110133294,2,0,ok,4.34763774739503e-08,3.89744479903067e-09,3.95789326749196e-08,NaN,0,0,0,0.0794957336404822,0.0795536603196804,NaN,NaN,focused_power,0,0,common_el_refocus_rank1,high,1,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,0,level2_music_or_center_real,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,0,level2_rank1_fallback,1,1,1,1,0.0328530533920023,0,0.0328530533920023,2,0,ok,4.56150884888331e-07,2.60188338297005e-07,1.95962546591325e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,1,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,0,common_el_refocus_power_rank1,1,1,1,1,0.0328530533920023,0,0.0328530533920023,2,0,ok,4.56150884888331e-07,2.60188338297005e-07,1.95962546591325e-07,NaN,0,0,0,0.076816811562078,0.0790597666688609,NaN,NaN,focused_power,0,0,,,1,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,0,level3_2d_music,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,0,pair_el_local_covfit,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,0,dispatch_recommended_route,1,1,1,1,0.0328530533920023,0,0.0328530533920023,2,0,ok,4.56150884888331e-07,2.60188338297005e-07,1.95962546591325e-07,NaN,0,0,0,0.076816811562078,0.0790597666688609,NaN,NaN,focused_power,0,0,common_el_refocus_rank1,high,1,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,8,level2_music_or_center_real,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,8,level2_rank1_fallback,1,1,1,1,0.0250183843173283,0,0.0250183843173283,2,0,ok,1.09835605061022e-07,1.10091158161323e-08,9.88264892448892e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,1,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,8,common_el_refocus_power_rank1,1,1,1,1,0.0250183843173283,0,0.0250183843173283,2,0,ok,1.09835605061022e-07,1.10091158161323e-08,9.88264892448892e-08,NaN,0,0,0,0.079094897714519,0.0794346610498594,NaN,NaN,focused_power,0,0,,,1,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,8,level3_2d_music,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,8,pair_el_local_covfit,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,8,dispatch_recommended_route,1,1,1,1,0.0250183843173283,0,0.0250183843173283,2,0,ok,1.09835605061022e-07,1.10091158161323e-08,9.88264892448892e-08,NaN,0,0,0,0.079094897714519,0.0794346610498594,NaN,NaN,focused_power,0,0,common_el_refocus_rank1,high,1,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,16,level2_music_or_center_real,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,16,level2_rank1_fallback,1,1,1,1,0.0270183843173283,0,0.0270183843173283,2,0,ok,4.40054783504176e-08,2.14819275602089e-09,4.18572855943967e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,1,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,16,common_el_refocus_power_rank1,1,1,1,1,0.0270183843173283,0,0.0270183843173283,2,0,ok,4.40054783504176e-08,2.14819275602089e-09,4.18572855943967e-08,NaN,0,0,0,0.0795138173290174,0.0795591402756521,NaN,NaN,focused_power,0,0,,,1,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,16,level3_2d_music,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,16,pair_el_local_covfit,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_0.99,0,0,0,1,0,0.99,0,0,0,1,16,dispatch_recommended_route,1,1,1,1,0.0270183843173283,0,0.0270183843173283,2,0,ok,4.40054783504176e-08,2.14819275602089e-09,4.18572855943967e-08,NaN,0,0,0,0.0795138173290174,0.0795591402756521,NaN,NaN,focused_power,0,0,common_el_refocus_rank1,high,1,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,0,level2_music_or_center_real,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,0,level2_rank1_fallback,1,1,1,1,0.0322489822026659,0,0.0322489822026659,2,0,ok,4.83353253009452e-07,2.20370201809212e-07,2.6298305120024e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,1,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,0,common_el_refocus_power_rank1,1,1,1,1,0.0322489822026659,0,0.0322489822026659,2,0,ok,4.83353253009452e-07,2.20370201809212e-07,2.6298305120024e-07,NaN,0,0,0,0.0768397076672419,0.079110910887389,NaN,NaN,focused_power,0,0,,,1,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,0,level3_2d_music,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,0,pair_el_local_covfit,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,0,dispatch_recommended_route,1,1,1,1,0.0322489822026659,0,0.0322489822026659,2,0,ok,4.83353253009452e-07,2.20370201809212e-07,2.6298305120024e-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,rank1_fallback,medium,1,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,8,level2_music_or_center_real,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,8,level2_rank1_fallback,1,1,1,1,0.0261204199119965,0,0.0261204199119965,2,0,ok,8.72960276369113e-08,1.03437040816551e-08,7.69523235552562e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,1,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,8,common_el_refocus_power_rank1,1,1,1,1,0.0261204199119965,0,0.0261204199119965,2,0,ok,8.72960276369113e-08,1.03437040816551e-08,7.69523235552562e-08,NaN,0,0,0,0.0790657545318122,0.0794237393911395,NaN,NaN,focused_power,0,0,,,1,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,8,level3_2d_music,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,8,pair_el_local_covfit,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,8,dispatch_recommended_route,1,1,1,1,0.0261204199119965,0,0.0261204199119965,2,0,ok,8.72960276369113e-08,1.03437040816551e-08,7.69523235552562e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,rank1_fallback,medium,1,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,16,level2_music_or_center_real,0.64,0.64,0.64,0.64,0.0513084336648458,0,0.0513084336648458,1.64,0.36,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0.64,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,16,level2_rank1_fallback,1,1,1,1,0.0219694021146624,0,0.0219694021146624,2,0,ok,4.96820197769547e-08,1.46946504369011e-09,4.82125547332646e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,1,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,16,common_el_refocus_power_rank1,1,1,1,1,0.0219694021146624,0,0.0219694021146624,2,0,ok,4.96820197769547e-08,1.46946504369011e-09,4.82125547332646e-08,NaN,0,0,0,0.0795078703415801,0.0795608037955608,NaN,NaN,focused_power,0,0,,,1,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,16,level3_2d_music,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,16,pair_el_local_covfit,0,0,0,0,NaN,NaN,NaN,NaN,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
rho_scan,rho_scan,rho_0.9,0,0,0,1,0,0.9,0,0,0,1,16,dispatch_recommended_route,1,1,1,1,0.0402108708495001,0,0.0402108708495001,2,0,ok,3.84264061208677e-08,2.89357527572187e-09,3.55328308451458e-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,music,high,1,0,0,0
rho_scan,rho_scan,rho_0.7,0,0,0,1,0,0.7,0,0,0,1,0,level2_music_or_center_real,0,0,0,0,NaN,NaN,NaN,1,1,insufficient_peak_or_pair,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,0,0,0,0
