sweep_phase,config_name,coarse_config_name,refine_config_name,topK,coarse_az_step,coarse_el_step,fine_az_step,fine_el_step,local_az_half_width,local_el_center_half_width,coarse_el_sep_list_text,fine_el_sep_list_text,full_fine_success,coarse_to_fine_success,full_fine_rmse,coarse_to_fine_rmse,full_fine_worst_case_success,coarse_to_fine_worst_case_success,full_fine_mean_num_pairs,coarse_to_fine_mean_num_pairs,coarse_mean_num_pairs,refine_mean_num_pairs,complexity_reduction_ratio,topK_miss_rate,boundary_hit_rate,el_sep_match_rate_vs_full,full_grid_match_rate,screening_score,screening_pass,final_pass,selected_for_confirmation
screening,coarse_016_024_compact__topK5__refine_safe_fullsep,coarse_016_024_compact,refine_safe_fullsep,5,0.16,0.24,0.08,0.12,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0773108977289522,1,1,131461,22888.8,10431,12457.8,5.74346405228758,0,0,1,1,1.07591739072103,1,0,0
screening,coarse_016_024_compact__topK5__refine_small_compact,coarse_016_024_compact,refine_small_compact,5,0.16,0.24,0.08,0.12,0.16,0.24,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,12206.6666666667,10431,1775.66666666667,10.7696067722556,0.4,0,0.6,0.6,0.703219984631031,0,0,0
screening,coarse_016_024_compact__topK5__refine_stage1_safe,coarse_016_024_compact,refine_stage1_safe,5,0.16,0.24,0.04,0.06,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,96870.4,10431,86439.4,1.35708121366279,0,0,0.6,0,1.01326058385147,0,0,0
screening,coarse_016_024_compact__topK7__refine_mid_compact,coarse_016_024_compact,refine_mid_compact,7,0.16,0.24,0.08,0.12,0.24,0.36,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,15255.8666666667,10431,4824.86666666667,8.61707845724923,0.4,0,0.6,0.6,0.693536004715183,0,0,0
screening,coarse_016_024_compact__topK7__refine_mid_finer,coarse_016_024_compact,refine_mid_finer,7,0.16,0.24,0.04,0.06,0.24,0.36,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,42541.8666666667,10431,32110.8666666667,3.09015589348845,0.4,0,0.6,0,0.648998038944878,0,0,0
screening,coarse_016_024_compact__topK7__refine_safe_compact,coarse_016_024_compact,refine_safe_compact,7,0.16,0.24,0.08,0.12,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,19308.6,10431,8877.6,6.80841697481951,0.4,0,0.6,0.6,0.683304614583061,0,0,0
screening,coarse_016_024_compact__topK7__refine_safe_fullsep,coarse_016_024_compact,refine_safe_fullsep,7,0.16,0.24,0.08,0.12,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0773108977289522,1,1,131461,24304.2,10431,13873.2,5.40898280955555,0,0,1,1,1.07331156012004,1,0,0
screening,coarse_016_024_compact__topK7__refine_small_compact,coarse_016_024_compact,refine_small_compact,7,0.16,0.24,0.08,0.12,0.16,0.24,"[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,12538,10431,2107,10.4850055830276,0.4,0,0.6,0.6,0.702056866605338,0,0,0
screening,coarse_016_024_compact__topK7__refine_stage1_safe,coarse_016_024_compact,refine_stage1_safe,7,0.16,0.24,0.04,0.06,0.32,0.48,"[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",1,1,0.077310897728952,0.0182032989911424,1,1,131461,107250.066666667,10431,96819.0666666667,1.22574282782109,0,0,0.6,0,1.00883993607419,0,0,0
screening,coarse_016_024_minsep__topK10__refine_mid_compact,coarse_016_024_minsep,refine_mid_compact,10,0.16,0.24,0.08,0.12,0.24,0.36,"[0,0.36,0.72]","[0,0.36,0.48,0.72]",1,1,0.077310897728952,0.0667793005993393,1,1,131461,13255.8666666667,7353,5902.86666666667,9.91719389653889,0.4,0,0.6,0.6,0.699638880444786,0,0,0
