search_method,scenario_name,config_name,coarse_config_name,refine_config_name,sweep_phase,W_method,search_param_mode,full_el_sep_deg_list_text,coarse_el_sep_deg_list_text,fine_el_sep_deg_list_text,topK,coarse_az_step,coarse_el_step,fine_az_step,fine_el_step,local_az_half_width,local_el_center_half_width,az_center_bias_deg,el_center_bias_deg,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,B,joint_success_rate,az_rmse_mean,el_rmse_mean,combined_rmse_mean,boundary_hit_rate,mean_num_pairs,mean_full_num_pairs,mean_coarse_num_pairs,mean_refine_num_pairs,mean_reduction_ratio_vs_full,full_grid_match_rate,topK_miss_rate,full_success_test_fail_rate,el_sep_match_rate_vs_full,n_trials,overall_joint_success_rate,overall_combined_rmse_mean,worst_case_success,overall_boundary_hit_rate,overall_mean_num_pairs,overall_az_rmse_mean,overall_el_rmse_mean,overall_mean_reduction_ratio_vs_full,overall_full_grid_match_rate,overall_topK_miss_rate,overall_el_sep_match_rate_vs_full
coarse_to_fine,easy_noncoherent,coarse_016_024_compact__topK10__refine_mid_compact,coarse_016_024_compact,refine_mid_compact,screening,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",10,0.16,0.24,0.08,0.12,0.24,0.36,0,0,0,0,1,1.27,0.67,30,7,1,0.0206155281280884,0.0559016994374943,0.0595818764390646,0,15086,131461,10431,4655,8.71410579345088,1,0,0,1,3,1,0.0667793005993393,1,0,15924.1333333333,0.0340825817302108,0.0561960354981793,8.2832204587613,0.6,0.4,0.6
coarse_to_fine,easy_noncoherent,coarse_016_024_compact__topK10__refine_mid_finer,coarse_016_024_compact,refine_mid_finer,screening,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",10,0.16,0.24,0.04,0.06,0.24,0.36,0,0,0,0,1,1.27,0.67,30,7,1,0.0150000000000001,0.0269258240356723,0.0308220700148447,0,41462,131461,10431,31031,3.1706381747142,0,0,0,1,3,1,0.0182032989911424,1,0,47293.4666666667,0.010123105625618,0.0143294367171341,2.82873222158844,0,0.4,0.6
coarse_to_fine,easy_noncoherent,coarse_016_024_compact__topK10__refine_safe_compact,coarse_016_024_compact,refine_safe_compact,screening,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",10,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,7,1,0.0206155281280884,0.0559016994374943,0.0595818764390646,0,18990,131461,10431,8559,6.92264349657715,1,0,0,1,3,1,0.0667793005993393,1,0,20248.7333333333,0.0340825817302108,0.0561960354981793,6.52594032750013,0.6,0.4,0.6
coarse_to_fine,easy_noncoherent,coarse_016_024_compact__topK10__refine_safe_fullsep,coarse_016_024_compact,refine_safe_fullsep,screening,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",10,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,7,1,0.0206155281280884,0.0559016994374943,0.0595818764390646,0,23796,131461,10431,13365,5.52449991595226,1,0,0,1,3,1,0.0773108977289522,1,0,25768.0666666667,0.0366556110726745,0.0676875350070355,5.14154694527625,1,0,1
coarse_to_fine,easy_noncoherent,coarse_016_024_compact__topK10__refine_small_compact,coarse_016_024_compact,refine_small_compact,screening,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",10,0.16,0.24,0.08,0.12,0.16,0.24,0,0,0,0,1,1.27,0.67,30,7,1,0.0206155281280884,0.0559016994374943,0.0595818764390646,0,12496,131461,10431,2065,10.5202464788732,1,0,0,1,3,1,0.0667793005993393,1,0,12904.8,0.0340825817302108,0.0561960354981793,10.199445669845,0.6,0.4,0.6
coarse_to_fine,easy_noncoherent,coarse_016_024_compact__topK10__refine_stage1_safe,coarse_016_024_compact,refine_stage1_safe,screening,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",10,0.16,0.24,0.04,0.06,0.32,0.48,0,0,0,0,1,1.27,0.67,30,7,1,0.0150000000000001,0.0269258240356723,0.0308220700148447,0,103472,131461,10431,93041,1.27049829905675,0,0,0,1,3,1,0.0182032989911424,1,0,118284.6,0.010123105625618,0.0143294367171341,1.13301958759908,0,0,0.6
coarse_to_fine,easy_noncoherent,coarse_016_024_compact__topK3__refine_mid_compact,coarse_016_024_compact,refine_mid_compact,screening,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",3,0.16,0.24,0.08,0.12,0.24,0.36,0,0,0,0,1,1.27,0.67,30,7,1,0.0206155281280884,0.0559016994374943,0.0595818764390646,0,13518,131461,10431,3087,9.72488533806776,1,0,0,1,3,1,0.0667793005993393,1,0,14001.4666666667,0.0340825817302108,0.0561960354981793,9.39861994710705,0.6,0.4,0.6
coarse_to_fine,easy_noncoherent,coarse_016_024_compact__topK3__refine_mid_finer,coarse_016_024_compact,refine_mid_finer,screening,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",3,0.16,0.24,0.04,0.06,0.24,0.36,0,0,0,0,1,1.27,0.67,30,7,1,0.0150000000000001,0.0269258240356723,0.0308220700148447,0,30542,131461,10431,20111,4.30426953048261,0,0,0,1,3,1,0.0182032989911424,1,0,33842.2666666667,0.010123105625618,0.0143294367171341,3.91587152157631,0,0.4,0.6
coarse_to_fine,easy_noncoherent,coarse_016_024_compact__topK3__refine_safe_compact,coarse_016_024_compact,refine_safe_compact,screening,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.36,0.48,0.72]",3,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,7,1,0.0206155281280884,0.0559016994374943,0.0595818764390646,0,16668,131461,10431,6237,7.88702903767699,1,0,0,1,3,1,0.0667793005993393,1,0,17381.3333333333,0.0340825817302108,0.0561960354981793,7.57537252485317,0.6,0.4,0.6
coarse_to_fine,easy_noncoherent,coarse_016_024_compact__topK3__refine_safe_fullsep,coarse_016_024_compact,refine_safe_fullsep,screening,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",3,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0,0,1,1.27,0.67,30,7,1,0.0206155281280884,0.0559016994374943,0.0595818764390646,0,20232,131461,10431,9801,6.49767694741004,1,0,0,1,3,1,0.0773108977289522,1,0,21316.6666666667,0.0366556110726745,0.0676875350070355,6.18229874861611,1,0,1
