search_method,scenario_name,config_name,coarse_config_name,refine_config_name,sweep_phase,W_method,search_param_mode,full_el_sep_deg_list_text,coarse_el_sep_deg_list_text,fine_el_sep_deg_list_text,topK,coarse_az_step,coarse_el_step,fine_az_step,fine_el_step,local_az_half_width,local_el_center_half_width,az_center_bias_deg,el_center_bias_deg,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,B,joint_success_rate,az_rmse_mean,el_rmse_mean,combined_rmse_mean,boundary_hit_rate,mean_num_pairs,mean_full_num_pairs,mean_coarse_num_pairs,mean_refine_num_pairs,mean_reduction_ratio_vs_full,full_grid_match_rate,topK_miss_rate,full_success_test_fail_rate,el_sep_match_rate_vs_full,n_trials,overall_joint_success_rate,overall_combined_rmse_mean,worst_case_success,overall_boundary_hit_rate,overall_mean_num_pairs,overall_az_rmse_mean,overall_el_rmse_mean,overall_mean_reduction_ratio_vs_full,overall_full_grid_match_rate,overall_topK_miss_rate,overall_el_sep_match_rate_vs_full
coarse_to_fine,low_snr_hard,coarse_016_024_compact__topK3__refine_safe_fullsep,coarse_016_024_compact,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",3,0.16,0.24,0.08,0.12,0.32,0.48,0,0,1,150,0.3,0.83,0.37,20,7,1,0.0585234995535977,0.0887654816034995,0.106386995455045,0,20828,131461,10431,10397,6.3187795122386,1,0,0,1,10,1,0.0765589261213527,1,0,21177.8,0.0366556110726745,0.06678628377114,6.22429811400948,1,0,1
coarse_to_fine,low_snr_hard,coarse_016_024_minsep__topK3__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",3,0.16,0.24,0.08,0.12,0.32,0.48,0,0,1,150,0.3,0.83,0.37,20,7,1,0.0585234995535977,0.0887654816034995,0.106386995455045,0,20641.5,131461,7353,13288.5,6.43722002635046,1,0,0,1,10,1,0.0765589261213527,1,0,19161.9,0.0366556110726745,0.06678628377114,6.89563144212141,1,0,1
coarse_to_fine,low_snr_hard,coarse_016_024_minsep__topK5__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",5,0.16,0.24,0.08,0.12,0.32,0.48,0,0,1,150,0.3,0.83,0.37,20,7,1,0.0585234995535977,0.0887654816034995,0.106386995455045,0,22477.5,131461,7353,15124.5,5.91439523909733,1,0,0,1,10,1,0.0765589261213527,1,0,21165.7,0.0366556110726745,0.06678628377114,6.27035759570521,1,0,1
coarse_to_fine,low_snr_hard,coarse_016_024_minsep__topK7__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",7,0.16,0.24,0.08,0.12,0.32,0.48,0,0,1,150,0.3,0.83,0.37,20,7,1,0.0585234995535977,0.0887654816034995,0.106386995455045,0,23492.7,131461,7353,16139.7,5.62398628862029,1,0,0,1,10,1,0.0765589261213527,1,0,22127.42,0.0366556110726745,0.06678628377114,5.9755738233296,1,0,1
coarse_to_fine,low_snr_hard,coarse_020_030_compact__topK3__refine_safe_fullsep,coarse_020_030_compact,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",3,0.2,0.3,0.08,0.12,0.32,0.48,0,0,1,150,0.3,0.83,0.37,20,7,1,0.00500000000000034,0.0111803398874995,0.0122474487139165,0,21678,131461,5640,16038,6.06425869545161,0,0,0,0,10,1,0.018545217765351,1,0,20054.4,0.010123105625618,0.0147084257335633,6.78187060368734,0,0,0.56
coarse_to_fine,strong_coherent,coarse_016_024_compact__topK3__refine_safe_fullsep,coarse_016_024_compact,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",3,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0.99,5,1,1.27,0.37,30,7,1,0.0206155281280884,0.0502493781056035,0.0543139024560002,0,22347,131461,10431,11916,5.88898052036431,1,0,0,1,10,1,0.0765589261213527,1,0,21177.8,0.0366556110726745,0.06678628377114,6.22429811400948,1,0,1
coarse_to_fine,strong_coherent,coarse_016_024_minsep__topK3__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",3,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0.99,5,1,1.27,0.37,30,7,1,0.0206155281280884,0.0502493781056035,0.0543139024560002,0,19998,131461,7353,12645,6.57370737073707,1,0,0,1,10,1,0.0765589261213527,1,0,19161.9,0.0366556110726745,0.06678628377114,6.89563144212141,1,0,1
coarse_to_fine,strong_coherent,coarse_016_024_minsep__topK5__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",5,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0.99,5,1,1.27,0.37,30,7,1,0.0206155281280884,0.0502493781056035,0.0543139024560002,0,20520,131461,7353,13167,6.40658536884615,1,0,0,1,10,1,0.0765589261213527,1,0,21165.7,0.0366556110726745,0.06678628377114,6.27035759570521,1,0,1
coarse_to_fine,strong_coherent,coarse_016_024_minsep__topK7__refine_safe_fullsep,coarse_016_024_minsep,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",7,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0.99,5,1,1.27,0.37,30,7,1,0.0206155281280884,0.0502493781056035,0.0543139024560002,0,20851.2,131461,7353,13498.2,6.30520230750841,1,0,0,1,10,1,0.0765589261213527,1,0,22127.42,0.0366556110726745,0.06678628377114,5.9755738233296,1,0,1
coarse_to_fine,strong_coherent,coarse_020_030_compact__topK3__refine_safe_fullsep,coarse_020_030_compact,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",3,0.2,0.3,0.08,0.12,0.32,0.48,0,0,0.99,5,1,1.27,0.37,30,7,1,0.0206155281280887,0.0111803398874995,0.0234520787991178,0,21678,131461,5640,16038,6.06425869545161,0,0,0,1,10,1,0.018545217765351,1,0,20054.4,0.010123105625618,0.0147084257335633,6.78187060368734,0,0,0.56
coarse_to_fine,weak_secondary,coarse_016_024_compact__topK3__refine_safe_fullsep,coarse_016_024_compact,refine_safe_fullsep,confirmation,greedy_combined_B7,degree_based_el_sep,"[0,0.24,0.36,0.48,0.6,0.72]","[0,0.36,0.48,0.72]","[0,0.24,0.36,0.48,0.6,0.72]",3,0.16,0.24,0.08,0.12,0.32,0.48,0,0,0.99,150,0.3,0.83,0.37,30,7,1,0.0585234995535977,0.0887654816034995,0.106386995455045,0,20828,131461,10431,10397,6.3187795122386,1,0,0,1,10,1,0.0765589261213527,1,0,21177.8,0.0366556110726745,0.06678628377114,6.22429811400948,1,0,1
