route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,raw_success_rate,tol_success_rate,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,mean_fft_center_error_deg,std_fft_center_error_deg,mean_fwhm_fft_deg,std_fwhm_fft_deg,mean_theta_search_adapt_deg,mean_routeB_beam_span_adapt_deg
baseline_true_centerT,6,0.466667,12.766667,13.233333,14,200,200,1.000000,1.000000,0.032676,200,2.000000,14.000000,-3.711231,20.826249,2.227827,0.601786,2.190770,3.022640
baseline_true_centerT,6,0.466667,12.766667,13.233333,16,200,200,1.000000,1.000000,0.023171,200,2.000000,14.000000,-0.758354,9.690754,2.069671,0.367349,2.128604,2.900991
baseline_true_centerT,6,0.466667,12.766667,13.233333,18,200,200,1.000000,1.000000,0.019933,200,2.000000,14.000000,-0.005547,0.244973,2.000424,0.205184,2.094295,2.835006
baseline_true_centerT,6,0.466667,12.766667,13.233333,20,200,200,1.000000,1.000000,0.014352,200,2.000000,14.000000,-0.004581,0.185036,1.982102,0.146880,2.081207,2.809630
baseline_true_centerT,6,0.466667,12.766667,13.233333,22,200,200,1.000000,1.000000,0.011849,200,2.000000,14.000000,-0.014282,0.140987,1.956794,0.108044,2.054633,2.773755
baseline_true_centerT,6,0.466667,12.766667,13.233333,24,200,200,1.000000,1.000000,0.008840,200,2.000000,14.000000,-0.005128,0.123495,1.953778,0.092037,2.051467,2.769481
baseline_true_centerT,6,0.466667,12.766667,13.233333,26,200,200,1.000000,1.000000,0.007267,200,2.000000,14.000000,-0.000390,0.092529,1.961736,0.070857,2.059823,2.780761
baseline_true_centerT,6,0.466667,12.766667,13.233333,28,200,200,1.000000,1.000000,0.006229,200,2.000000,14.000000,0.000960,0.070720,1.947495,0.058096,2.044870,2.760575
baseline_true_centerT,7,0.400000,12.800000,13.200000,14,162,159,0.810000,0.795000,0.054283,162,1.810000,16.000000,-3.959281,24.380142,2.300352,1.145461,2.065905,2.870542
baseline_true_centerT,7,0.400000,12.800000,13.200000,16,199,199,0.995000,0.995000,0.037383,199,1.995000,16.000000,-2.533107,13.630015,2.121250,0.565706,2.076503,2.872918
baseline_true_centerT,7,0.400000,12.800000,13.200000,18,200,200,1.000000,1.000000,0.026679,200,2.000000,16.000000,-0.587770,6.312961,2.009786,0.307366,2.061391,2.819676
baseline_true_centerT,7,0.400000,12.800000,13.200000,20,200,200,1.000000,1.000000,0.020821,200,2.000000,16.000000,-0.015956,0.176336,2.004090,0.169249,2.078042,2.834393
baseline_true_centerT,7,0.400000,12.800000,13.200000,22,200,200,1.000000,1.000000,0.017713,200,2.000000,16.000000,0.004048,0.146601,1.967577,0.114455,2.060060,2.788918
baseline_true_centerT,7,0.400000,12.800000,13.200000,24,200,200,1.000000,1.000000,0.012073,200,2.000000,16.000000,0.005390,0.116257,1.961521,0.103494,2.056197,2.780456
baseline_true_centerT,7,0.400000,12.800000,13.200000,26,200,200,1.000000,1.000000,0.009975,200,2.000000,16.000000,-0.000392,0.087337,1.950519,0.065016,2.047823,2.764861
baseline_true_centerT,7,0.400000,12.800000,13.200000,28,200,200,1.000000,1.000000,0.008170,200,2.000000,16.000000,0.003844,0.064456,1.941457,0.053533,2.038530,2.752015
baseline_true_centerT,8,0.350000,12.825000,13.175000,14,31,31,0.155000,0.155000,0.061006,31,1.155000,20.000000,-5.331257,23.069763,2.369625,1.294977,1.924309,2.773849
baseline_true_centerT,8,0.350000,12.825000,13.175000,16,125,121,0.625000,0.605000,0.052148,125,1.625000,20.000000,-0.216685,8.771927,2.022626,0.406351,1.922134,2.729384
baseline_true_centerT,8,0.350000,12.825000,13.175000,18,177,174,0.885000,0.870000,0.042101,177,1.885000,20.000000,-0.383741,5.345339,1.982427,0.251140,1.936916,2.742104
baseline_true_centerT,8,0.350000,12.825000,13.175000,20,199,198,0.995000,0.990000,0.030546,199,1.995000,20.000000,-0.003567,0.178377,1.973414,0.139433,1.947454,2.765900
baseline_true_centerT,8,0.350000,12.825000,13.175000,22,200,200,1.000000,1.000000,0.023076,200,2.000000,20.000000,0.001326,0.134593,1.959070,0.125505,1.948268,2.753381
baseline_true_centerT,8,0.350000,12.825000,13.175000,24,200,200,1.000000,1.000000,0.016016,200,2.000000,20.000000,0.002502,0.108889,1.949897,0.086173,1.952746,2.759077
baseline_true_centerT,8,0.350000,12.825000,13.175000,26,200,200,1.000000,1.000000,0.013379,200,2.000000,20.000000,0.002493,0.086160,1.941423,0.062076,1.956700,2.751163
baseline_true_centerT,8,0.350000,12.825000,13.175000,28,200,200,1.000000,1.000000,0.011247,200,2.000000,20.000000,0.005542,0.068203,1.941714,0.057555,1.958380,2.751440
baseline_true_centerT,9,0.311111,12.844444,13.155556,14,1,1,0.005000,0.005000,0.066015,1,1.005000,22.000000,-2.480933,19.420776,2.255329,0.884887,1.739453,2.571275
baseline_true_centerT,9,0.311111,12.844444,13.155556,16,13,12,0.065000,0.060000,0.057199,13,1.065000,22.000000,-0.357392,13.224978,2.134858,0.661328,1.737996,2.574454
baseline_true_centerT,9,0.311111,12.844444,13.155556,18,78,76,0.390000,0.380000,0.055156,78,1.390000,22.000000,-0.229767,4.168507,1.977797,0.265928,1.741517,2.585025
baseline_true_centerT,9,0.311111,12.844444,13.155556,20,165,164,0.825000,0.820000,0.043016,165,1.825000,22.000000,0.003395,0.184517,1.965681,0.140217,1.742040,2.595539
baseline_true_centerT,9,0.311111,12.844444,13.155556,22,198,198,0.990000,0.990000,0.030632,198,1.990000,22.000000,-0.010713,0.149882,1.944860,0.116863,1.742222,2.599906
baseline_true_centerT,9,0.311111,12.844444,13.155556,24,200,200,1.000000,1.000000,0.023838,200,2.000000,22.000000,-0.000383,0.109567,1.950221,0.090753,1.742222,2.607662
baseline_true_centerT,9,0.311111,12.844444,13.155556,26,200,200,1.000000,1.000000,0.018130,200,2.000000,22.000000,0.001644,0.086394,1.937049,0.066387,1.742222,2.610765
baseline_true_centerT,9,0.311111,12.844444,13.155556,28,200,200,1.000000,1.000000,0.013706,200,2.000000,22.000000,-0.002264,0.068265,1.936411,0.055138,1.742222,2.612990
baseline_true_centerT,10,0.280000,12.860000,13.140000,14,0,0,0.000000,0.000000,NaN,0,1.000000,24.000000,-5.506668,21.273561,2.194153,0.640647,1.565543,2.338514
baseline_true_centerT,10,0.280000,12.860000,13.140000,16,1,1,0.005000,0.005000,0.043012,1,1.005000,24.000000,-1.292545,10.645811,2.059819,0.540109,1.568000,2.350386
baseline_true_centerT,10,0.280000,12.860000,13.140000,18,15,14,0.075000,0.070000,0.072984,15,1.075000,24.000000,0.307738,4.680274,2.025902,0.459536,1.568000,2.351795
baseline_true_centerT,10,0.280000,12.860000,13.140000,20,62,61,0.310000,0.305000,0.047272,62,1.310000,24.000000,-0.003566,0.179377,1.960498,0.146912,1.568000,2.352000
baseline_true_centerT,10,0.280000,12.860000,13.140000,22,144,144,0.720000,0.720000,0.041003,144,1.720000,24.000000,-0.006312,0.130945,1.951327,0.102199,1.568000,2.352000
baseline_true_centerT,10,0.280000,12.860000,13.140000,24,190,190,0.950000,0.950000,0.030039,190,1.950000,24.000000,-0.007341,0.108913,1.947206,0.082952,1.568000,2.352000
baseline_true_centerT,10,0.280000,12.860000,13.140000,26,199,199,0.995000,0.995000,0.022595,199,1.995000,24.000000,0.005547,0.084904,1.934771,0.062397,1.568000,2.352000
baseline_true_centerT,10,0.280000,12.860000,13.140000,28,200,200,1.000000,1.000000,0.018104,200,2.000000,24.000000,0.002658,0.071765,1.931784,0.052353,1.568000,2.352000
fft_guided_centerT,6,0.466667,12.766667,13.233333,14,126,126,0.630000,0.630000,0.033160,126,1.510000,16.000000,-3.711231,20.826249,2.227827,0.601786,2.190770,3.022640
fft_guided_centerT,6,0.466667,12.766667,13.233333,16,180,180,0.900000,0.900000,0.023412,180,1.870000,16.000000,-0.758354,9.690754,2.069671,0.367349,2.128604,2.900991
fft_guided_centerT,6,0.466667,12.766667,13.233333,18,199,199,0.995000,0.995000,0.020003,199,1.995000,16.000000,-0.005547,0.244973,2.000424,0.205184,2.094295,2.835006
fft_guided_centerT,6,0.466667,12.766667,13.233333,20,200,200,1.000000,1.000000,0.014580,200,2.000000,16.000000,-0.004581,0.185036,1.982102,0.146880,2.081207,2.809630
fft_guided_centerT,6,0.466667,12.766667,13.233333,22,200,200,1.000000,1.000000,0.011939,200,2.000000,16.000000,-0.014282,0.140987,1.956794,0.108044,2.054633,2.773755
