trial_global_id,trial_id,seed,method_name,method_type,B,beam_count,scenario_name,rho,phase_deg,beta,az_sep_deg,el_sep_deg,snr_db,source_corr_empirical,az_hat_1,az_hat_2,el_hat_1,el_hat_2,az_true_1,az_true_2,el_true_1,el_true_2,raw_success,az_tol_success,el_pair_tol_success,joint_pair_tol_success,az_rmse_deg,el_rmse_deg,az_center_error_deg,az_sep_error_deg,el_center_error_deg,el_sep_error_deg,abs_el_sep_error_deg,estimated_el_sep_deg,true_el_sep_deg,false_el_split,boundary_hit,projection_loss,mean_corr,max_corr,cond_WHW,cond_best_GHG,max_score,num_pairs,tie_count,truth_manifold_corr,N_elem,L,phase_factor,phase_sign,az_bound_min,az_bound_max,el_bound_min,el_bound_max
11,11,20361634,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.0167510643768928,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,228380.943799937,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
12,12,20361635,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.106913409193078,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,226980.994451488,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
13,13,20361636,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.0210821209158371,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,228459.43721379,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
14,14,20361637,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.0690592225580309,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,230419.531000065,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
15,15,20361638,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.0503126496838743,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,229253.499965328,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
16,16,20361639,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.0556831149293556,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,228185.509115327,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
17,17,20361640,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.0664027152153153,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,227396.670472633,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
18,18,20361641,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.200954194579039,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,231903.59167284,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
19,19,20361642,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.0612208836661461,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,229699.445713519,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
20,20,20361643,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.0447236836892649,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,229092.281940917,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
21,21,20361644,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.104017175753098,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,229348.995719384,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
22,22,20361645,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.115838963710857,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,225948.219917021,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
23,23,20361646,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.0917909416572137,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,227078.690513538,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
24,24,20361647,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.165246909861481,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,226342.166338663,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
25,25,20361648,regular_B7,regular,7,7,easy_noncoherent,0,0,1,1.27,0.67,30,0.0632756972975536,7.38,8.66,10,10.48,7.365,8.635,9.975,10.645,1,1,1,1,0.0206155281280884,0.118004237212061,0.0199999999999996,0.0100000000000007,-0.0700000000000021,-0.190000000000003,0.190000000000003,0.479999999999999,0.670000000000002,0,0,0.46781993154732,0.635124874608382,0.799958368755896,10978.0174051607,1.22896704909702,228379.24182704,65379,1,0.105861046300154,2080,64,2,1,6.5,9.5,8.8,11.2
