trial_index,scenario_name,quant_mode,score_gap_top1_top2_baseline,score_gap_top1_top2_quant,score_gap_same_baseline_pair_quant,score_gap_norm_baseline,score_gap_norm_quant,score_gap_abs_error,score_gap_rel_error,score_gap_sign_flip_flag,score_margin_bin
1,easy_noncoherent,double_baseline,473.309382773092,473.309382773092,473.309382773092,0.00110155011042046,0.00110155011042046,0,0,0,reliable
1,easy_noncoherent,float32_all,473.309382773092,473.359375,473.359375,0.00110155011042046,0.00110166612865213,0.0499922269082163,0.000105622725278157,0,reliable
1,easy_noncoherent,W_int16_only,473.309382773092,473.311599991255,473.311599991255,0.00110155011042046,0.00110155526910126,0.00221721816342324,4.68450076022725e-06,0,reliable
1,easy_noncoherent,Gcache_int16_only,473.309382773092,473.591331030417,473.591331030417,0.00110155011042046,0.0011022045881083,0.281948257324984,0.000595695474433797,0,reliable
1,easy_noncoherent,Z_int16_only,473.309382773092,473.348606399144,473.348606399144,0.00110155011042046,0.00110164107247696,0.0392236260522623,8.28710088577863e-05,0,reliable
1,easy_noncoherent,Rz_int18_only,473.309382773092,473.130300508055,473.130300508055,0.00110155011042046,0.00110113424466011,0.179082265036413,0.000378361958487239,0,reliable
1,easy_noncoherent,combined_int16,473.309382773092,472.595335005666,472.595335005666,0.00110155011042046,0.00109987473648831,0.714047767425654,0.00150862795755725,0,reliable
1,easy_noncoherent,combined_int18,473.309382773092,472.578869952296,472.578869952296,0.00110155011042046,0.00109984953447338,0.730512820795411,0.00154341504179651,0,reliable
1,easy_noncoherent,combined_int24,473.309382773092,473.319471057592,473.319471057592,0.00110155011042046,0.00110157360753509,0.0100882844999433,2.13143556141579e-05,0,reliable
1,easy_noncoherent,mixed_Z16_G24_score_float,473.309382773092,473.359375,473.359375,0.00110155011042046,0.00110166612865213,0.0499922269082163,0.000105622725278157,0,reliable
1,easy_noncoherent,mixed_Z16_G24_Rz24,473.309382773092,473.345290516794,473.345290516794,0.00110155011042046,0.00110163334358072,0.0359077437024098,7.58652691227637e-05,0,reliable
1,easy_noncoherent,combined_int14,473.309382773092,472.622972889192,472.622972889192,0.00110155011042046,0.00109997555609876,0.686409883899614,0.00145023510811888,0,reliable
1,easy_noncoherent,Gcache_int24_only,473.309382773092,473.309769786778,473.309769786778,0.00110155011042046,0.00110155101454355,0.000387013686122373,8.17675922363682e-07,0,reliable
1,easy_noncoherent,W_int18_G24_Z16,473.309382773092,473.345424017753,473.345424017753,0.00110155011042046,0.00110163334358071,0.036041244660737,7.6147327673019e-05,0,reliable
2,easy_noncoherent,double_baseline,543.12405994843,543.12405994843,543.12405994843,0.00143267567472112,0.00143267567472112,0,0,0,reliable
2,easy_noncoherent,float32_all,543.12405994843,543.109375,543.109375,0.00143267567472112,0.00143263706240612,0.014684948429931,2.70379265306812e-05,0,reliable
2,easy_noncoherent,W_int16_only,543.12405994843,543.125977842836,543.125977842836,0.00143267567472112,0.0014326808700636,0.0019178944057785,3.53122711220085e-06,0,reliable
2,easy_noncoherent,Gcache_int16_only,543.12405994843,543.462626582535,543.462626582535,0.00143267567472112,0.00143356943094235,0.338566634105518,0.000623368874760705,0,reliable
2,easy_noncoherent,Z_int16_only,543.12405994843,543.131116879056,543.131116879056,0.00143267567472112,0.00143269349151002,0.00705693062627688,1.29932204199294e-05,0,reliable
2,easy_noncoherent,Rz_int18_only,543.12405994843,543.092857384443,543.092857384443,0.00143267567472112,0.00143259418974206,0.0312025639868807,5.74501597109202e-05,0,reliable
2,easy_noncoherent,combined_int16,543.12405994843,544.546667833289,544.546667833289,0.00143267567472112,0.00143643031784839,1.42260788485873,0.00261930558737135,0,reliable
2,easy_noncoherent,combined_int18,543.12405994843,543.083878355275,543.083878355275,0.00143267567472112,0.0014325717145401,0.040181593154557,7.39823478974073e-05,0,reliable
2,easy_noncoherent,combined_int24,543.12405994843,543.125880332256,543.125880332256,0.00143267567472112,0.00143268049135894,0.0018203838262707,3.35169063665408e-06,0,reliable
2,easy_noncoherent,mixed_Z16_G24_score_float,543.12405994843,543.140625,543.140625,0.00143267567472112,0.00143271855016681,0.016565051570069,3.04995723659193e-05,0,reliable
2,easy_noncoherent,mixed_Z16_G24_Rz24,543.12405994843,543.12620295235,543.12620295235,0.00143267567472112,0.00143268049135892,0.00214300391962752,3.94569874115133e-06,0,reliable
2,easy_noncoherent,combined_int14,543.12405994843,533.000652413117,533.000652413117,0.00143267567472112,0.00140595390916313,10.1234075353132,0.0186392175965734,0,reliable
2,easy_noncoherent,Gcache_int24_only,543.12405994843,543.124441162043,543.124441162043,0.00143267567472112,0.0014326766702049,0.000381213612854481,7.01890490527482e-07,0,reliable
2,easy_noncoherent,W_int18_G24_Z16,543.12405994843,543.148971034505,543.148971034505,0.00143267567472112,0.00143274026692549,0.0249110860750079,4.58662908017245e-05,0,reliable
3,easy_noncoherent,double_baseline,374.570548328222,374.570548328222,374.570548328222,0.000876404342835275,0.000876404342835275,0,0,0,weak_margin
3,easy_noncoherent,float32_all,374.570548328222,374.578125,374.578125,0.000876404342835275,0.000876421946442002,0.00757667177822441,2.02276228391167e-05,0,weak_margin
3,easy_noncoherent,W_int16_only,374.570548328222,374.573047350888,374.573047350888,0.000876404342835275,0.000876410185309115,0.00249902266659774,6.671700905881e-06,0,weak_margin
3,easy_noncoherent,Gcache_int16_only,374.570548328222,374.842935616354,374.842935616354,0.000876404342835275,0.0008770403607604,0.27238728813245,0.000727198893100819,0,weak_margin
3,easy_noncoherent,Z_int16_only,374.570548328222,374.592472966964,374.592472966964,0.000876404342835275,0.000876454514316696,0.0219246387423482,5.85327352622942e-05,0,weak_margin
3,easy_noncoherent,Rz_int18_only,374.570548328222,374.675437381928,374.675437381928,0.000876404342835275,0.000876650261656921,0.104889053705847,0.000280024828898017,0,weak_margin
3,easy_noncoherent,combined_int16,374.570548328222,372.06402074467,372.06402074467,0.000876404342835275,0.000870534691571053,2.50652758355136,0.00669173696313941,0,weak_margin
3,easy_noncoherent,combined_int18,374.570548328222,375.319157553458,375.319157553458,0.000876404342835275,0.000878157549100433,0.748609225236578,0.00199858005008071,0,weak_margin
3,easy_noncoherent,combined_int24,374.570548328222,374.576970464579,374.576970464579,0.000876404342835275,0.000876419379111392,0.00642213635728694,1.71453318632502e-05,0,weak_margin
3,easy_noncoherent,mixed_Z16_G24_score_float,374.570548328222,374.59375,374.59375,0.000876404342835275,0.000876457511844826,0.0232016717782244,6.19420610664074e-05,0,weak_margin
3,easy_noncoherent,mixed_Z16_G24_Rz24,374.570548328222,374.602972138644,374.602972138644,0.000876404342835275,0.00087647908828998,0.0324238104221877,8.65626263647828e-05,0,weak_margin
3,easy_noncoherent,combined_int14,374.570548328222,365.562565382977,365.562565382977,0.000876404342835275,0.000855327468230695,9.00798294524429,0.0240488286798004,0,weak_margin
3,easy_noncoherent,Gcache_int24_only,374.570548328222,374.5709496091,374.5709496091,0.000876404342835275,0.000876405284668064,0.000401280878577381,1.07130921095738e-06,0,weak_margin
3,easy_noncoherent,W_int18_G24_Z16,374.570548328222,374.602970698412,374.602970698412,0.000876404342835275,0.000876479088289917,0.0324223701900337,8.65587813423687e-05,0,weak_margin
4,easy_noncoherent,double_baseline,131.092471590207,131.092471590207,131.092471590207,0.000310931674487987,0.000310931674487987,0,0,0,weak_margin
4,easy_noncoherent,float32_all,131.092471590207,131.15625,131.15625,0.000310931674487987,0.000311082843280881,0.063778409792576,0.000486514664182594,0,weak_margin
4,easy_noncoherent,W_int16_only,131.092471590207,131.09577182823,131.09577182823,0.000310931674487987,0.000310939493990012,0.00330023802234791,2.5174885958855e-05,0,weak_margin
4,easy_noncoherent,Gcache_int16_only,131.092471590207,131.335323677136,131.335323677136,0.000310931674487987,0.000311507271876406,0.242852086928906,0.00185252504574067,0,weak_margin
4,easy_noncoherent,Z_int16_only,131.092471590207,131.131145838677,131.131145838677,0.000310931674487987,0.000311022784786924,0.0386742484697606,0.000295015022606757,0,weak_margin
4,easy_noncoherent,Rz_int18_only,131.092471590207,131.097031797835,131.097031797835,0.000310931674487987,0.000310943073327542,0.00456020762794651,3.47861900277663e-05,0,weak_margin
4,easy_noncoherent,combined_int16,131.092471590207,128.71024637096,128.71024637096,0.000310931674487987,0.000305278261135042,2.38222521924763,0.0181720978355982,0,weak_margin
4,easy_noncoherent,combined_int18,131.092471590207,130.315311344515,130.315311344515,0.000310931674487987,0.000309088342027295,0.777160245692357,0.00592833620622964,0,weak_margin
4,easy_noncoherent,combined_int24,131.092471590207,131.093832045532,131.093832045532,0.000310931674487987,0.000310934910024775,0.00136045532417484,1.03778295402622e-05,0,weak_margin
4,easy_noncoherent,mixed_Z16_G24_score_float,131.092471590207,131.140625,131.140625,0.000310931674487987,0.000311045264405337,0.048153409792576,0.000367323990527104,0,weak_margin
4,easy_noncoherent,mixed_Z16_G24_Rz24,131.092471590207,131.144385592837,131.144385592837,0.000310931674487987,0.000311054193486907,0.0519140026299283,0.000396010556519298,0,weak_margin
4,easy_noncoherent,combined_int14,131.092471590207,128.718776379043,128.718776379043,0.000310931674487987,0.000305306222140808,2.37369521116489,0.0181070292013794,0,weak_margin
4,easy_noncoherent,Gcache_int24_only,131.092471590207,131.092897237395,131.092897237395,0.000310931674487987,0.000310932685278914,0.000425647187512368,3.24692320122648e-06,0,weak_margin
4,easy_noncoherent,W_int18_G24_Z16,131.092471590207,131.144396859891,131.144396859891,0.000310931674487987,0.00031105419348692,0.0519252696831245,0.000396096503889574,0,weak_margin
5,easy_noncoherent,double_baseline,687.184451692097,687.184451692097,687.184451692097,0.00184976434952873,0.00184976434952873,0,0,0,reliable
5,easy_noncoherent,float32_all,687.184451692097,687.1875,687.1875,0.00184976434952873,0.00184977271517109,0.00304830790264532,4.43593840800571e-06,0,reliable
5,easy_noncoherent,W_int16_only,687.184451692097,687.185984547308,687.185984547308,0.00184976434952873,0.00184976865630599,0.0015328552108258,2.2306313931454e-06,0,reliable
5,easy_noncoherent,Gcache_int16_only,687.184451692097,687.40504008744,687.40504008744,0.00184976434952873,0.00185035913667366,0.220588395342929,0.000321003181605405,0,reliable
5,easy_noncoherent,Z_int16_only,687.184451692097,687.236135752872,687.236135752872,0.00184976434952873,0.00184989981433959,0.0516840607742779,7.52113361223657e-05,0,reliable
5,easy_noncoherent,Rz_int18_only,687.184451692097,687.070554997015,687.070554997015,0.00184976434952873,0.00184945541472892,0.113896695082076,0.000165743993190796,0,reliable
5,easy_noncoherent,combined_int16,687.184451692097,687.188072619523,687.188072619523,0.00184976434952873,0.00184978521089076,0.00362092742579989,5.26922199255797e-06,0,reliable
5,easy_noncoherent,combined_int18,687.184451692097,687.175648681965,687.175648681965,0.00184976434952873,0.00184974279402886,0.00880301013239659,1.28102580183827e-05,0,reliable
5,easy_noncoherent,combined_int24,687.184451692097,687.193517561565,687.193517561565,0.00184976434952873,0.00184978870178418,0.00906586946803145,1.31927744373552e-05,0,reliable
5,easy_noncoherent,mixed_Z16_G24_score_float,687.184451692097,687.234375,687.234375,0.00184976434952873,0.00184989508092276,0.0499233079026453,7.26490650068057e-05,0,reliable
5,easy_noncoherent,mixed_Z16_G24_Rz24,687.184451692097,687.239299573266,687.239299573266,0.00184976434952873,0.00184990835253415,0.0548478811688256,7.98153698526941e-05,0,reliable
5,easy_noncoherent,combined_int14,687.184451692097,681.589251264377,681.589251264377,0.00184976434952873,0.00183463796477491,5.59520042772056,0.00814221045593093,0,reliable
5,easy_noncoherent,Gcache_int24_only,687.184451692097,687.184828094731,687.184828094731,0.00184976434952873,0.00184976534892414,0.000376402633264661,5.47746143466752e-07,0,reliable
5,easy_noncoherent,W_int18_G24_Z16,687.184451692097,687.239267035329,687.239267035329,0.00184976434952873,0.00184990835253417,0.0548153432318941,7.97680202119225e-05,0,reliable
6,easy_noncoherent,double_baseline,482.450049353734,482.450049353734,482.450049353734,0.00112159661228789,0.00112159661228789,0,0,0,reliable
6,easy_noncoherent,float32_all,482.450049353734,482.4375,482.4375,0.00112159661228789,0.00112156727075199,0.0125493537343573,2.60117161375934e-05,0,reliable
6,easy_noncoherent,W_int16_only,482.450049353734,482.452255503536,482.452255503536,0.00112159661228789,0.00112160174179504,0.00220614980207756,4.57280459403581e-06,0,reliable
