quant_mode,is_fixed_candidate,recommendation_candidate_flag,num_trials,reliable_trial_count,overall_top1_preservation_rate,overall_topK_set_preservation_rate,overall_topK_miss_rate,reliable_top1_preservation_rate,reliable_topK_set_preservation_rate,reliable_topK_miss_rate,argmax_changed_rate_on_reliable_margin,reliable_score_gap_sign_flip_rate,mean_score_rank_spearman,min_score_rank_spearman,max_candidate_score_rel_l2_error,max_score_gap_rel_error,same_policy_rate,same_estimate_rate,same_confidence_rate,same_fallback_rate,boundary_state_same_rate,max_clip_rate,max_overflow_rate,ranking_pass_flag,topK_pass_flag,fixed_point_pass_flag,mode_storage_cost_bits
double_baseline,0,0,10,4,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,16
float32_all,0,0,10,4,1,1,0,1,1,0,0,0,0.999999999701171,0.999999999547229,7.57201990900909e-07,0.00978726237392101,1,1,1,1,1,0,0,1,1,0,16
combined_int16,1,1,10,4,0.7,1,0,1,1,0,0,0,0.999999973666826,0.999999969453035,3.59753190950051e-05,0.057448047020537,1,0.7,1,1,1,0,0,1,1,0,16
combined_int18,1,1,10,4,0.8,1,0,1,1,0,0,0,0.99999999445808,0.999999993208432,9.76846671506777e-06,0.0139094122333335,1,0.8,1,1,1,0,0,1,1,0,18
combined_int24,1,1,10,4,1,1,0,1,1,0,0,0,0.999999999927557,0.999999999879261,1.38399227484648e-07,0.000462588322002934,1,1,1,1,1,0,0,1,1,0,24
mixed_Z16_G24_Rz24,1,1,10,4,1,1,0,1,1,0,0,0,0.999999999236326,0.99999999815873,2.93747161262464e-06,0.000617731526382998,1,1,1,1,1,0,0,1,1,0,24
combined_int14,1,1,10,4,0.4,0.9,0.01,0.5,0.75,0.025,0.5,0,0.999999854120131,0.999999817503013,0.000143245832488592,0.189370340316178,1,0.4,1,1,1,0,0,0,0,0,16
W_int18_G24_Z16,1,1,10,4,1,1,0,1,1,0,0,0,0.999999999206141,0.999999997977622,3.14549967313124e-06,0.000652938899596695,1,1,1,1,1,0,0,1,1,0,24
