stage_name,total_elapsed_sec,mean_elapsed_sec,p95_elapsed_sec,max_elapsed_sec,num_calls
score_recompute,26.5391644,0.331739555,0.4070411,0.5169419,80
ranking_compare,13.4044866,0.1675560825,0.1919122,0.2236477,80
build_candidate_score_pack,8.4440726,0.84440726,0.9252984,0.9252984,10
build_step11_input,0.0639651,0.00639651,0.0094662,0.0094662,10
run_step11_backend,0,0,0,0,10
