frame_index,beam_id,z_re,z_im,clip_re,clip_im,overflow_re,overflow_im,tdata_hex,expected_tlast
0,0,-3288841,-284654,0,0,0,0,0000fba812cdd0f7,0
0,1,962902,-718812,0,0,0,0,0010f508240eb156,0
0,2,-398142,-1163891,0,0,0,0,0020ee3d8df9ecc2,0
0,3,563966,-436666,0,0,0,0,0030f95646089afe,0
0,4,470356,396950,0,0,0,0,0040060e96072d54,0
0,5,-80609,-71258,0,0,0,0,0050fee9a6fec51f,0
0,6,-235268,439974,0,0,0,0,006006b6a6fc68fc,1
1,0,-1275368,-2966245,0,0,0,0,0000d2bd1bec8a18,0
1,1,1196275,677274,0,0,0,0,00100a559a1240f3,0
1,2,882141,-901557,0,0,0,0,0020f23e4b0d75dd,0
1,3,629593,268641,0,0,0,0,0030041961099b59,0
1,4,-112452,594914,0,0,0,0,00400913e2fe48bc,0
1,5,-18205,-122432,0,0,0,0,0050fe21c0ffb8e3,0
1,6,-556074,-13573,0,0,0,0,0060ffcafbf783d6,1
