trial_index,scenario_name,SNR_dB,backend_light_status,backend_ref_status,backend_light_route,backend_ref_route,backend_light_confidence,backend_ref_confidence,backend_light_az_est,backend_ref_az_est,backend_light_el_est,backend_ref_el_est,backend_light_success,backend_ref_success,backend_light_false_high,backend_ref_false_high,backend_light_boundary_missed,backend_ref_boundary_missed,backend_light_reject_reason,backend_ref_reject_reason,backend_ref_blocker_if_any,runtime_light_sec,runtime_ref_sec
24,medium_beta_pair,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0128478,0.254668
25,medium_beta_pair,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.01256,0.2440658
26,medium_beta_pair,8,rejected,rejected,low_confidence,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,boundary_unreliable,none,0.0126478,0.2534604
27,medium_beta_pair,8,rejected,rejected,low_confidence,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,boundary_unreliable,none,0.0141858,0.2552304
28,medium_beta_pair,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0121078,0.2615471
29,medium_beta_pair,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0126539,0.2523305
30,medium_beta_pair,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0118888,0.2586409
31,weak_target_boundary,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.012183,0.2564017
32,weak_target_boundary,8,rejected,rejected,low_confidence,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,boundary_unreliable,none,0.0122286,0.2657318
33,weak_target_boundary,8,rejected,rejected,low_confidence,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,boundary_unreliable,none,0.0127641,0.2499439
34,weak_target_boundary,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0124548,0.2512041
35,weak_target_boundary,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0124063,0.2525264
36,weak_target_boundary,8,rejected,rejected,low_confidence,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,boundary_unreliable,none,0.0125756,0.2538522
37,weak_target_boundary,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0123411,0.2530409
38,weak_target_boundary,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0129442,0.2503695
39,weak_target_boundary,8,rejected,rejected,low_confidence,low_confidence,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,no_reliable_observable_route,none,0.0142888,0.2448766
40,weak_target_boundary,8,rejected,rejected,low_confidence,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,single/merged MUSIC peak with rank-1-like covariance; music evidence is too weak for coherent pair fallback; not_evaluated,boundary_unreliable,none,0.0119447,0.249623
41,near_antiphase_boundary,8,rejected,rejected,boundary_unreliable,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,boundary evidence has higher priority than success,frontend_boundary_unreliable,none,0.01733,0.001721
42,near_antiphase_boundary,8,rejected,rejected,boundary_unreliable,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,boundary evidence has higher priority than success,frontend_boundary_unreliable,none,0.0129978,0.0012567
43,near_antiphase_boundary,8,rejected,rejected,boundary_unreliable,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,boundary evidence has higher priority than success,frontend_boundary_unreliable,none,0.012579,0.0012285
44,near_antiphase_boundary,8,rejected,rejected,boundary_unreliable,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,boundary evidence has higher priority than success,frontend_boundary_unreliable,none,0.0126323,0.001558
45,near_antiphase_boundary,8,rejected,rejected,boundary_unreliable,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,boundary evidence has higher priority than success,frontend_boundary_unreliable,none,0.0146443,0.0017157
46,near_antiphase_boundary,8,rejected,rejected,boundary_unreliable,boundary_unreliable,low,low,[],[],[],[],0,0,0,0,0,0,boundary evidence has higher priority than success,frontend_boundary_unreliable,none,0.0126664,0.0013789
