tau_uncertain,uncertainty_trigger_rate,caught_worst_case_rate,caught_route_flip_rate,safe_equivalent_rate,output_equivalent_rate,success_loss,low_confidence_increment,max_core_az_diff_after,p95_az_diff_after,recommended_flag
0.01,0.206666666666667,0.436619718309859,0.51219512195122,0.82,0.526666666666667,0.113333333333333,0.206666666666667,0.14,0.128,0
0.03,0.473333333333333,1,1,1,0.526666666666667,0.266666666666667,0.473333333333333,0.04,0.04,0
0.05,0.473333333333333,1,1,1,0.526666666666667,0.266666666666667,0.473333333333333,0.04,0.04,0
0.1,0.473333333333333,1,1,1,0.526666666666667,0.266666666666667,0.473333333333333,0.04,0.04,0
