metric,crossing_count,crossing_rate,near_threshold_double_rate,near_threshold_quant_rate,mean_distance_double,mean_distance_quant,scale_ratio_mean,scale_ratio_std
level2_peak_prominence,0,0,0,0,0.984733765321776,0.984733887062853,0.999994770538146,0.000110031704364765
refocus_power_sharpness,0,0,0,0,1.63390289134331,1.6339028786648,0.99999999514222,4.4507126901148e-07
refocus_margin_rel_proxy,0,0,1,1,0.0122864157462584,0.0122864205007007,0.99999999514222,4.4507126901148e-07
refocus_common_el_sharpness,0,0,1,1,0.0533240001505939,0.053323994325534,0.99999999448485,4.57440784151105e-07
refocus_rank1_score_gap_ratio,41,0.273333333333333,0,0,63889346539.0801,89564378945.6558,295005008.818166,3104726638.51695
refocus_rank1_residual_norm,0,0,0,0,0.99436824762184,0.994359170697919,1.30142086634267,1.24098186162167
rank1_residual_norm,0,0,0,0,0.999748798607587,0.999730999871823,1.30590190367234,1.30024754141029
rank1_score_gap_ratio,32,0.213333333333333,0,0,66346701961.2186,93163383354.2859,332603686.352493,3296574547.09473
boundary_score_proxy,0,0,0,0,0.757093656992298,0.76042162910045,0.993288608342507,0.0819232031721937
