metric,finite_count,scale_ratio_median,scale_ratio_mean,scale_ratio_p95_abs_log,scale_drift_detected_flag
rank1_objective,79,1.0379740608153,1.40508432673607,1.37430754551393,0
rank1_residual,79,1.0379740608153,1.40508432673607,1.37430754551393,0
rank1_score_gap,102,0.946200108120273,332603686.352493,19.3443782659287,1
refocus_sharpness,150,1.0000000273509,0.99999999514222,8.28567870739994e-07,0
