route_name,manifold_type,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,degraded_sample_count,num_peaks_found,lambda2_over_noise
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,2,2.725000,-1.362500,1.362500,16,1.000000,1.000000,1.000000,0.032950,4.000000,-4.000000,-0.011707,0.041907,0,2.000000,82.758793
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,2,2.725000,-1.362500,1.362500,18,1.000000,1.000000,1.000000,0.032278,4.000000,-4.000000,-0.010501,0.040620,0,2.000000,130.880501
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,2,2.725000,-1.362500,1.362500,20,1.000000,1.000000,1.000000,0.032175,4.000000,-4.000000,-0.011017,0.040985,0,2.000000,207.140255
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,2,2.725000,-1.362500,1.362500,22,1.000000,1.000000,1.000000,0.031989,4.000000,-4.000000,-0.010615,0.040635,0,2.000000,325.949436
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,2,2.725000,-1.362500,1.362500,24,1.000000,1.000000,1.000000,0.032141,4.000000,-4.000000,-0.011188,0.041220,0,2.000000,512.976135
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,2,2.725000,-1.362500,1.362500,26,1.000000,1.000000,1.000000,0.032124,4.000000,-4.000000,-0.011276,0.041285,0,2.000000,801.526604
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,2,2.725000,-1.362500,1.362500,28,1.000000,1.000000,1.000000,0.032024,4.000000,-4.000000,-0.011201,0.041160,0,2.000000,1245.821263
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,2,2.725000,-1.362500,1.362500,30,1.000000,1.000000,1.000000,0.031989,4.000000,-4.000000,-0.011104,0.041079,0,2.000000,1908.946758
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,-4,0.945000,0.000000,0.000000,17.067505,12.000000,2.000000,-0.756644,8.377185,151,1.890000,1.090449
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,-2,0.990000,0.000000,0.055000,9.883794,12.000000,2.000000,-1.206802,3.068994,52,1.980000,1.147930
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,0,1.000000,0.000000,0.450000,0.421816,12.000000,2.000000,-0.063003,0.332485,0,2.000000,1.273861
multilayer_coherent_proto14_N32_baseline,root_music_ula_from_proto14,3,1.816667,-0.908333,0.908333,2,1.000000,0.005000,0.950000,0.234361,12.000000,2.000000,-0.003029,0.146149,0,2.000000,1.475428
