stress_group,case_name,stress_value,beta,el_a_deg,el_b_deg,el_assumed_deg,phase_offset_deg,rho,route_name,K_phi,P_phi,sep_factor,theta_sep_deg,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_pair_sep_error,mean_pair_center_error,snr90_abs01,snr90_abs01_label,snr90_rel025,snr90_rel025_label,failure_rate,model_mismatch_flag
amplitude_ratio,beta_0p5,0.5,0.5,0,0,0,0,1,center_real,28,38,10,0.2637754449,8,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p5,0.5,0.5,0,0,0,0,1,min_den_fb,28,38,10,0.2637754449,-4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p5,0.5,0.5,0,0,0,0,1,min_den_fb,28,38,10,0.2637754449,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p5,0.5,0.5,0,0,0,0,1,min_den_fb,28,38,10,0.2637754449,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p5,0.5,0.5,0,0,0,0,1,min_den_fb,28,38,10,0.2637754449,8,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p5,0.5,0.5,0,0,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,-4,1,0.84,0.42,0.060118309,0.0636244911,0.04415,4,4 dB,NaN,NaN,0.16,true
amplitude_ratio,beta_0p5,0.5,0.5,0,0,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,0,1,0.87,0.37,0.05987700993,0.06508263348,0.044075,4,4 dB,NaN,NaN,0.13,true
amplitude_ratio,beta_0p5,0.5,0.5,0,0,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,4,1,0.95,0.53,0.05386478401,0.04853059789,0.04425,4,4 dB,NaN,NaN,0.05,true
amplitude_ratio,beta_0p5,0.5,0.5,0,0,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,8,1,0.92,0.65,0.05243311008,0.04198466907,0.043725,4,4 dB,NaN,NaN,0.08,true
amplitude_ratio,beta_0p3,0.3,0.3,0,0,0,0,1,center_real,28,38,10,0.2637754449,-4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p3,0.3,0.3,0,0,0,0,1,center_real,28,38,10,0.2637754449,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p3,0.3,0.3,0,0,0,0,1,center_real,28,38,10,0.2637754449,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p3,0.3,0.3,0,0,0,0,1,center_real,28,38,10,0.2637754449,8,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p3,0.3,0.3,0,0,0,0,1,min_den_fb,28,38,10,0.2637754449,-4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p3,0.3,0.3,0,0,0,0,1,min_den_fb,28,38,10,0.2637754449,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p3,0.3,0.3,0,0,0,0,1,min_den_fb,28,38,10,0.2637754449,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p3,0.3,0.3,0,0,0,0,1,min_den_fb,28,38,10,0.2637754449,8,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p3,0.3,0.3,0,0,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,-4,1,0.56,0,0.08016918859,0.0581510178,0.071,NaN,NaN,NaN,NaN,0.44,true
amplitude_ratio,beta_0p3,0.3,0.3,0,0,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,0,1,0.61,0,0.07754635434,0.05001227753,0.07145,NaN,NaN,NaN,NaN,0.39,true
amplitude_ratio,beta_0p3,0.3,0.3,0,0,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,4,1,0.56,0,0.0777202529,0.05365311736,0.07155,NaN,NaN,NaN,NaN,0.44,true
amplitude_ratio,beta_0p3,0.3,0.3,0,0,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,8,1,0.52,0,0.07792915461,0.05507557286,0.0717,NaN,NaN,NaN,NaN,0.48,true
amplitude_ratio,beta_0p1,0.1,0.1,0,0,0,0,1,center_real,28,38,10,0.2637754449,-4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p1,0.1,0.1,0,0,0,0,1,center_real,28,38,10,0.2637754449,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p1,0.1,0.1,0,0,0,0,1,center_real,28,38,10,0.2637754449,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p1,0.1,0.1,0,0,0,0,1,center_real,28,38,10,0.2637754449,8,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p1,0.1,0.1,0,0,0,0,1,min_den_fb,28,38,10,0.2637754449,-4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p1,0.1,0.1,0,0,0,0,1,min_den_fb,28,38,10,0.2637754449,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p1,0.1,0.1,0,0,0,0,1,min_den_fb,28,38,10,0.2637754449,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p1,0.1,0.1,0,0,0,0,1,min_den_fb,28,38,10,0.2637754449,8,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p1,0.1,0.1,0,0,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,-4,1,0,0,0.1196144322,0.08493975806,0.107575,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p1,0.1,0.1,0,0,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,0,1,0,0,0.1141934271,0.05703568687,0.107975,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p1,0.1,0.1,0,0,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,4,1,0,0,0.1128080196,0.04858466907,0.108225,NaN,NaN,NaN,NaN,1,true
amplitude_ratio,beta_0p1,0.1,0.1,0,0,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,8,1,0,0,0.1117618018,0.04420916018,0.107925,NaN,NaN,NaN,NaN,1,true
elevation_difference,elB_0,0,1,0,0,0,0,1,center_real,28,38,10,0.2637754449,-4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,false
elevation_difference,elB_0,0,1,0,0,0,0,1,center_real,28,38,10,0.2637754449,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,false
elevation_difference,elB_0,0,1,0,0,0,0,1,center_real,28,38,10,0.2637754449,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,false
elevation_difference,elB_0,0,1,0,0,0,0,1,center_real,28,38,10,0.2637754449,8,0.01,0,0,1.346619647,1.776224555,1.012245551,NaN,NaN,NaN,NaN,1,false
elevation_difference,elB_0,0,1,0,0,0,0,1,min_den_fb,28,38,10,0.2637754449,-4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,false
elevation_difference,elB_0,0,1,0,0,0,0,1,min_den_fb,28,38,10,0.2637754449,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,false
elevation_difference,elB_0,0,1,0,0,0,0,1,min_den_fb,28,38,10,0.2637754449,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,false
elevation_difference,elB_0,0,1,0,0,0,0,1,min_den_fb,28,38,10,0.2637754449,8,0.01,0,0,1.346619647,1.776224555,1.012245551,NaN,NaN,NaN,NaN,1,false
elevation_difference,elB_0,0,1,0,0,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,-4,1,0.97,0.93,0.03425008416,0.05140407119,0.0009,-4,<= -4 dB,-4,<= -4 dB,0.03,false
elevation_difference,elB_0,0,1,0,0,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,0,1,1,0.98,0.02400409068,0.0373234733,0.000225,-4,<= -4 dB,-4,<= -4 dB,0,false
elevation_difference,elB_0,0,1,0,0,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,4,1,1,1,0.01831951222,0.0283734733,0,-4,<= -4 dB,-4,<= -4 dB,0,false
elevation_difference,elB_0,0,1,0,0,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,8,1,1,1,0.01504560649,0.02523880423,0,-4,<= -4 dB,-4,<= -4 dB,0,false
elevation_difference,elB_0p5,0.5,1,0,0.5,0,0,1,center_real,28,38,10,0.2637754449,-4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
elevation_difference,elB_0p5,0.5,1,0,0.5,0,0,1,center_real,28,38,10,0.2637754449,0,0.01,0,0,1.251378706,1.641224555,0.9447455507,NaN,NaN,NaN,NaN,1,true
elevation_difference,elB_0p5,0.5,1,0,0.5,0,0,1,center_real,28,38,10,0.2637754449,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
elevation_difference,elB_0p5,0.5,1,0,0.5,0,0,1,center_real,28,38,10,0.2637754449,8,0.05,0.03,0.01,0.1369030724,0.120755089,0.0896526696,NaN,NaN,NaN,NaN,0.97,true
elevation_difference,elB_0p5,0.5,1,0,0.5,0,0,1,min_den_fb,28,38,10,0.2637754449,-4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
elevation_difference,elB_0p5,0.5,1,0,0.5,0,0,1,min_den_fb,28,38,10,0.2637754449,0,0.01,0,0,1.251378706,1.641224555,0.9447455507,NaN,NaN,NaN,NaN,1,true
elevation_difference,elB_0p5,0.5,1,0,0.5,0,0,1,min_den_fb,28,38,10,0.2637754449,4,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,true
elevation_difference,elB_0p5,0.5,1,0,0.5,0,0,1,min_den_fb,28,38,10,0.2637754449,8,0.05,0.03,0.01,0.1369030724,0.120755089,0.0896526696,NaN,NaN,NaN,NaN,0.97,true
elevation_difference,elB_0p5,0.5,1,0,0.5,0,0,1,covfit_rank1_equal_phase,28,38,10,0.2637754449,-4,1,0.98,0.9,0.03849254075,0.06089694661,0.002125,-4,<= -4 dB,-4,<= -4 dB,0.02,true
