object_name,bits,scale,clip_rate,overflow_rate,relative_error,max_abs
W,NaN,NaN,0,0,0,NaN
G_cache,24,4.81111649577584e-06,0,0,1.20552980091729e-07,40.3585655142807
Z,16,0.00147530833323951,0,0,2.73281442461702e-05,48.3414281552592
Rz,24,0.0135614837825933,0,0,2.43097945321093e-07,113761.957789049
score,24,0.0256127626615612,0,0,6.28108608957402e-08,214855.400152111
