candidate_index,az1,az2,el1,el2,el_center,el_sep,orientation,iAz1,iAz2,iEl1,iEl2,candidate_id
4717,14.46,15.58,9.88,10.6,10.24,0.72,1,7,14,18,30,p_+14.460000_+9.880000__+15.580000_+10.600000__sep_+0.720000
5560,14.3,15.58,10.12,10.84,10.48,0.72,1,6,14,22,34,p_+14.300000_+10.120000__+15.580000_+10.840000__sep_+0.720000
4705,14.3,15.58,9.88,10.6,10.24,0.72,1,6,14,18,30,p_+14.300000_+9.880000__+15.580000_+10.600000__sep_+0.720000
4718,14.46,15.74,9.88,10.6,10.24,0.72,1,7,15,18,30,p_+14.460000_+9.880000__+15.740000_+10.600000__sep_+0.720000
4363,14.3,15.58,10.06,10.42,10.24,0.36,1,6,14,21,27,p_+14.300000_+10.060000__+15.580000_+10.420000__sep_+0.360000
4706,14.3,15.74,9.88,10.6,10.24,0.72,1,6,15,18,30,p_+14.300000_+9.880000__+15.740000_+10.600000__sep_+0.720000
5561,14.3,15.74,10.12,10.84,10.48,0.72,1,6,15,22,34,p_+14.300000_+10.120000__+15.740000_+10.840000__sep_+0.720000
4364,14.3,15.74,10.06,10.42,10.24,0.36,1,6,15,21,27,p_+14.300000_+10.060000__+15.740000_+10.420000__sep_+0.360000
5572,14.46,15.58,10.12,10.84,10.48,0.72,1,7,14,22,34,p_+14.460000_+10.120000__+15.580000_+10.840000__sep_+0.720000
4375,14.46,15.58,10.06,10.42,10.24,0.36,1,7,14,21,27,p_+14.460000_+10.060000__+15.580000_+10.420000__sep_+0.360000
5218,14.3,15.58,10.3,10.66,10.48,0.36,1,6,14,25,31,p_+14.300000_+10.300000__+15.580000_+10.660000__sep_+0.360000
4376,14.46,15.74,10.06,10.42,10.24,0.36,1,7,15,21,27,p_+14.460000_+10.060000__+15.740000_+10.420000__sep_+0.360000
5573,14.46,15.74,10.12,10.84,10.48,0.72,1,7,15,22,34,p_+14.460000_+10.120000__+15.740000_+10.840000__sep_+0.720000
