object,row,col,real_value,imag_value
Rz,1,1,87218.4414002285,0
Rz,2,1,-12353.7294922149,1.97647022466001
Rz,3,1,9454.05684103079,29448.0296336914
Rz,4,1,-1240.35092802181,1172.96010877547
Rz,5,1,-269.69958527671,83.1207960688051
Rz,6,1,5461.06901571042,-7285.32377141334
Rz,7,1,1803.50863375856,-3449.2404202727
Rz,1,2,-12353.7294922149,-1.97647022466001
Rz,2,2,114343.668702583,0
Rz,3,2,1393.82043325937,-15445.5014184069
Rz,4,2,4374.69193360419,-1825.65873110388
Rz,5,2,299.537470254508,-2862.67858091015
Rz,6,2,-9618.66273367213,6237.71276736872
Rz,7,2,2550.00099136894,-2036.47313451486
Rz,1,3,9454.05684103079,-29448.0296336914
Rz,2,3,1393.82043325937,15445.5014184069
Rz,3,3,12162.8160993419,0
Rz,4,3,529.653127721476,926.105793130002
Rz,5,3,290.650169658106,57.0586507615641
Rz,6,3,-2603.73371982142,-3392.89057262619
Rz,7,3,-648.173187055398,-763.162861643204
Rz,1,4,-1240.35092802181,-1172.96010877547
Rz,2,4,4374.69193360419,1825.65873110388
Rz,3,4,529.653127721476,-926.105793130002
Rz,4,4,214.590143081535,0
Rz,5,4,56.7178800331745,-100.036655026068
Rz,6,4,-582.213604868296,93.930043573325
Rz,7,4,69.8307376616085,-27.9977230444942
Rz,1,5,-269.69958527671,-83.1207960688051
Rz,2,5,299.537470254508,2862.67858091015
Rz,3,5,290.650169658106,-57.0586507615641
Rz,4,5,56.7178800331745,100.036655026068
Rz,5,5,73.8382014274708,0
Rz,6,5,-176.192097406588,-194.566455081358
Rz,7,5,61.5568243763076,74.1108180101826
Rz,1,6,5461.06901571042,7285.32377141334
Rz,2,6,-9618.66273367213,-6237.71276736872
Rz,3,6,-2603.73371982142,3392.89057262619
Rz,4,6,-582.213604868296,-93.930043573325
Rz,5,6,-176.192097406588,194.566455081358
Rz,6,6,1886.13871997848,0
Rz,7,6,63.8740653293573,3.31229147994746
Rz,1,7,1803.50863375856,3449.2404202727
Rz,2,7,2550.00099136894,2036.47313451486
Rz,3,7,-648.173187055398,763.162861643204
Rz,4,7,69.8307376616085,27.9977230444942
Rz,5,7,61.5568243763076,-74.1108180101826
Rz,6,7,63.8740653293573,-3.31229147994746
Rz,7,7,300.368950831779,0
