rank,candidate_index,candidate_id,score,score_source
1,4717,p_+14.460000_+9.880000__+15.580000_+10.600000__sep_+0.720000,214855.400152111,fixed
2,5560,p_+14.300000_+10.120000__+15.580000_+10.840000__sep_+0.720000,214416.627914956,fixed
3,4705,p_+14.300000_+9.880000__+15.580000_+10.600000__sep_+0.720000,214236.518967919,fixed
4,4718,p_+14.460000_+9.880000__+15.740000_+10.600000__sep_+0.720000,213760.095969652,fixed
5,4363,p_+14.300000_+10.060000__+15.580000_+10.420000__sep_+0.360000,213686.536115288,fixed
6,4706,p_+14.300000_+9.880000__+15.740000_+10.600000__sep_+0.720000,213298.605212016,fixed
7,5561,p_+14.300000_+10.120000__+15.740000_+10.840000__sep_+0.720000,213142.623487407,fixed
8,4364,p_+14.300000_+10.060000__+15.740000_+10.420000__sep_+0.360000,212948.043329467,fixed
9,5572,p_+14.460000_+10.120000__+15.580000_+10.840000__sep_+0.720000,212905.602981737,fixed
10,4375,p_+14.460000_+10.060000__+15.580000_+10.420000__sep_+0.360000,212893.693047099,fixed
