snrOutDb,snrInEqDb,azRmseDeg,elRmseDeg
12,-48.9758147148577,0.264306274908188,0.24586325643617
15,-45.9758147148577,0.266817925677545,0.227278734378293
20,-40.9758147148577,0.2432827540353,0.197286874453811
25,-35.9758147148577,0.16204442157546,0.167160063245316
30,-30.9758147148577,0.0677994441005741,0.0386490971791827
35,-25.9758147148577,0.0298326842489668,0.0203208937469479
40,-20.9758147148577,0.01956762791266,0.0109836590093918
