metric,value
case_a_normal_frame_pass,true
case_a_input_gap_pass,true
case_a_output_backpressure_pass,true
case_a_backpressure_stability_pass,true
case_a_two_frame_pass,true
case_a_beam_order_pass,true
case_a_status_pass,true
case_a_expected_rows,14
case_a_actual_rows,14
case_b_four_frame_pass,true
case_b_input_backpressure_propagation_seen,true
case_b_fifo_stress_pass,true
case_b_beam_order_pass,true
case_b_expected_rows,28
case_b_actual_rows,28
tdata_mismatch_count,0
tkeep_mismatch_count,0
tlast_mismatch_count,0
duplicate_count,0
missing_count,0
timeout_flag,false
reference_bd_tb_pass_flag,true
formal_result_claimed,false
dma_validation_flag,false
ps_validation_flag,false
board_validation_flag,false
