metric,value
step14_2b_hardening_pass_flag,true
proceed_to_reference_bd_design_flag_from_step14_2b,true
custom_ip_vlnv,user.org:radar:dbf_axis:1.0
fpga_part,xc7z020clg400-1
fpga_part_source,reference_default
reference_device_only,true
clock_MHz,200
clock_period_ns,5.000
bd_name,dbf_reference_bd
wrapper_top,dbf_reference_bd_wrapper
reference_bd_created_flag,true
reference_bd_structure_pass_flag,true
bd_validate_pass_flag,true
bd_wrapper_generated_flag,true
input_fifo_depth,64
input_fifo_tdata_bits,32
output_fifo_depth,16
output_fifo_tdata_bits,64
common_clock_flag,true
reset_active_low_flag,true
reference_bd_xsim_pass_flag,true
case_a_pass_flag,true
case_b_pass_flag,true
reference_bd_compare_pass_flag,true
case_b_input_backpressure_propagation_seen,true
reference_bd_output_match_flag,true
synthesis_status,pass
implementation_status,pass
route_completed_flag,true
post_route_timing_200MHz_met_flag,false
unexpected_drc_error_count,0
reference_expected_drc_only_flag,true
post_route_LUT,2097
post_route_FF,5112
post_route_DSP,42
post_route_BRAM18,1
post_route_BRAM36,16
post_route_URAM,0
post_route_WNS_ns,-0.076
post_route_TNS_ns,-0.079
post_route_failing_endpoints,2
post_route_WHS_ns,0.096
post_route_hold_failing_endpoints,0
step14_3a_reference_bd_pass_flag,false
proceed_to_platform_freeze_flag,false
proceed_to_target_board_dma_flag,false
proceed_to_board_validation_flag,false
proceed_to_full_fpga_backend_flag,false
ps_cell_count,0
dma_cell_count,0
block_design_created_flag,true
formal_result_claimed,false
bitstream_generated_flag,false
xsa_generated_flag,false
hwh_generated_flag,false
blocker_if_any,post_route_timing_200MHz_not_met
