K_phi,P_phi,sep_factor,snr_db,metkl_num,subarray_index,subarray_center_phi_deg,num_peaks,peak1_deg,peak2_deg,target1_deg,target2_deg,peak_error_max_deg,peak_separation_deg,peak_to_valley_ratio,is_two_peak_valid
24,42,7,24,1,1,-38.437500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,2,-36.562500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,3,-34.687500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,4,-32.812500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,5,-30.937500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,6,-29.062500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,7,-27.187500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,8,-25.312500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,9,-23.437500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,10,-21.562500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,11,-19.687500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,12,-17.812500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,13,-15.937500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,14,-14.062500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,15,-12.187500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,16,-10.312500000,2,-0.077754449,0.082245551,-0.188411032,0.188411032,0.110656583,0.160000000,1.032565219,0
24,42,7,24,1,17,-8.437500000,2,-0.097754449,0.097245551,-0.188411032,0.188411032,0.091165481,0.195000000,1.101975372,1
24,42,7,24,1,18,-6.562500000,2,-0.107754449,0.107245551,-0.188411032,0.188411032,0.081165481,0.215000000,1.189917132,1
24,42,7,24,1,19,-4.687500000,2,-0.112754449,0.112245551,-0.188411032,0.188411032,0.076165481,0.225000000,1.280232931,1
24,42,7,24,1,20,-2.812500000,2,-0.117754449,0.117245551,-0.188411032,0.188411032,0.071165481,0.235000000,1.356756492,1
24,42,7,24,1,21,-0.937500000,2,-0.122754449,0.117245551,-0.188411032,0.188411032,0.071165481,0.240000000,1.400836067,1
24,42,7,24,1,22,0.937500000,2,-0.122754449,0.117245551,-0.188411032,0.188411032,0.071165481,0.240000000,1.399271803,1
24,42,7,24,1,23,2.812500000,2,-0.117754449,0.117245551,-0.188411032,0.188411032,0.071165481,0.235000000,1.352866281,1
24,42,7,24,1,24,4.687500000,2,-0.112754449,0.112245551,-0.188411032,0.188411032,0.076165481,0.225000000,1.275163298,1
24,42,7,24,1,25,6.562500000,2,-0.107754449,0.107245551,-0.188411032,0.188411032,0.081165481,0.215000000,1.184570596,1
24,42,7,24,1,26,8.437500000,2,-0.092754449,0.097245551,-0.188411032,0.188411032,0.095656583,0.190000000,1.097818099,1
24,42,7,24,1,27,10.312500000,2,-0.077754449,0.082245551,-0.188411032,0.188411032,0.110656583,0.160000000,1.030179469,0
24,42,7,24,1,28,12.187500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,29,14.062500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,30,15.937500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,31,17.812500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,32,19.687500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,33,21.562500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,34,23.437500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,35,25.312500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,36,27.187500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,37,29.062500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,38,30.937500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,39,32.812500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,40,34.687500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
24,42,7,24,1,41,36.562500000,1,NaN,NaN,-0.188411032,0.188411032,NaN,NaN,NaN,0
