quant_mode,trial_count,route_agreement_vs_double,confidence_agreement_vs_double,output_equivalent_rate,output_equivalent_strict_rate,output_equivalent_relaxed_rate,max_az_diff,mean_abs_az_diff,max_el_diff,success_gap_vs_double,false_high_rate,boundary_missed_rate,mean_ywork_snr_quant_db,max_ywork_clip_rate,mean_steering_rel_err_aligned,max_steering_rel_err_aligned,route_changed_count,output_not_equiv_count,dominant_failure_hypothesis
float32_all,1320,0.990909090909091,0.990909090909091,0.986363636363636,0.984848484848485,0.990151515151515,0.12,0.000504587155963302,0.00610523976968321,0,0,0,151.970167851214,0,2.74648417956102e-08,2.74648417956103e-08,12,18,rank1_objective_flat
coeff_int16_only,1320,0.88030303030303,0.887121212121212,0.834090909090909,0.768939393939394,0.885606060606061,0.94,0.0162457912457912,0.00727158340652086,-0.00530303030303031,0,0,Inf,0,0.000157891847008353,0.000157891847008353,158,219,rank1_objective_flat
ywork_int16_only,1320,0.953030303030303,0.953030303030303,0.933333333333333,0.909848484848485,0.951515151515152,0.78,0.00682464454976303,0.00610523976968321,-0.00227272727272726,0,0,93.1843860780768,0,0,0,62,88,rank1_objective_flat
combined_int16,1320,0.871969696969697,0.878787878787879,0.83030303030303,0.762878787878788,0.877272727272727,0.94,0.0160950764006791,0.00727158340652086,0.00227272727272732,0,0,93.1843860780768,0,0.000157891847008353,0.000157891847008353,169,224,rank1_objective_flat
combined_int18,1320,0.912878787878788,0.912878787878788,0.874242424242424,0.817424242424242,0.912121212121212,0.82,0.0152163265306122,0.00727158340652086,-0.000757575757575735,0,0,105.225845758602,0,3.93139320165932e-05,3.93139320165931e-05,115,166,rank1_objective_flat
combined_int24,1320,0.959090909090909,0.959090909090909,0.941666666666667,0.925757575757576,0.957575757575758,0.76,0.00648394675019577,0.00541423682785909,0.00151515151515152,0,0,141.349104402326,0,6.16011433816922e-07,6.16011433816925e-07,54,77,rank1_objective_flat
