scenario_name,quant_mode,trial_count,in_scope_trial_count,eval_count,route_agreement_vs_double,confidence_agreement_vs_double,output_equivalent_rate,output_equivalent_strict_rate,output_equivalent_relaxed_rate,success_gap_vs_double,false_high_rate,boundary_missed_rate,max_az_diff,mean_abs_az_diff,max_el_diff,mean_abs_el_diff,changed_route_count,changed_confidence_count,dominant_changed_from_route,dominant_changed_to_route,dominant_failure_hypothesis,mean_ywork_snr_quant_db,mean_steering_rel_err_aligned
single_target_sanity,double_baseline,60,60,60,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,0
single_target_sanity,float32_all,60,60,60,1,1,0.95,0.933333333333333,1,0,0,0,0.0599999999999998,0.00366666666666665,0,0,0,0,,,rank1_objective_flat,151.896582498011,2.74648417956103e-08
single_target_sanity,coeff_int16_only,60,60,60,0.7,0.7,0.5,0.366666666666667,0.7,0,0,0,0.0999999999999999,0.0314285714285713,0.00182278287299348,0.00025585816532557,18,18,low_confidence,level2_rank1_fallback,rank1_objective_flat,Inf,0.000157891847008353
single_target_sanity,ywork_int16_only,60,60,60,0.833333333333333,0.833333333333333,0.75,0.666666666666667,0.833333333333333,0,0,0,0.0799999999999998,0.0128,0.00416513269816835,0.000216889162069449,10,10,low_confidence,level2_rank1_fallback,rank1_objective_flat,93.5564887851696,0
single_target_sanity,combined_int16,60,60,60,0.716666666666667,0.716666666666667,0.616666666666667,0.466666666666667,0.716666666666667,0,0,0,0.0999999999999999,0.0255813953488372,0.00305150217447793,0.000261775676941197,17,17,low_confidence,level2_rank1_fallback,rank1_objective_flat,93.5564887851696,0.000157891847008353
single_target_sanity,combined_int18,60,60,60,0.65,0.65,0.566666666666667,0.4,0.65,0,0,0,0.0799999999999998,0.0261538461538461,0.00365531105818912,0.00036541597206126,21,21,low_confidence,level2_rank1_fallback,rank1_objective_flat,105.600223263862,3.93139320165931e-05
single_target_sanity,combined_int24,60,60,60,0.9,0.9,0.816666666666667,0.8,0.9,0,0,0,0.0799999999999998,0.0085185185185185,0.00453570090144688,0.00023902460561205,6,6,level2_rank1_fallback,low_confidence,rank1_objective_flat,141.723009452963,6.16011433816925e-07
close_coherent_pair,double_baseline,540,540,540,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,0
close_coherent_pair,float32_all,540,540,540,0.988888888888889,0.988888888888889,0.987037037037037,0.985185185185185,0.988888888888889,0.00740740740740742,0,0,0.0600000000000001,0.000299625468164794,0.00610523976968321,3.21099686503144e-05,6,6,low_confidence,level2_rank1_fallback,boundary_case,151.981225455168,2.74648417956103e-08
close_coherent_pair,coeff_int16_only,540,540,540,0.831481481481481,0.844444444444444,0.809259259259259,0.75,0.842592592592593,-0.0111111111111111,0,0,0.94,0.0202159827213823,0.00727158340652086,0.000250670788455704,91,84,low_confidence,level2_rank1_fallback,rank1_objective_flat,Inf,0.000157891847008353
close_coherent_pair,ywork_int16_only,540,540,540,0.927777777777778,0.927777777777778,0.914814814814815,0.883333333333333,0.925925925925926,0.0092592592592593,0,0,0.78,0.00924901185770751,0.00610523976968321,0.000139022430016472,39,39,low_confidence,level2_rank1_fallback,rank1_objective_flat,93.5676807598868,0
close_coherent_pair,combined_int16,540,540,540,0.809259259259259,0.822222222222222,0.777777777777778,0.712962962962963,0.822222222222222,0.00185185185185188,0,0,0.94,0.0226872246696035,0.00727158340652086,0.000310381657010936,103,96,low_confidence,level2_rank1_fallback,rank1_objective_flat,93.5676807598868,0.000157891847008353
close_coherent_pair,combined_int18,540,540,540,0.87962962962963,0.87962962962963,0.846296296296296,0.794444444444444,0.87962962962963,-0.012962962962963,0,0,0.82,0.0224640657084189,0.00727158340652086,0.000202593433932267,65,65,level2_rank1_fallback,low_confidence,rank1_objective_flat,105.608716024013,3.93139320165932e-05
close_coherent_pair,combined_int24,540,540,540,0.935185185185185,0.935185185185185,0.92037037037037,0.905555555555556,0.931481481481481,0.0166666666666667,0,0,0.76,0.0098238747553816,0.00541423682785909,9.17861687668021e-05,35,35,low_confidence,level2_rank1_fallback,rank1_objective_flat,141.732657583534,6.16011433816925e-07
medium_beta_pair,double_baseline,360,360,360,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,0
medium_beta_pair,float32_all,360,360,360,0.983333333333333,0.983333333333333,0.977777777777778,0.977777777777778,0.980555555555556,-0.0111111111111111,0,0,0.12,0.000677966101694916,0.00296036742915074,2.91962636119943e-05,6,6,level2_rank1_fallback,low_confidence,rank1_objective_flat,152.028204883385,2.74648417956103e-08
medium_beta_pair,coeff_int16_only,360,360,360,0.883333333333333,0.888888888888889,0.816666666666667,0.719444444444444,0.888888888888889,-0.00277777777777777,0,0,0.4,0.0189665653495441,0.00649704651220959,0.000178654169347714,42,40,low_confidence,level2_rank1_fallback,rank1_objective_flat,Inf,0.000157891847008353
medium_beta_pair,ywork_int16_only,360,360,360,0.966666666666667,0.966666666666667,0.938888888888889,0.925,0.963888888888889,-0.0222222222222222,0,0,0.72,0.00774928774928775,0.00424658946716281,4.60626526176639e-05,12,12,low_confidence,level2_rank1_fallback,rank1_objective_flat,93.5786990301369,0
medium_beta_pair,combined_int16,360,360,360,0.883333333333333,0.888888888888889,0.825,0.733333333333333,0.886111111111111,0.00555555555555556,0,0,0.4,0.0180487804878049,0.00649704651220959,0.000172327506271041,42,40,low_confidence,level2_rank1_fallback,rank1_objective_flat,93.5786990301369,0.000157891847008353
medium_beta_pair,combined_int18,360,360,360,0.930555555555556,0.930555555555556,0.877777777777778,0.808333333333333,0.927777777777778,0.0166666666666667,0,0,0.22,0.0136842105263158,0.00460074218815866,0.000101667854144218,25,25,low_confidence,level2_rank1_fallback,rank1_objective_flat,105.620447941275,3.93139320165932e-05
medium_beta_pair,combined_int24,360,360,360,0.963888888888889,0.963888888888889,0.944444444444444,0.925,0.963888888888889,-0.0194444444444444,0,0,0.22,0.00613636363636364,0.00387210626137816,3.29940117677968e-05,13,13,low_confidence,level2_rank1_fallback,rank1_objective_flat,141.743040037288,6.16011433816924e-07
weak_target_boundary,double_baseline,120,120,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,0
weak_target_boundary,float32_all,120,120,120,1,1,1,1,1,0,0,0,0.02,0.000333333333333333,0,0,0,0,,,,151.735561156096,2.74648417956103e-08
weak_target_boundary,coeff_int16_only,120,120,120,0.941666666666667,0.941666666666667,0.833333333333333,0.741666666666667,0.933333333333333,0,0,0,0.56,0.0208771929824561,0.00468916059103029,0.000135936529203396,7,7,level2_rank1_fallback,low_confidence,weak_target_case,Inf,0.000157891847008353
weak_target_boundary,ywork_int16_only,120,120,120,0.991666666666667,0.991666666666667,0.958333333333333,0.925,0.991666666666667,0,0,0,0.0799999999999998,0.00504201680672268,0.00144704845395298,1.20587371162748e-05,1,1,level2_rank1_fallback,low_confidence,weak_target_case,93.5728932592468,0
weak_target_boundary,combined_int16,120,120,120,0.941666666666667,0.941666666666667,0.85,0.75,0.933333333333333,0,0,0,0.12,0.0145132743362832,0.00523199515625365,0.000168189529158073,7,7,level2_rank1_fallback,low_confidence,weak_target_case,93.5728932592468,0.000157891847008353
weak_target_boundary,combined_int18,120,120,120,0.966666666666667,0.966666666666667,0.891666666666667,0.791666666666667,0.966666666666667,0,0,0,0.56,0.0170940170940171,0.00453892382780041,7.19523119113504e-05,4,4,level2_rank1_fallback,low_confidence,weak_target_case,105.614043356407,3.93139320165931e-05
weak_target_boundary,combined_int24,120,120,120,1,1,0.975,0.933333333333333,1,0,0,0,0.0799999999999998,0.00533333333333333,0,0,0,0,,,weak_target_case,141.73810086746,6.16011433816925e-07
near_antiphase_boundary,double_baseline,240,120,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,0
near_antiphase_boundary,float32_all,240,120,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,151.871379424929,2.74648417956103e-08
near_antiphase_boundary,coeff_int16_only,240,120,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,0.000157891847008353
near_antiphase_boundary,ywork_int16_only,240,120,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,90.7222422092099,0
near_antiphase_boundary,combined_int16,240,120,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,90.7222422092099,0.000157891847008353
near_antiphase_boundary,combined_int18,240,120,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,102.76399140188,3.93139320165931e-05
near_antiphase_boundary,combined_int24,240,120,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,138.887144142759,6.16011433816925e-07
large_el_pair,double_baseline,120,120,120,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,,,Inf,0
