trial_id,scenario_name,SNR,mc,quant_mode,double_route,quant_route,route_agreement,double_confidence,quant_confidence,double_confidence_group,quant_confidence_group,confidence_agreement,dangerous_confidence_upgrade,medium_to_high_upgrade,output_equivalent,output_equivalent_strict,output_equivalent_relaxed,double_success,quant_success,success_changed,false_high,boundary_missed,double_az_est,quant_az_est,az_diff,az_diff_for_equivalence,double_el_est,quant_el_est,el_diff,el_diff_for_equivalence,output_count_diff,ywork_snr_quant_db,ywork_rel_err,steering_rel_err_aligned,steering_mean_rel_err_aligned,ywork_clip_rate,frontend_state,coarse_peak_count,in_scope_shared_center_flag,low_confidence_double,boundary_double,low_confidence_quant,boundary_quant,true_az1,true_az2,true_el1,true_el2,weak_target_truth_flag,anti_phase_truth_flag,large_el_truth_flag,score_margin_if_available,peak_margin_if_available,failure_hypothesis
4,single_target_sanity,8,4,float32_all,level2_rank1_fallback,level2_rank1_fallback,1,medium,medium,medium,medium,1,0,0,1,1,1,1,1,0,0,0,-0.04;0.04,-0.04;0.04,0,0,0;0,0;0,0,0,0,151.782803171467,2.57548984264829e-08,2.74648417956103e-08,2.18737293587305e-08,0,single_peak_in_scope,1,1,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,rank1_objective_flat
4,single_target_sanity,8,4,coeff_int16_only,level2_rank1_fallback,level2_rank1_fallback,1,medium,medium,medium,medium,1,0,0,1,0,1,1,1,0,0,0,-0.04;0.04,-0.08;0.08,0.04,0.04,0;0,0;0,0,0,0,Inf,0,0.000157891847008353,6.10295731929271e-05,0,single_peak_in_scope,1,1,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,rank1_objective_flat
4,single_target_sanity,8,4,ywork_int16_only,level2_rank1_fallback,level2_rank1_fallback,1,medium,medium,medium,medium,1,0,0,1,1,1,1,1,0,0,0,-0.04;0.04,-0.04;0.04,0,0,0;0,0;0,0,0,0,92.5807701412332,2.34942449804277e-05,0,0,0,single_peak_in_scope,1,1,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,rank1_objective_flat
4,single_target_sanity,8,4,combined_int16,level2_rank1_fallback,level2_rank1_fallback,1,medium,medium,medium,medium,1,0,0,1,0,1,1,1,0,0,0,-0.04;0.04,-0.08;0.08,0.04,0.04,0;0,0;0,0,0,0,92.5807701412332,2.34942449804277e-05,0.000157891847008353,6.10295731929271e-05,0,single_peak_in_scope,1,1,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,rank1_objective_flat
4,single_target_sanity,8,4,combined_int18,level2_rank1_fallback,level2_rank1_fallback,1,medium,medium,medium,medium,1,0,0,1,1,1,1,1,0,0,0,-0.04;0.04,-0.04;0.04,0,0,0;0,0;0,0,0,0,104.630096330412,5.86806861631376e-06,3.93139320165931e-05,1.52594544194144e-05,0,single_peak_in_scope,1,1,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,rank1_objective_flat
4,single_target_sanity,8,4,combined_int24,level2_rank1_fallback,level2_rank1_fallback,1,medium,medium,medium,medium,1,0,0,1,1,1,1,1,0,0,0,-0.04;0.04,-0.04;0.04,0,0,0;0,0;0,0,0,0,140.744610818728,9.1784523806077e-08,6.16011433816925e-07,2.38190997359839e-07,0,single_peak_in_scope,1,1,0,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,rank1_objective_flat
5,single_target_sanity,8,5,double_baseline,low_confidence,low_confidence,1,low,low,low,low,1,0,0,1,1,1,1,1,0,0,0,NaN;NaN,NaN;NaN,0,0,0.000850906025;0.000850906025,0.000850906025;0.000850906025,0,0,0,Inf,0,0,0,0,single_peak_in_scope,1,1,1,0,1,0,0,NaN,0,NaN,0,0,0,NaN,NaN,boundary_case
5,single_target_sanity,8,5,float32_all,low_confidence,low_confidence,1,low,low,low,low,1,0,0,1,1,1,1,1,0,0,0,NaN;NaN,NaN;NaN,0,0,0.000850906025;0.000850906025,0.000850906025;0.000850906025,0,0,0,151.79038758433,2.57324193790336e-08,2.74648417956103e-08,2.18737293587305e-08,0,single_peak_in_scope,1,1,1,0,1,0,0,NaN,0,NaN,0,0,0,NaN,NaN,boundary_case
5,single_target_sanity,8,5,coeff_int16_only,low_confidence,low_confidence,1,low,low,low,low,1,0,0,1,1,1,1,1,0,0,0,NaN;NaN,NaN;NaN,0,0,0.000850906025;0.000850906025,0.000850906025;0.000850906025,0,0,0,Inf,0,0.000157891847008353,6.10295731929271e-05,0,single_peak_in_scope,1,1,1,0,1,0,0,NaN,0,NaN,0,0,0,NaN,NaN,boundary_case
5,single_target_sanity,8,5,ywork_int16_only,low_confidence,level2_rank1_fallback,0,low,medium,low,medium,0,0,0,0,0,0,1,1,0,0,0,NaN;NaN,-0.06;0.06,NaN,Inf,0.000850906025;0.000850906025,0;0,0.000850906025427338,0.000850906025427338,2,92.0776469691637,2.48953164775058e-05,0,0,0,single_peak_in_scope,1,1,1,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,boundary_case
5,single_target_sanity,8,5,combined_int16,low_confidence,low_confidence,1,low,low,low,low,1,0,0,1,1,1,1,1,0,0,0,NaN;NaN,NaN;NaN,0,0,0.000850906025;0.000850906025,0.000850906025;0.000850906025,0,0,0,92.0776469691637,2.48953164775058e-05,0.000157891847008353,6.10295731929271e-05,0,single_peak_in_scope,1,1,1,0,1,0,0,NaN,0,NaN,0,0,0,NaN,NaN,boundary_case
5,single_target_sanity,8,5,combined_int18,low_confidence,level2_rank1_fallback,0,low,medium,low,medium,0,0,0,0,0,0,1,1,0,0,0,NaN;NaN,-0.06;0.06,NaN,Inf,0.000850906025;0.000850906025,0;0,0.000850906025427338,0.000850906025427338,2,104.123347128436,6.22060526458227e-06,3.93139320165931e-05,1.52594544194144e-05,0,single_peak_in_scope,1,1,1,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,boundary_case
5,single_target_sanity,8,5,combined_int24,low_confidence,level2_rank1_fallback,0,low,medium,low,medium,0,0,0,0,0,0,1,1,0,0,0,NaN;NaN,-0.06;0.06,NaN,Inf,0.000850906025;0.000850906025,0;0,0.000850906025427338,0.000850906025427338,2,140.251063038032,9.71509044440864e-08,6.16011433816925e-07,2.38190997359839e-07,0,single_peak_in_scope,1,1,1,0,0,0,0,NaN,0,NaN,0,0,0,NaN,NaN,boundary_case
