metric,value
step14_1_axis_system_pass_flag,true
ip_vlnv,user.org:radar:dbf_axis:1.0
component_xml_created,true
ip_package_integrity_pass_flag,true
s_axis_y_recognized_flag,true
m_axis_z_recognized_flag,true
axis_clock_association_pass_flag,true
reset_polarity_pass_flag,true
packaged_w_mem_file_count,14
absolute_path_scan_pass_flag,true
ip_catalog_registration_pass_flag,true
create_ip_pass_flag,true
generate_target_pass_flag,true
packaged_ip_xsim_pass_flag,true
packaged_ip_output_match_flag,true
packaged_ip_ooc_synthesis_status,pass
w_memory_inferred_flag,true
packaged_ip_LUT,3594
packaged_ip_FF,1810
packaged_ip_DSP,28
packaged_ip_BRAM18,0
packaged_ip_BRAM36,28
packaged_ip_URAM,0
packaged_ip_distributed_RAM,0
packaged_ip_WNS_ns,-8.586
timing_200MHz_met_flag,false
step14_2_custom_ip_pass_flag,true
proceed_to_reference_bd_design_flag,false
proceed_to_target_board_dma_flag,false
proceed_to_board_validation_flag,false
proceed_to_full_fpga_backend_flag,false
custom_ip_packaged_flag,true
formal_result_claimed,false
block_design_created_flag,false
bitstream_generated_flag,false
blocker_if_any,
