center_az,scenario_name,trial_id,seed,N_input_channels,B_output_beams,L_snapshots,W_method,quant_mode,shift_bits,scale_w,scale_y,max_abs_acc,max_abs_z_integer,headroom_bits_observed,clip_count,overflow_count,clip_rate,overflow_rate,Z_rel_l2_error,Z_max_abs_error,beam_power_rel_error,top_beam_same_rate,topK_beam_set_preservation,beam_power_rank_preservation,Z_cov_Rz_rel_error,same_backend_input_shape,Rz_shape_same,cpu_soc_ml_ready_flag,observation_id,W_clip_rate,Y_clip_rate
0,easy_noncoherent,3,20261622,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,20,3909131.27508984,32778.0355894595,2719773279416,2593778,1,0,0,0,0,1.19403165770318e-06,3.01794529386526e-05,2.28400423888818e-07,1,1,1,6.49164222440005e-07,1,1,1,3,0,0
0,near_tie_close_sep,3,20266622,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,20,3909131.27508984,33076.6280346266,2615726131008,2494551,1,0,0,0,0,1.55987211076919e-06,3.52878501646602e-05,2.65964186733173e-07,1,1,1,7.88178531387089e-07,1,1,1,18,0,0
0,large_el_pair,1,20267620,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,20,3909131.27508984,33282.482703256,2580953955419,2461389,1,0,0,0,0,1.354539290034e-06,2.91234147922995e-05,4.24241365716415e-07,1,1,1,6.92130458060929e-07,1,1,1,19,0,0
0,near_tie_close_sep,1,20266620,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,20,3909131.27508984,33030.4534713973,2578280895820,2458840,1,0,0,0,0,1.57068574835927e-06,3.34638251890266e-05,1.51254454781538e-07,1,1,1,7.58630280589567e-07,1,1,1,16,0,0
0,hard_phase,3,20263622,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,20,3909131.27508984,33171.2579252325,2463933573020,2349790,1,0,0,0,0,1.28605130392214e-06,2.35540330355589e-05,2.28440102773644e-07,1,1,1,4.34064375344661e-07,1,1,1,9,0,0
0,large_el_pair,2,20267621,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,20,3909131.27508984,33022.1554848918,2416346228499,2304407,1,0,0,0,0,1.54732637898712e-06,3.0670163938837e-05,2.01224181205083e-07,1,1,1,5.844508686534e-07,1,1,1,20,0,0
0,strong_coherent,3,20262622,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,20,3909131.27508984,33089.8648222611,2385611344079,2275096,1,0,0,0,0,1.40738969638461e-06,3.2994551685999e-05,1.87180115662524e-07,1,1,1,7.04328646834788e-07,1,1,1,6,0,0
0,strong_coherent,1,20262620,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,20,3909131.27508984,33203.1965820471,2372815329128,2262893,1,0,0,0,0,1.34334445581583e-06,3.00421795663224e-05,4.07656658137873e-07,1,1,1,5.88160807662349e-07,1,1,1,4,0,0
0,hard_phase,1,20263620,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,20,3909131.27508984,33915.8378779542,2356717233658,2247541,1,0,0,0,0,1.44099044729291e-06,3.15981618671006e-05,1.58350602325069e-07,1,1,1,4.62953811544166e-07,1,1,1,7,0,0
0,hard_phase,2,20263621,2080,7,16,greedy_combined_B7,mixed_W18_Y16_Z24,20,3909131.27508984,32904.7871078685,2241941623059,2138082,1,0,0,0,0,1.30239102134028e-06,2.89402435008219e-05,3.52574719834404e-07,1,1,1,5.45916422357572e-07,1,1,1,8,0,0
