metric,value
optimized_raw_normal_frame_pass,true
optimized_raw_input_gap_pass,true
optimized_raw_backpressure_pass,true
optimized_raw_two_frame_pass,true
optimized_raw_beam_order_pass,true
optimized_raw_status_pass,true
busy_low_after_reset,true
busy_high_from_first_y_accept,true
busy_high_during_drain,true
busy_high_during_output_backpressure,true
busy_low_after_final_z_accept,true
status_busy_semantics_pass,true
expected_output_rows,14
actual_output_rows,14
timeout_flag,false
optimized_raw_top_xsim_pass_flag,true
formal_result_claimed,false
