route_name,sep_factor,theta_sep_deg,theta_a_deg,theta_b_deg,snr_db,raw_success_count,tol_success_count,tol_success_count_rel,raw_success_rate,tol_success_rate,tol_success_rate_rel,rmse_deg,rmse_valid_count,mean_num_peaks,snr90_db,snr90_rel_db,mean_bias_deg,max_bias_deg,mean_az_a_est,mean_az_b_est,lambda2_over_noise,degraded_sample_count,measured_snr_gain_db
cylindrical_singlelayer_proto10_baseline,2,2.725000,-1.362500,1.362500,4,190,0,15,0.950000,0.000000,0.075000,17.130374,190,1.900000,18.000000,8.000000,0.089466,6.343764,-7.527333,7.706264,1.096564,155,0.000000
cylindrical_singlelayer_proto10_baseline,2,2.725000,-1.362500,1.362500,6,198,0,118,0.990000,0.000000,0.590000,5.201364,198,1.980000,18.000000,8.000000,0.061526,0.483943,-1.723390,1.846443,1.161334,41,0.000000
cylindrical_singlelayer_proto10_baseline,2,2.725000,-1.362500,1.362500,8,200,1,198,1.000000,0.005000,0.990000,0.284200,200,2.000000,18.000000,8.000000,-0.039927,0.182699,-1.259655,1.179801,1.305128,0,0.000000
cylindrical_singlelayer_proto10_baseline,2,2.725000,-1.362500,1.362500,10,200,13,200,1.000000,0.065000,1.000000,0.197579,200,2.000000,18.000000,8.000000,-0.044715,0.128159,-1.323770,1.234341,1.536369,0,0.000000
cylindrical_singlelayer_proto10_baseline,2,2.725000,-1.362500,1.362500,12,200,56,200,1.000000,0.280000,1.000000,0.122447,200,2.000000,18.000000,8.000000,-0.014100,0.073483,-1.317216,1.289017,1.904774,0,0.000000
cylindrical_singlelayer_proto10_baseline,2,2.725000,-1.362500,1.362500,14,200,117,200,1.000000,0.585000,1.000000,0.083454,200,2.000000,18.000000,8.000000,-0.010973,0.055657,-1.328788,1.306843,2.504435,0,0.000000
cylindrical_singlelayer_proto10_baseline,2,2.725000,-1.362500,1.362500,16,200,164,200,1.000000,0.820000,1.000000,0.062926,200,2.000000,18.000000,8.000000,-0.011501,0.050212,-1.335291,1.312288,3.449006,0,0.000000
cylindrical_singlelayer_proto10_baseline,2,2.725000,-1.362500,1.362500,18,200,182,200,1.000000,0.910000,1.000000,0.052141,200,2.000000,18.000000,8.000000,-0.010493,0.045288,-1.338198,1.317212,4.944575,0,0.000000
cylindrical_singlelayer_proto10_baseline,2,2.725000,-1.362500,1.362500,20,200,197,200,1.000000,0.985000,1.000000,0.042861,200,2.000000,18.000000,8.000000,-0.008477,0.041463,-1.337991,1.321037,7.329557,0,0.000000
cylindrical_singlelayer_proto10_baseline,2,2.725000,-1.362500,1.362500,22,200,200,200,1.000000,1.000000,1.000000,0.039041,200,2.000000,18.000000,8.000000,-0.011122,0.043440,-1.341305,1.319060,11.105262,0,0.000000
cylindrical_singlelayer_proto10_baseline,2,2.725000,-1.362500,1.362500,24,200,200,200,1.000000,1.000000,1.000000,0.036456,200,2.000000,18.000000,8.000000,-0.012176,0.043174,-1.343677,1.319326,17.071697,0,0.000000
cylindrical_singlelayer_proto10_baseline,2,2.725000,-1.362500,1.362500,26,200,200,200,1.000000,1.000000,1.000000,0.034457,200,2.000000,18.000000,8.000000,-0.010847,0.041504,-1.342691,1.320996,26.514626,0,0.000000
