route_name,sep_factor,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_num_peaks,mean_bias_deg,max_bias_deg,mean_az_a_est,mean_az_b_est,degraded_sample_count,measured_snr_gain_db
cylindrical_multilayer_el_mismatch_2deg_proto14b,3,-4,0.865000,0.000000,0.000000,28.314265,1.730000,2.348022,18.439635,-14.651924,19.347968,200,8.308688
cylindrical_singlelayer_proto10_baseline,3,10,0.925000,0.000000,0.000000,21.474999,1.850000,2.135785,12.471776,-9.108539,13.380109,182,0.000000
cylindrical_multilayer_coherent_proto14_main,3,10,1.000000,0.895000,1.000000,0.052939,2.000000,-0.014333,0.049083,-0.887916,0.859250,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,3,10,1.000000,0.045000,1.000000,0.173535,2.000000,-0.034735,0.132738,-0.845065,0.775595,0,8.308688
cylindrical_singlelayer_proto10_baseline,3,12,0.985000,0.000000,0.015000,15.610970,1.970000,-0.545943,6.400752,-7.309085,6.217198,117,0.000000
cylindrical_multilayer_coherent_proto14_main,3,12,1.000000,0.985000,1.000000,0.045148,2.000000,-0.016740,0.046217,-0.895597,0.862116,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,3,12,1.000000,0.190000,1.000000,0.121925,2.000000,-0.016958,0.080671,-0.861579,0.827663,0,8.308688
cylindrical_singlelayer_proto10_baseline,3,18,1.000000,0.040000,1.000000,0.191218,2.000000,-0.036964,0.143247,-0.839015,0.765087,0,0.000000
cylindrical_multilayer_coherent_proto14_main,3,18,1.000000,1.000000,1.000000,0.031617,2.000000,-0.014141,0.039306,-0.897310,0.869027,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,3,18,1.000000,0.935000,1.000000,0.049477,2.000000,-0.015262,0.046382,-0.892476,0.861951,0,8.308688
cylindrical_singlelayer_proto10_baseline,3,24,1.000000,0.800000,1.000000,0.062084,2.000000,-0.011438,0.049033,-0.882177,0.859300,0,0.000000
cylindrical_multilayer_coherent_proto14_main,3,24,1.000000,1.000000,1.000000,0.028337,2.000000,-0.013507,0.037615,-0.897734,0.870719,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,3,24,1.000000,1.000000,1.000000,0.033189,2.000000,-0.013688,0.039136,-0.896572,0.869197,0,8.308688
cylindrical_singlelayer_proto10_baseline,3,26,1.000000,0.940000,1.000000,0.048380,2.000000,-0.016863,0.048741,-0.893319,0.859593,0,0.000000
cylindrical_multilayer_coherent_proto14_main,3,26,1.000000,1.000000,1.000000,0.028171,2.000000,-0.014009,0.037914,-0.898437,0.870419,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,3,26,1.000000,1.000000,1.000000,0.030305,2.000000,-0.014093,0.038744,-0.897776,0.869589,0,8.308688
cylindrical_singlelayer_proto10_baseline,3,30,1.000000,1.000000,1.000000,0.035419,2.000000,-0.013823,0.040613,-0.895366,0.867720,0,0.000000
cylindrical_multilayer_coherent_proto14_main,3,30,1.000000,1.000000,1.000000,0.027598,2.000000,-0.013707,0.037501,-0.898247,0.870833,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,3,30,1.000000,1.000000,1.000000,0.028406,2.000000,-0.013412,0.037589,-0.897568,0.870745,0,8.308688
cylindrical_singlelayer_proto10_baseline,5,-4,0.895000,0.000000,0.000000,28.692690,1.790000,0.862723,18.135073,-16.954627,18.680073,200,0.000000
cylindrical_multilayer_coherent_proto14_main,5,-4,0.880000,0.000000,0.000000,25.044289,1.760000,0.101226,14.558016,-14.900565,15.103016,200,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,5,-4,0.865000,0.000000,0.000000,29.343694,1.730000,0.073269,17.691159,-18.089621,18.236159,200,8.308688
cylindrical_singlelayer_proto10_baseline,5,10,0.875000,0.000000,0.000000,29.291196,1.750000,4.131153,22.002286,-14.284979,22.547286,200,0.000000
cylindrical_multilayer_coherent_proto14_main,5,10,1.000000,0.000000,0.050000,0.369069,2.000000,-0.012786,0.258130,-0.312443,0.286870,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,5,10,0.885000,0.000000,0.000000,24.623317,1.770000,0.597903,14.037072,-13.386266,14.582072,197,8.308688
cylindrical_singlelayer_proto10_baseline,5,22,0.980000,0.000000,0.000000,9.794617,1.960000,0.129488,2.581573,-2.867598,3.126573,72,0.000000
cylindrical_multilayer_coherent_proto14_main,5,22,1.000000,0.980000,1.000000,0.042903,2.000000,-0.013512,0.044479,-0.527545,0.500521,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,5,22,1.000000,0.255000,0.990000,0.116271,2.000000,-0.018279,0.095349,-0.486209,0.449651,0,8.308688
cylindrical_singlelayer_proto10_baseline,5,24,1.000000,0.000000,0.005000,0.446108,2.000000,0.036751,0.231136,-0.313864,0.387365,7,0.000000
cylindrical_multilayer_coherent_proto14_main,5,24,1.000000,1.000000,1.000000,0.036267,2.000000,-0.013808,0.041501,-0.531115,0.503499,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,5,24,1.000000,0.530000,1.000000,0.083455,2.000000,-0.015956,0.070883,-0.506030,0.474117,0,8.308688
cylindrical_singlelayer_proto10_baseline,5,28,1.000000,0.005000,0.635000,0.207043,2.000000,-0.024009,0.161773,-0.431245,0.383227,0,0.000000
cylindrical_multilayer_coherent_proto14_main,5,28,1.000000,1.000000,1.000000,0.031341,2.000000,-0.016922,0.040549,-0.538295,0.504451,0,15.051500
cylindrical_multilayer_el_mismatch_2deg_proto14b,5,28,1.000000,0.965000,1.000000,0.046024,2.000000,-0.016834,0.048995,-0.529673,0.496005,0,8.308688
cylindrical_singlelayer_proto10_baseline,5,30,1.000000,0.150000,0.990000,0.123949,2.000000,-0.007799,0.092931,-0.467667,0.452069,0,0.000000
