stage_name,total_elapsed_sec,mean_elapsed_sec,p95_elapsed_sec,max_elapsed_sec,num_calls
score_recompute,15.5115885,0.32315809375,0.3719126,0.3928523,48
ranking_compare,7.8636011,0.163825022916667,0.1747686,0.2406907,48
build_candidate_score_pack,5.1483643,0.858060716666667,0.9952273,0.9952273,6
build_step11_input,0.1101096,0.0183516,0.0385001,0.0385001,6
run_step11_backend,0,0,0,0,6
