route_name,sep_factor,snr_db,raw_success_rate,tol_success_rate_abs01,tol_success_rate_rel025,rmse_deg,mean_num_peaks,mean_bias_deg,max_bias_deg,mean_az_a_est,mean_az_b_est,degraded_sample_count
cylindrical_grid_music_baseline,2,0,0.040000,0.000000,0.010000,2.155536,1.040000,0.169375,0.835000,-1.858750,2.197500,198
cylindrical_root_music_proto10,2,0,0.885000,0.000000,0.010000,26.689197,1.770000,0.028088,14.792352,-16.098676,16.154852,196
pure_ula_root_music_reference,2,0,1.000000,0.935000,1.000000,0.049614,2.000000,0.001270,0.008763,-1.368723,1.371263,0
cylindrical_grid_music_baseline,2,18,1.000000,0.855000,1.000000,0.056254,2.000000,-0.013650,0.055800,-1.334000,1.306700,0
cylindrical_root_music_proto10,2,18,1.000000,0.935000,1.000000,0.051004,2.000000,-0.013664,0.048701,-1.341127,1.313799,0
pure_ula_root_music_reference,2,18,1.000000,1.000000,1.000000,0.006765,2.000000,-0.000166,0.000557,-1.363057,1.362726,0
cylindrical_grid_music_baseline,2,20,1.000000,0.980000,1.000000,0.047040,2.000000,-0.010800,0.049800,-1.334300,1.312700,0
cylindrical_root_music_proto10,2,20,1.000000,0.995000,1.000000,0.042799,2.000000,-0.010856,0.044519,-1.339693,1.317981,0
pure_ula_root_music_reference,2,20,1.000000,1.000000,1.000000,0.005556,2.000000,0.000030,0.000329,-1.362171,1.362231,0
cylindrical_grid_music_baseline,2,24,1.000000,1.000000,1.000000,0.040156,2.000000,-0.012350,0.047600,-1.339600,1.314900,0
cylindrical_root_music_proto10,2,24,1.000000,1.000000,1.000000,0.036562,2.000000,-0.012165,0.043444,-1.343386,1.319056,0
pure_ula_root_music_reference,2,24,1.000000,1.000000,1.000000,0.003370,2.000000,0.000067,0.000155,-1.362345,1.362478,0
cylindrical_grid_music_baseline,2,30,1.000000,1.000000,1.000000,0.036031,2.000000,-0.010950,0.044350,-1.340050,1.318150,0
cylindrical_root_music_proto10,2,30,1.000000,1.000000,1.000000,0.033037,2.000000,-0.010971,0.041231,-1.343211,1.321269,0
pure_ula_root_music_reference,2,30,1.000000,1.000000,1.000000,0.001565,2.000000,-0.000070,0.000129,-1.362629,1.362489,0
cylindrical_grid_music_baseline,3,-4,0.000000,0.000000,0.000000,NaN,1.000000,NaN,NaN,NaN,NaN,200
cylindrical_root_music_proto10,3,-4,0.875000,0.000000,0.000000,28.752782,1.750000,-1.443172,18.400382,-19.308716,16.422371,200
pure_ula_root_music_reference,3,-4,1.000000,0.180000,0.940000,0.197582,2.000000,0.003814,0.030401,-0.877932,0.885561,0
cylindrical_grid_music_baseline,3,6,0.005000,0.000000,0.000000,1.855240,1.005000,-1.653333,2.495000,-3.403333,0.096667,200
cylindrical_root_music_proto10,3,6,0.880000,0.000000,0.000000,27.267680,1.760000,-0.788641,16.137627,-17.045960,15.468678,199
pure_ula_root_music_reference,3,6,1.000000,0.950000,1.000000,0.045883,2.000000,-0.004681,0.007043,-0.910653,0.901290,0
